"gene","has_TES_peak","has_TEAD1_peak","has_DMR","TES_peak_count","TEAD1_peak_count","DMR_count","category"
"LOC124904157",TRUE,FALSE,TRUE,2,0,2,"TES + DMR"
"CTPS1",TRUE,TRUE,TRUE,1,1,4,"TES + TEAD1 + DMR"
"SCMH1",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"HIVEP3",TRUE,TRUE,TRUE,13,7,13,"TES + TEAD1 + DMR"
"LOC124904161",TRUE,FALSE,FALSE,2,0,0,"TES only"
"GUCA2B",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"GUCA2A",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"FOXJ3",TRUE,FALSE,TRUE,2,0,2,"TES + DMR"
"ZNF691-DT",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"SLC2A1",TRUE,TRUE,TRUE,2,3,3,"TES + TEAD1 + DMR"
"KDM4A",TRUE,FALSE,TRUE,1,0,3,"TES + DMR"
"ST3GAL3",TRUE,TRUE,TRUE,4,5,5,"TES + TEAD1 + DMR"
"MIR6079",TRUE,TRUE,TRUE,2,3,1,"TES + TEAD1 + DMR"
"RNF220",TRUE,TRUE,TRUE,2,2,6,"TES + TEAD1 + DMR"
"MIR5584",TRUE,TRUE,TRUE,1,1,3,"TES + TEAD1 + DMR"
"ZSWIM5",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"LINC01144",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"MAST2",TRUE,TRUE,TRUE,2,1,6,"TES + TEAD1 + DMR"
"CYP4X1",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC02794",TRUE,TRUE,FALSE,1,2,0,"TEAD1 only"
"BEND5",TRUE,FALSE,FALSE,1,0,0,"TES only"
"RNF11",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"EPS15",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"OSBPL9",TRUE,TRUE,TRUE,3,3,3,"TES + TEAD1 + DMR"
"RAB3B",TRUE,FALSE,FALSE,1,0,0,"TES only"
"ZYG11B",TRUE,FALSE,FALSE,1,0,0,"TES only"
"DIO1",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"USP24",TRUE,TRUE,TRUE,1,2,1,"TES + TEAD1 + DMR"
"LOC105378737",TRUE,TRUE,FALSE,5,3,0,"TEAD1 only"
"LOC101929935",TRUE,FALSE,FALSE,2,0,0,"TES only"
"FYB2",TRUE,FALSE,FALSE,1,0,0,"TES only"
"DAB1",TRUE,TRUE,TRUE,2,2,2,"TES + TEAD1 + DMR"
