"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant","tes_bound","tead1_bound"
"ENSG00000184939.16","ZFP90",8828.93099140708,3.99125015757697,0.122471044338958,32.5893371704299,5.80756977861572e-233,1.64392941866682e-229,"ENSG00000184939",TRUE,TRUE,FALSE
"ENSG00000287080.2","H3C3",889.348743871023,-5.79750108530536,0.188485102224016,-30.7584048654146,9.43999600396781e-208,1.78143213479321e-204,"ENSG00000287080",TRUE,TRUE,FALSE
"ENSG00000108551.5","RASD1",1395.96321007124,4.81697662280081,0.172122297367277,27.9857792771745,2.4204525143846e-172,2.108152077144e-169,"ENSG00000108551",TRUE,TRUE,FALSE
"ENSG00000044524.11","EPHA3",4526.82238488291,-3.15926590086563,0.120570542743644,-26.2026348142334,2.47988175953215e-151,1.5599374742183e-148,"ENSG00000044524",TRUE,TRUE,FALSE
"ENSG00000114480.13","GBE1",1477.26682241053,-3.74262091969869,0.14443741575366,-25.911713389291,4.91444104572778e-148,2.92866199019792e-145,"ENSG00000114480",TRUE,TRUE,FALSE
"ENSG00000057019.16","DCBLD2",15386.4109331694,-2.59420650209385,0.109343575874081,-23.7252758688019,1.97801329178225e-124,8.09507897533245e-122,"ENSG00000057019",TRUE,TRUE,FALSE
"ENSG00000204262.14","COL5A2",1549.06843970891,-3.25000987079925,0.145429276480693,-22.3477001979771,1.27125041238558e-110,3.51071821202547e-108,"ENSG00000204262",TRUE,TRUE,FALSE
"ENSG00000104419.17","NDRG1",7268.05076310648,-2.565119434629,0.11510681543244,-22.2846877050001,5.20183997179934e-110,1.41356880129664e-107,"ENSG00000104419",TRUE,TRUE,FALSE
"ENSG00000066279.19","ASPM",1268.82931193796,-3.06051803604177,0.143292352800804,-21.3585580543598,3.24679793678566e-101,7.35248215444903e-99,"ENSG00000066279",TRUE,TRUE,FALSE
"ENSG00000277224.3","H2BC7",292.29650718835,-5.44746146801954,0.256883896236461,-21.2059282338398,8.41932385675801e-100,1.88149732083129e-97,"ENSG00000277224",TRUE,TRUE,FALSE
"ENSG00000117569.20","PTBP2",1234.59824795421,-2.71793628306409,0.130250603069315,-20.8669765745169,1.06883633036689e-96,2.255045495025e-94,"ENSG00000117569",TRUE,TRUE,FALSE
"ENSG00000256087.7","ZNF432",1331.3916281653,2.60779489843246,0.125369301561642,20.8009047346431,4.24721815578376e-96,8.85088995801611e-94,"ENSG00000256087",TRUE,TRUE,FALSE
"ENSG00000163710.9","PCOLCE2",508.843468188289,6.74181809257981,0.326880363849544,20.624726469293,1.64659343332806e-94,3.2330338579935e-92,"ENSG00000163710",TRUE,TRUE,FALSE
"ENSG00000139263.12","LRIG3",1247.54612988638,-2.59470290398658,0.126119083372249,-20.5734361098086,4.7479891315859e-94,9.11184716506836e-92,"ENSG00000139263",TRUE,TRUE,FALSE
"ENSG00000136167.15","LCP1",408.765245346166,3.90446607628467,0.19183772464304,20.3529628155769,4.37043864044807e-92,8.11229834637924e-90,"ENSG00000136167",TRUE,TRUE,FALSE
"ENSG00000146802.13","TMEM168",326.866221832152,-3.70309792069358,0.18453308819534,-20.0673925576622,1.42275573461911e-89,2.54358772597589e-87,"ENSG00000146802",TRUE,TRUE,FALSE
"ENSG00000139618.18","BRCA2",420.875366452831,-3.58088148343411,0.179684111796936,-19.928759686226,2.29171252797976e-88,4.03341404924438e-86,"ENSG00000139618",TRUE,TRUE,FALSE
"ENSG00000171241.9","SHCBP1",443.415820733669,-3.34700325642433,0.172295736868324,-19.4259203231607,4.65958025576746e-84,7.39610383775276e-82,"ENSG00000171241",TRUE,TRUE,FALSE
"ENSG00000130396.22","AFDN",6248.55426892884,2.14031690053807,0.11087300526259,19.3042201342786,4.94968750407019e-83,7.74797166535743e-81,"ENSG00000130396",TRUE,TRUE,FALSE
"ENSG00000166046.11","TCP11L2",2150.0299671476,2.43808419017786,0.126399757373988,19.28867776988,6.68614896635115e-83,1.0370552880777e-80,"ENSG00000166046",TRUE,TRUE,FALSE
"ENSG00000170471.15","RALGAPB",1440.31287880129,-2.50573179416672,0.131495540971442,-19.055640789454,5.89898231530221e-81,8.9056280571638e-79,"ENSG00000170471",TRUE,TRUE,FALSE
"ENSG00000102893.18","PHKB",1487.7830384382,-2.37581725163925,0.126477877464386,-18.7844491010551,1.01231351133951e-78,1.42092005591654e-76,"ENSG00000102893",TRUE,TRUE,FALSE
"ENSG00000136160.17","EDNRB",201.48698357754,-4.67875689618622,0.259398240523473,-18.0369646561378,9.98815285331216e-73,1.21170562900467e-70,"ENSG00000136160",TRUE,TRUE,FALSE
"ENSG00000165617.16","DACT1",350.971069065771,-3.01239994947367,0.169468131399381,-17.7756131763466,1.0919724113265e-70,1.25735996162503e-68,"ENSG00000165617",TRUE,TRUE,FALSE
"ENSG00000156026.15","MCU",1495.87885822994,2.67011828456531,0.150457166570627,17.7467005754884,1.82782100097184e-70,2.09048564851891e-68,"ENSG00000156026",TRUE,TRUE,FALSE
"ENSG00000119900.9","OGFRL1",1526.89947932764,-2.21959841322382,0.126839938185429,-17.4992076232248,1.45276158742148e-68,1.59185179359784e-66,"ENSG00000119900",TRUE,TRUE,FALSE
"ENSG00000197608.12","ZNF841",1357.01898388754,2.20896903796393,0.126581046232026,17.45102528158,3.3810886701338e-68,3.68105192138157e-66,"ENSG00000197608",TRUE,TRUE,FALSE
"ENSG00000253729.9","PRKDC",5927.1065926557,-2.01047730423636,0.11521767294742,-17.4493830052777,3.47971122863871e-68,3.77632047969328e-66,"ENSG00000253729",TRUE,TRUE,FALSE
"ENSG00000178878.13","APOLD1",268.230084698394,-3.4805873846599,0.201209636281593,-17.2983135846875,4.84360851214031e-67,5.10955571243422e-65,"ENSG00000178878",TRUE,TRUE,FALSE
"ENSG00000131374.15","TBC1D5",859.955001177471,-2.25678355803256,0.132426450697255,-17.0417884504953,4.02240633442796e-65,4.10309604708255e-63,"ENSG00000131374",TRUE,TRUE,FALSE
"ENSG00000164904.18","ALDH7A1",669.027667036766,-2.46666117912176,0.145097543528284,-17.0000202563107,8.20915531491925e-65,8.32383843991574e-63,"ENSG00000164904",TRUE,TRUE,FALSE
"ENSG00000134595.9","SOX3",220.600244105615,4.26193428228506,0.253301171365915,16.8255608898402,1.58553042054506e-63,1.56108108188622e-61,"ENSG00000134595",TRUE,TRUE,FALSE
"ENSG00000287277.1","LOC105376387",431.305413879341,3.40163596005568,0.205953735724554,16.516505263129,2.79109310181122e-61,2.53064541586658e-59,"ENSG00000287277",TRUE,TRUE,FALSE
"ENSG00000249242.8","TMEM150C",498.55559953004,2.55917640380687,0.155019497889954,16.5087388273156,3.17448202121955e-61,2.86784056640387e-59,"ENSG00000249242",TRUE,TRUE,FALSE
"ENSG00000091140.15","DLD",943.584499422341,-2.61659159347079,0.16746393435532,-15.6248066399717,4.93416122227954e-55,3.84411899996311e-53,"ENSG00000091140",TRUE,TRUE,FALSE
"ENSG00000099194.6","SCD",6359.77581685875,-1.9307328623571,0.124106272681569,-15.5570932930277,1.42421546177052e-54,1.09451924899143e-52,"ENSG00000099194",TRUE,TRUE,FALSE
"ENSG00000116698.22","SMG7",7341.18173338154,1.82984352352469,0.125106101235823,14.6263332119628,1.90796441174816e-48,1.21822810410266e-46,"ENSG00000116698",TRUE,TRUE,FALSE
"ENSG00000129521.15","EGLN3",365.203027794924,-2.24509959884734,0.153995399337167,-14.5790043631874,3.82047907023046e-48,2.41664866029028e-46,"ENSG00000129521",TRUE,TRUE,FALSE
"ENSG00000164211.13","STARD4",302.347702494518,-2.67418225340664,0.184075790192239,-14.5276152318231,8.09912710483416e-48,5.05719024810674e-46,"ENSG00000164211",TRUE,TRUE,FALSE
"ENSG00000106714.18","CNTNAP3",880.812311349206,-2.0816719966785,0.145452364218454,-14.311709595535,1.84911118597189e-46,1.10777087769124e-44,"ENSG00000106714",TRUE,TRUE,FALSE
"ENSG00000085449.15","WDFY1",481.412275526621,-2.41466743581837,0.169631115104875,-14.2348143754493,5.57106614283667e-46,3.28538150590062e-44,"ENSG00000085449",TRUE,TRUE,FALSE
"ENSG00000186300.12","ZNF555",667.055494024319,1.93920372747752,0.137513583140362,14.1019067585357,3.69645345214783e-45,2.13903119016282e-43,"ENSG00000186300",TRUE,TRUE,FALSE
"ENSG00000154639.19","CXADR",818.205024145947,-1.99937877141413,0.144454076449531,-13.8409300765747,1.44326981659435e-43,7.97154294798e-42,"ENSG00000154639",TRUE,TRUE,FALSE
"ENSG00000023445.17","BIRC3",413.076219993482,-2.49532715087877,0.180385819057538,-13.8332778259184,1.60535292883081e-43,8.8237262599555e-42,"ENSG00000023445",TRUE,TRUE,FALSE
"ENSG00000265590.10","CFAP298-TCP10L",130.266362654494,-3.38292091450439,0.245401414970521,-13.7852543144903,3.12662814348014e-43,1.6938645100117e-41,"ENSG00000265590",TRUE,TRUE,FALSE
"ENSG00000103044.11","HAS3",1073.55782246262,1.84274398734656,0.13390703578144,13.7613679265834,4.35213373198464e-43,2.32077360452204e-41,"ENSG00000103044",TRUE,TRUE,FALSE
"ENSG00000173611.18","SCAI",930.85260882834,2.01256597904881,0.147316219640271,13.6615369574597,1.72308128824491e-42,8.94948397539803e-41,"ENSG00000173611",TRUE,TRUE,FALSE
"ENSG00000280650.1","KCNIP4-IT1",179.330461612543,-3.16502430223944,0.232909869058951,-13.5890519153499,4.65065583428247e-42,2.39353753604405e-40,"ENSG00000280650",TRUE,TRUE,FALSE
"ENSG00000171150.9","SOCS5",1769.10970272683,-1.66725117076969,0.122956104136653,-13.5597267209826,6.93941412882678e-42,3.56069515299076e-40,"ENSG00000171150",TRUE,TRUE,FALSE
"ENSG00000115415.21","STAT1",15614.4408821421,-1.62762922296933,0.120080275653722,-13.5545093822316,7.45086543918625e-42,3.81161140419094e-40,"ENSG00000115415",TRUE,TRUE,FALSE
"ENSG00000136295.16","TTYH3",1976.26149383096,-1.70025236669519,0.12675258496026,-13.4139462893657,5.01003341611363e-41,2.49166639939309e-39,"ENSG00000136295",TRUE,TRUE,FALSE
"ENSG00000121297.8","TSHZ3",880.864568667521,1.95423010496698,0.147026084663896,13.2917237742839,2.58552356058617e-40,1.2439810808214e-38,"ENSG00000121297",TRUE,TRUE,FALSE
"ENSG00000160131.14","VMA21",1405.205177483,-1.66973876059055,0.126631923707147,-13.1857647874958,1.05973807095235e-39,5.02052758634719e-38,"ENSG00000160131",TRUE,TRUE,FALSE
"ENSG00000135549.16","PKIB",161.990835697399,2.95603819383488,0.227202727190733,13.0105753147643,1.06536974843054e-38,4.83157271224145e-37,"ENSG00000135549",TRUE,TRUE,FALSE
"ENSG00000140009.19","ESR2",190.672349322753,2.75853161307094,0.213046126512895,12.9480486607391,2.41002404005978e-38,1.07999599726584e-36,"ENSG00000140009",TRUE,TRUE,FALSE
"ENSG00000188706.13","ZDHHC9",3080.97699144058,1.51738932273801,0.11733321886532,12.9323079807411,2.95803807081521e-38,1.3186172859508e-36,"ENSG00000188706",TRUE,TRUE,FALSE
"ENSG00000186767.7","SPIN4",156.499045082124,-2.61537948171762,0.203846972979856,-12.8301119388026,1.11203393658755e-37,4.86146316061852e-36,"ENSG00000186767",TRUE,TRUE,FALSE
"ENSG00000174371.17","EXO1",166.010731362601,-2.52605929210598,0.196914535178754,-12.8282012793666,1.13979684105068e-37,4.97642918982127e-36,"ENSG00000174371",TRUE,TRUE,FALSE
"ENSG00000144802.11","NFKBIZ",526.360405006481,-1.80093190972821,0.141287946017463,-12.7465361376661,3.25907332709231e-37,1.39425948078931e-35,"ENSG00000144802",TRUE,TRUE,FALSE
"ENSG00000139289.15","PHLDA1",2884.01441677953,-1.52439103261098,0.119698477582697,-12.7352583207068,3.76597574127355e-37,1.60909011295069e-35,"ENSG00000139289",TRUE,TRUE,FALSE
"ENSG00000148842.18","CNNM2",1777.47622695408,1.61116293575445,0.12759922603027,12.6267453642096,1.50370011216313e-36,6.2595202708281e-35,"ENSG00000148842",TRUE,TRUE,FALSE
"ENSG00000133627.18","ACTR3B",574.815575210932,1.716174620593,0.137366982587256,12.4933560326469,8.11565762971239e-36,3.25469490396777e-34,"ENSG00000133627",TRUE,TRUE,FALSE
"ENSG00000105849.6","POLR1F",311.049009619365,-2.53007283880339,0.202854325684806,-12.4723632600007,1.05645692153794e-35,4.21193998953061e-34,"ENSG00000105849",TRUE,TRUE,FALSE
"ENSG00000137842.7","TMEM62",1567.40894666624,1.72342432751587,0.138800082897006,12.4165943675603,2.12412704521298e-35,8.37034193408288e-34,"ENSG00000137842",TRUE,TRUE,FALSE
"ENSG00000197712.12","FAM114A1",707.926475597165,-1.5622218586119,0.126303124308867,-12.3688298857246,3.85394770446266e-35,1.50645449511148e-33,"ENSG00000197712",TRUE,TRUE,FALSE
"ENSG00000184564.11","SLITRK6",88.0159971530021,-3.70794871952543,0.304757191631102,-12.1668948964911,4.66492886938107e-34,1.73557835525888e-32,"ENSG00000184564",TRUE,TRUE,FALSE
"ENSG00000138821.14","SLC39A8",394.194663362512,2.03344465704646,0.168704380571688,12.0533008695787,1.86335510612797e-33,6.74780876811886e-32,"ENSG00000138821",TRUE,TRUE,FALSE
"ENSG00000121621.7","KIF18A",347.804685337404,-2.25557954826843,0.187219198103602,-12.0478004986447,1.99194498973035e-33,7.19812632033622e-32,"ENSG00000121621",TRUE,TRUE,FALSE
"ENSG00000099260.12","PALMD",100.344601526085,4.20878864626901,0.350042008316776,12.0236672921274,2.66859135533377e-33,9.57198639471781e-32,"ENSG00000099260",TRUE,TRUE,FALSE
