"gene","has_TES_binding","has_TEAD1_binding","has_promoter_DMR","is_hypermethylated","is_hypomethylated","log2FC_expression","padj_expression","is_DEG","expression_direction","regulatory_class","epigenetic_subclass"
"WEE1",FALSE,FALSE,FALSE,FALSE,FALSE,2.7886932106211,3.42229669849437e-117,TRUE,"Up","Indirect expression",NA
"H1-2",FALSE,FALSE,FALSE,FALSE,FALSE,-2.87972457145761,2.5377974249641e-116,TRUE,"Down","Indirect expression",NA
"ANKRD50",TRUE,TRUE,FALSE,FALSE,FALSE,-2.74480266200501,2.88957408467927e-116,TRUE,"Down","TES+TEAD1 co-regulated",NA
"VIM",FALSE,TRUE,FALSE,FALSE,FALSE,-3.55651227831258,1.00761218053013e-115,TRUE,"Down","TEAD1-specific",NA
"MDGA1",FALSE,FALSE,TRUE,TRUE,FALSE,3.05845634565296,3.84999208589004e-115,TRUE,"Up","Indirect methylation",NA
"HMCN2",FALSE,FALSE,FALSE,FALSE,FALSE,8.04296572908486,4.24608183040231e-115,TRUE,"Up","Indirect expression",NA
"OSBPL10",TRUE,TRUE,FALSE,FALSE,FALSE,-2.84149543589002,1.36795751743945e-114,TRUE,"Down","TES+TEAD1 co-regulated",NA
"CCR4",FALSE,FALSE,FALSE,FALSE,FALSE,4.49855926148489,2.51365079353698e-114,TRUE,"Up","Indirect expression",NA
"ARHGEF5",FALSE,FALSE,FALSE,FALSE,FALSE,8.26990776029733,3.40892563534353e-114,TRUE,"Up","Indirect expression",NA
"FBN1",FALSE,TRUE,FALSE,FALSE,FALSE,-2.93260630491299,6.49776530132102e-114,TRUE,"Down","TEAD1-specific",NA
"MAP3K20",FALSE,FALSE,FALSE,FALSE,FALSE,2.92903192490595,1.38186249661283e-113,TRUE,"Up","Indirect expression",NA
"ADAMTS14",FALSE,FALSE,FALSE,FALSE,FALSE,6.30776534276973,3.43990986845256e-113,TRUE,"Up","Indirect expression",NA
"SPARCL1",FALSE,FALSE,FALSE,FALSE,FALSE,5.29555818816214,4.1602810000903e-113,TRUE,"Up","Indirect expression",NA
"TACR1",FALSE,TRUE,FALSE,FALSE,FALSE,-3.52753029280769,4.51729044646604e-113,TRUE,"Down","TEAD1-specific",NA
"FIGN",FALSE,FALSE,FALSE,FALSE,FALSE,-2.79619620269653,1.48316339652387e-112,TRUE,"Down","Indirect expression",NA
"EFEMP1",FALSE,FALSE,FALSE,FALSE,FALSE,-4.60616868483747,2.79526160908322e-112,TRUE,"Down","Indirect expression",NA
"VCAM1",FALSE,FALSE,FALSE,FALSE,FALSE,-3.70225048286617,4.51312467541353e-112,TRUE,"Down","Indirect expression",NA
"PTPRZ1",FALSE,FALSE,FALSE,FALSE,FALSE,-2.98564804300003,1.6536665499924e-111,TRUE,"Down","Indirect expression",NA
"IRS1",FALSE,TRUE,TRUE,TRUE,FALSE,-2.68877871125526,1.79414524246784e-111,TRUE,"Down","TEAD1-specific",NA
"TOP2A",FALSE,FALSE,TRUE,TRUE,FALSE,-3.36581276900899,1.86825317320931e-111,TRUE,"Down","Indirect methylation",NA
"FAT3",FALSE,FALSE,TRUE,TRUE,FALSE,-3.06104470626551,1.92055717944172e-110,TRUE,"Down","Indirect methylation",NA
"DMD",TRUE,TRUE,FALSE,FALSE,FALSE,-3.60718304623363,2.68871414911187e-110,TRUE,"Down","TES+TEAD1 co-regulated",NA
"SLFN12",TRUE,TRUE,FALSE,FALSE,FALSE,-4.34401311349114,2.81532788300184e-110,TRUE,"Down","TES+TEAD1 co-regulated",NA
"ZNF114",FALSE,FALSE,FALSE,FALSE,FALSE,7.61625434724701,3.08257873962323e-110,TRUE,"Up","Indirect expression",NA
"COL5A2",TRUE,FALSE,FALSE,FALSE,FALSE,-3.25000987079925,3.51071821202547e-108,TRUE,"Down","Direct non-epigenetic (TES)",NA
"SPAG17",FALSE,FALSE,TRUE,TRUE,FALSE,-3.29988037080116,3.70855278118979e-108,TRUE,"Down","Indirect methylation",NA
"NDRG1",TRUE,FALSE,TRUE,TRUE,FALSE,-2.565119434629,1.41356880129664e-107,TRUE,"Down","Direct epigenetic (TES)","Hypermethylated + Downregulated"
"ENSG00000231566.4",FALSE,FALSE,FALSE,FALSE,FALSE,-4.11458718571562,2.96680932263845e-107,TRUE,"Down","Indirect expression",NA
"RBMS3",FALSE,FALSE,FALSE,FALSE,FALSE,-2.84879489234782,5.77509964138202e-107,TRUE,"Down","Indirect expression",NA
"SH3PXD2B",FALSE,FALSE,FALSE,FALSE,FALSE,2.71980934922782,5.83338346268766e-107,TRUE,"Up","Indirect expression",NA
"IFFO2",FALSE,FALSE,TRUE,TRUE,FALSE,-2.90399545547578,6.10279410132595e-107,TRUE,"Down","Indirect methylation",NA
"CYTOR",FALSE,FALSE,FALSE,FALSE,FALSE,-3.47570757349294,1.95419458468071e-106,TRUE,"Down","Indirect expression",NA
"CNR1",FALSE,FALSE,TRUE,TRUE,FALSE,-2.7185090584044,1.95419458468071e-106,TRUE,"Down","Indirect methylation",NA
"SEMA6A",TRUE,FALSE,FALSE,FALSE,FALSE,3.56722533787899,3.9197639243228e-106,TRUE,"Up","Direct non-epigenetic (TES)",NA
"OTOGL",FALSE,FALSE,FALSE,FALSE,FALSE,-4.35231526073805,5.23665203895168e-106,TRUE,"Down","Indirect expression",NA
"C6orf141",TRUE,TRUE,FALSE,FALSE,FALSE,2.66438601942832,9.6759048812627e-106,TRUE,"Up","TES+TEAD1 co-regulated",NA
"RHOJ",FALSE,TRUE,FALSE,FALSE,FALSE,-3.58499891694571,1.37907982980205e-105,TRUE,"Down","TEAD1-specific",NA
"MT1E",FALSE,FALSE,FALSE,FALSE,FALSE,-5.53154888046216,4.54733702536875e-105,TRUE,"Down","Indirect expression",NA
"PRKD1",TRUE,TRUE,FALSE,FALSE,FALSE,-2.96893802822791,6.61689032842727e-105,TRUE,"Down","TES+TEAD1 co-regulated",NA
"H4C4",FALSE,FALSE,FALSE,FALSE,FALSE,-4.17746310717727,3.0702995218697e-104,TRUE,"Down","Indirect expression",NA
"A2M",FALSE,TRUE,TRUE,FALSE,TRUE,-4.14040985325567,8.65591692794545e-104,TRUE,"Down","TEAD1-specific",NA
"LMCD1",FALSE,FALSE,FALSE,FALSE,FALSE,-3.22037059286635,9.60971899950183e-103,TRUE,"Down","Indirect expression",NA
"GPAT3",FALSE,FALSE,FALSE,FALSE,FALSE,3.20202942254892,1.29046739558276e-102,TRUE,"Up","Indirect expression",NA
"COL21A1",TRUE,TRUE,FALSE,FALSE,FALSE,-4.2351221948193,7.37024584904564e-102,TRUE,"Down","TES+TEAD1 co-regulated",NA
"NKAIN3",FALSE,FALSE,FALSE,FALSE,FALSE,-3.61376794806725,1.32430622796732e-101,TRUE,"Down","Indirect expression",NA
"TUFT1",FALSE,TRUE,FALSE,FALSE,FALSE,2.52220758558708,1.95875966365972e-101,TRUE,"Up","TEAD1-specific",NA
"ENSG00000182912.6",FALSE,FALSE,FALSE,FALSE,FALSE,6.21424856986348,4.5963977416043e-101,TRUE,"Up","Indirect expression",NA
"MFAP3L",TRUE,TRUE,FALSE,FALSE,FALSE,2.70368841539083,1.38612284515395e-100,TRUE,"Up","TES+TEAD1 co-regulated",NA
"PAG1",FALSE,FALSE,FALSE,FALSE,FALSE,-3.50580663051506,5.8303918942914e-100,TRUE,"Down","Indirect expression",NA
"P2RY6",FALSE,TRUE,FALSE,FALSE,FALSE,5.29947989561956,2.22102890484404e-99,TRUE,"Up","TEAD1-specific",NA
"POPDC1",FALSE,FALSE,FALSE,FALSE,FALSE,-2.72089082049974,6.4581594586401e-99,TRUE,"Down","Indirect expression",NA
"ASPM",TRUE,FALSE,FALSE,FALSE,FALSE,-3.06051803604177,7.35248215444903e-99,TRUE,"Down","Direct non-epigenetic (TES)",NA
"SLC2A3",FALSE,FALSE,FALSE,FALSE,FALSE,2.58794528615447,6.4396196055925e-98,TRUE,"Up","Indirect expression",NA
