"gene_symbol","baseMean","log2FoldChange","padj"
"IQGAP3",485.936734013689,-3.90097834481103,5.83149990933152e-128
"TOP2A",2676.69769442492,-3.36581276900899,1.86825317320931e-111
"BIRC5",650.60741390082,-3.49391587625654,6.65222371270464e-81
"CDCA8",274.473693625479,-3.80592771357345,6.86352634889263e-78
"H2AC16",217.187555986192,-4.40822761709874,4.90150257673435e-77
"TPX2",1065.07761760702,-2.89755369920756,9.48642888583447e-75
"SYNGR1",716.73866741217,2.59407674771776,4.24504440787483e-71
"FOXM1",413.342215248805,-2.82741006980946,8.92613323933293e-71
"AURKB",246.175364895414,-3.50319492491917,5.29238464383237e-66
"H2AC13",237.873294130922,-3.16949901845884,4.70431193498531e-61
"DLGAP5",243.65240087527,-4.02983846991468,8.17518571076097e-60
"MLLT6",1796.00890807639,-1.90299682515543,1.5295933030901e-57
"ARHGAP5",2623.97478754259,-1.91255670890039,3.64074333620594e-56
"E2F2",177.010256373085,-3.0637167313984,2.04733569329769e-52
"FANCD2",325.431580237609,-2.72321013033856,2.66878352006127e-52
"ESPL1",296.881684881716,-2.7832028816318,1.26947380344728e-51
"IMPACT",196.514663712162,-3.07781179758194,1.25702189754055e-45
"ANKMY1",1303.19658586821,2.27633921506021,6.23180856566992e-44
"PLK1",297.391324158534,-2.64948695503318,8.85836283931403e-44
"CDCA5",283.250229242294,-2.73089830352664,3.06734734466705e-43
"CCNA2",238.081185396405,-2.64788466146263,4.07097945755147e-43
"CEP295",714.047689616995,-1.96345459482397,2.06171362444332e-41
"CDC25C",116.450573528942,-3.76718654510402,1.88449077945032e-40
"MIS18BP1",309.187454188802,-2.31877766675825,6.19986871513156e-39
"CA1",392.178374895004,2.60184540013393,2.27353415144028e-36
"ZWINT",144.716232103598,-3.18725982689757,3.48083631960275e-36
"CDCA2",381.215800959311,-2.07518391369397,9.2495322046195e-36
"CALB1",219.704891334284,2.70048431169876,1.05064724761306e-35
"ACP2",464.859146836365,-2.03748746162975,4.37188520976808e-35
"OGDHL",214.997374580227,2.70792658025486,4.977339984041e-34
"THUMPD2",311.214882518171,-2.79155834937589,5.55861444744552e-34
"KIF15",192.334263122138,-2.57531523762078,1.04713289594465e-33
"ALG6",446.688076880836,2.10568708052297,2.89749297958492e-32
"ASPH",9665.8000977435,-1.38124698144562,2.03904205096811e-30
"ARHGEF39",90.9812749981366,-3.02114377421861,6.39507343328312e-30
"MINDY2",848.630270024514,-1.39411785500187,3.20964403525253e-28
"CARD8-AS1",127.354572611565,3.03780517703503,3.45656472065814e-28
"HMGB3",178.546554063208,-2.65985591393227,5.90146777797629e-28
"DEPDC1",380.759750019443,-2.15688275894632,2.05035724935765e-27
"SRCIN1",135.522970348445,2.65462994587332,5.29625387531149e-27
"SYNCRIP",1057.29932008031,-1.48469251943508,7.04491584979943e-27
"IFI27",4609.36772046184,2.27803623367275,3.13209546059038e-26
"NKAIN1",81.3571339892681,4.1893500141703,6.75375692823234e-26
"OBSL1",1335.94748511919,-1.51031004322427,7.20533242994528e-26
"KIF20B",584.380093499777,-1.97760644364573,1.84313462330907e-24
"KIF22",227.248427845896,-2.05301364635557,2.57614995946519e-24
"SGO1",95.0692036773112,-2.48074933319394,3.21398563824646e-23
"PTPRN2",150.570640381567,-2.38450139082921,7.24086019551371e-23
"CEP290",488.424098579139,-1.46795910513194,2.65127184018051e-22
"SLC45A4",452.252377097437,-1.56557074364473,3.05379300064874e-22
"FAM111A",1258.78701172061,-1.31120680784574,1.40929180696364e-21
"ZSCAN31",329.428872657257,-1.51649092330423,3.26147411612266e-21
"HASPIN",150.270333931802,-2.05627964904866,3.8834642118669e-21
"CCNB2",430.790866794957,-1.84127683863841,3.99592724991078e-21
"ALDH5A1",331.542422457272,-1.46231029238793,3.18383865659223e-20
"IKZF2",253.146126527428,1.7626854230549,3.57331171486421e-20
"HROB",228.93811285051,-1.59743567574015,3.9157888065226e-19
"AFMID",191.55700685846,-1.63906396811789,5.16148515503457e-19
"FASTKD1",152.745068249697,-1.78751140070633,7.45173936721991e-19
"MYO6",1032.43726119638,-1.10228721112114,5.10635690508661e-18
"TUBGCP3",271.746644916667,-1.47218643160391,5.3519854498037e-18
"HMGB2",466.63902961204,-1.88305598317502,2.15798648901463e-17
"RAD54L",137.079852300008,-1.73210209187934,2.25055801810466e-17
"CHEK1",366.881054861898,-1.54135615398307,4.67054642721583e-17
"MAPT",278.997341783491,1.49254618711597,7.10008571131751e-16
