"gene_symbol","baseMean","log2FoldChange","padj"
"KRT8",682.438845673437,3.95835997662107,4.4874678463932e-95
"H4C2",615.526291756937,-3.23726467978814,7.35618742276987e-80
"VEGFA",6493.09021922201,-2.21874261636616,4.64691965500033e-63
"KIFBP",417.955891895922,-2.78027711949821,1.08814613416974e-60
"RELA",854.264560481193,-2.22521811566415,1.17876965570376e-60
"ANO8",243.3700545367,-2.78107371668339,1.25172469939453e-50
"CKB",1123.33456227996,-1.9250122271215,2.81118472242129e-44
"SIKE1",1066.41722579419,-2.059733578828,2.97699921725249e-43
"POLI",374.798047262235,-2.22364956908667,2.14797236419489e-41
"CHAC1",284.971266318885,-2.74624194541858,6.51182146731248e-41
"MED18",146.671793611872,-3.19495871396272,2.17306921008878e-39
"GEMIN4",1950.64515081347,1.64689889808544,3.18590501227257e-39
"CDCA2",381.215800959311,-2.07518391369397,9.2495322046195e-36
"H2AC12",267.778642340046,-2.2341389078797,1.70118542238897e-34
"CDC42EP4",1381.73954035764,-1.50225099443049,1.21065328916196e-32
"WDR11",870.65796393795,-1.59318854456873,6.21684914272375e-32
"CARD8-AS1",127.354572611565,3.03780517703503,3.45656472065814e-28
"VPS25",253.29098573432,-2.2980406275784,3.38867901682618e-24
"LMO4",2355.95079410914,1.61490802199078,1.30703022008033e-22
"THAP10",340.548418845499,1.96328827831954,2.02785284096058e-22
"PUS10",345.375405227712,1.63424981025317,1.11247793882647e-20
"GABPB2",435.598525579243,-1.52991382153203,6.94364928744336e-19
"AGAP2",117.868817736142,2.21332171951655,1.4257682240784e-18
"EME2",364.478643379789,1.38977619256377,5.85531791211548e-17
"CAPZA1",1859.84795926735,-1.20860507741075,3.22057294777974e-16
"DNM1",1509.62314162337,-1.09214766963097,5.59389967469325e-16
"NUDT19",934.763964255808,1.2851566909606,6.24303819060913e-16
"PHIP",2836.91465926068,-0.973380366900771,7.13693225175962e-16
"COMMD2",300.866788515468,-1.44756809646067,1.20473050676004e-15
"TFAP4",133.564112797905,-1.65608844976419,3.51449794512674e-15
"CWF19L1",220.657418912269,-1.45297434257178,4.96107140997139e-15
"MXI1",915.533204520464,1.2255840040323,5.87138251601993e-15
"ZNF554",344.012509186167,1.31112778307789,7.70626143541414e-15
"MCF2L",41.5940436050048,4.21789229398419,1.18727038775915e-14
"SAR1B",1167.21423943038,-1.05883127934467,1.35365929859402e-14
"H2BC18",1187.65734746952,-1.16713598499257,1.66210463371571e-14
"TMEM144",61.9807525195255,-2.15538415661477,2.28149958331659e-14
"ARMCX5",114.667752832492,-1.73295801364808,2.86395225141181e-14
"CENPU",166.295978422913,-1.97185313187641,1.10972686339825e-13
"PCLAF",57.78984057352,-2.30271483762851,6.83662304449734e-13
"H2BC12",2765.06824875618,1.07663210004526,9.01971001742815e-12
"CZIB",328.567563965091,1.25182890230427,1.25957332651508e-11
"KLHDC1",41.156956973573,-2.36984557306746,1.89278199732557e-11
"ZKSCAN2",274.804989627563,-1.13976270866111,2.87511475562317e-11
"ATN1",1956.49057491567,-0.981638068731472,4.53767653419218e-11
"TOB2",1214.28512773326,-0.85512630746209,5.03535578206907e-11
"PRDX1",3346.43525564525,1.28417219429258,7.08716715855741e-11
"PRRG2",32.6568242786993,3.11779158200058,7.3194706504382e-11
"ANKRD24",102.640097674677,1.59805149444066,1.12801444442815e-10
"ZNF793",164.464433267148,1.34106630791365,1.71568849760162e-10
"TRPV1",197.622659730827,1.24069053658894,2.51700964769482e-10
"ABHD13",209.779061546122,-1.17255336155721,3.75581238535788e-10
"DCTN6-DT",35.2105923680758,2.86889197135085,7.29578853847301e-10
"RCOR1",675.065753380805,-0.912636114340608,1.50777582872445e-09
"TMEM222",1208.94033948936,0.9781286419865,2.08418859662022e-09
"NBPF1",550.687362909011,-0.839547645256973,2.3297665213291e-09
"SLC38A7",1209.10207200273,0.796513282342421,2.65096488479128e-09
"C2CD5",1002.0695897272,0.808081727385665,2.77190792168592e-09
"CPE",41.5375559530144,2.25673038000787,3.07024710060491e-09
"KLHL26",339.470260843207,-0.971454536498547,3.19169241498233e-09
"PFKL",2710.95435547225,-0.759180024700769,6.8128739552609e-09
"SLC25A36",2128.11797283576,-0.89795244716353,7.91579292006628e-09
"MRPL44",475.622389115381,1.16732080045849,2.20305576917199e-08
"DIMT1",286.544632793776,0.985540984214039,2.29473085670235e-08
"ABCD1",796.290226044495,-0.796390785265704,2.43766976977705e-08
"TAOK3",837.804378553549,0.98155546334478,3.59299897981315e-08
"INTS14",767.951080848761,-0.980484537870305,5.55614755825778e-08
"VTI1A",621.905333742812,0.762931432441764,8.45135313385777e-08
