"gene_symbol","baseMean","log2FoldChange","padj"
"CACNA1G",990.103060696666,3.72594906601156,3.13199883626884e-121
"PARP8",453.626955708863,-2.9664540793852,2.143131954907e-67
"NUCKS1",4865.93498752186,-1.92099483757148,5.40946472618037e-58
"GPI",6391.43582667696,-1.89969953867499,4.93257253935322e-54
"ANO8",243.3700545367,-2.78107371668339,1.25172469939453e-50
"PRMT9",195.023500924533,-2.92915610495037,9.203943333469e-47
"C1QTNF1",652.901276099967,-2.014040689139,1.49372774746366e-45
"CDCA5",283.250229242294,-2.73089830352664,3.06734734466705e-43
"CHAC1",284.971266318885,-2.74624194541858,6.51182146731248e-41
"DLL3",130.124099396383,5.23835579593664,8.71468901078987e-39
"BRCA1",661.878214126219,-1.71462839822444,9.08911650845642e-38
"ARHGAP45",430.779501727048,1.98697904537985,6.39460278431259e-36
"ZBTB25",506.213521352746,-1.69326470843736,1.18681110537655e-34
"PCYOX1",1075.6909188167,-1.85328346506566,7.27522349866839e-34
"POLR3G",298.241419989529,2.07012398438047,1.17361184807485e-27
"NEK2",205.941440215473,-2.70865056505202,2.18232800432262e-25
"TPK1",89.4023738166018,3.02470780461841,5.02587401840319e-25
"SSBP2",788.807896861832,-1.28956978729986,8.22495617600516e-23
"DNAI3",241.636273622299,2.09891027623088,9.40278085954113e-23
"BBIP1",275.251849202863,-1.71373289499872,1.98683505895928e-22
"PHAX",448.817071361088,-1.61428212191141,7.36940365578606e-22
"ZSCAN31",329.428872657257,-1.51649092330423,3.26147411612266e-21
"KDM8",179.648126622344,2.00186422297931,3.48330082183378e-21
"PPM1K",591.52848880661,-1.32715154271739,4.05211827642721e-21
"GPR180",417.913747817868,-1.40349259517896,1.87686289972034e-19
"ADGRB2",576.655036501403,-1.26097405532766,3.40263561795724e-19
"WDR7",412.878411764422,-1.31642153252905,6.29678795776382e-18
"RAD54L",137.079852300008,-1.73210209187934,2.25055801810466e-17
"SRSF11",6072.71764494366,1.36817860815939,1.05167628374781e-16
"NRM",110.070255195521,-1.90690842360408,1.42230491648275e-16
"ITGA5",2134.48543751169,1.07237871129511,3.28174046226267e-16
"VGLL3",47.3828313464806,-2.85351056071232,1.04068498233184e-15
"TFAP4",133.564112797905,-1.65608844976419,3.51449794512674e-15
"LRRC8C-DT",77.6566936939853,-2.0765622646977,5.28526997729652e-15
"TUBG1",448.974797850194,-1.29230162361293,9.78465002300538e-15
"LINC01145",93.7145109054989,-1.9546216684486,1.4979916469481e-14
"CCNL1",2039.17151338778,-1.20303962398311,2.18963270156633e-11
"RAB34",722.284422894755,-1.20401283771691,3.17724978529889e-11
"KLHL12",846.777146425475,1.05367162126963,3.77338672725381e-11
"RUNDC3A",76.2978720745157,1.92774190876948,7.2063631708476e-11
"GCC2",1160.94091410785,-0.888458731571598,8.05780267953342e-11
"ZNF451",2301.85753784774,-0.79968396169052,1.18002588640402e-10
"LINC02985",28.2323688018932,4.24544462873179,1.5013145671488e-10
"MAFA",54.5586622556897,2.22773080702072,5.98567430811473e-10
"DCLRE1B",304.224739941652,1.02275019218309,8.85463194355716e-10
"MEX3B",143.600818030918,1.29711368049954,1.47676752604324e-09
"ATP5MF",181.381508009594,-1.1106024259959,1.92629427257863e-09
"RHBDF1",295.411667854072,-1.04483003609154,3.14539774386843e-09
"HOXD11",275.487065790576,-1.04601085316019,3.64671749713231e-09
"RPS29",338.117199858017,-1.0586650189748,9.0251078255242e-09
"PPCS",189.40716723175,-1.24223739386298,1.19751172043025e-08
"PTPRF",2575.3822240827,-0.699598970727145,1.56098360896559e-08
"C8G",41.1905469000058,2.06387595961392,1.96639624073223e-08
"F3",325.406565210826,-0.951172511934378,2.55465545693139e-08
"MTUS1",31.7352254596067,2.56690327244994,2.82331602415202e-08
"TST",73.6612325182516,-1.50804283342263,3.19887123509726e-08
"ORC3",415.287067229654,-0.965073693326682,3.64021096683392e-08
"EPHB4",876.300204141468,-0.78448215670242,4.29145745910159e-08
"CA11",374.988470310912,1.11744142668112,4.4056406396378e-08
"TBCC",394.550016570376,1.13053535855471,4.51665393227173e-08
"NEURL1",54.8252066273947,1.81112291473283,6.66056840194813e-08
"ZBTB1",539.414381292157,-0.905962129634217,9.41704595027287e-08
"IKBIP",236.089019144448,-1.24733996283245,1.53666268473087e-07
"ZNF654",1053.44485397529,-0.69537303259767,2.71190511460322e-07
"SON",8157.15052181206,-0.612515010478323,3.13402819070488e-07
"VEZF1",3022.19931620279,-0.70131876033555,3.1853415527063e-07
"PRKAA1",1297.55057844593,-0.780718129529102,5.74023071534647e-07
"TMEM250",618.546070804694,-0.799667827252701,1.1314101349225e-06
"F8",137.66162743241,1.06161806883538,1.61370445320431e-06
"HNRNPD",1391.02977455936,-0.684943878711719,1.71820571359521e-06
"PGD",1639.65754154478,0.716589617391843,2.00782464999121e-06
"AKAP1",957.465606280168,0.728663083867593,2.0533784843952e-06
"COX16",21.4798937397825,-2.31948528728856,2.45907079904308e-06
"AGPAT3",1690.69206624794,-0.627457906624438,3.25683533312081e-06
"AIDA",1078.41809834073,0.820085685770564,3.61844899819911e-06
"MXD3",132.908272135127,-1.00991428186607,3.92959462668385e-06
"ZNF133",454.612086698076,0.696345254782462,4.79538259366958e-06
"AFF4",11674.1673743281,0.546764395160951,5.69884978074045e-06
"TATDN2",309.129594640928,-0.794547651255769,6.17560269502363e-06
