"gene_symbol","baseMean","log2FoldChange","padj"
"PIK3R3",992.672562544435,2.47795331599282,1.78463759512558e-78
"KNL1",416.087031129327,-2.81104692950846,3.89317870537217e-76
"GYS1",1164.84347799037,-1.82565880915558,2.79630597268369e-46
"IMPACT",196.514663712162,-3.07781179758194,1.25702189754055e-45
"CKB",1123.33456227996,-1.9250122271215,2.81118472242129e-44
"SPAG5",491.316370621883,-2.33231546518912,7.07016897275175e-43
"MKS1",188.930218641539,-2.68761001405496,5.46274066488438e-36
"ACP2",464.859146836365,-2.03748746162975,4.37188520976808e-35
"ASPH",9665.8000977435,-1.38124698144562,2.03904205096811e-30
"HSPB1",2483.99874251881,-1.60640320987021,6.40857374582644e-29
"CARD8-AS1",127.354572611565,3.03780517703503,3.45656472065814e-28
"CENPJ",140.625588057187,-2.40112515487382,1.02038869147891e-26
"OBSL1",1335.94748511919,-1.51031004322427,7.20533242994528e-26
"TTLL12",356.52632103047,-1.7289583830972,1.28488835190712e-24
"SUGCT-AS1",66.0786631777116,4.54647879989828,5.26828385454297e-23
"ZSCAN31",329.428872657257,-1.51649092330423,3.26147411612266e-21
"NAP1L1",2661.19505066764,-1.34106331292309,1.07583869823689e-20
"APIP",277.493740211314,-1.5960121217631,1.67275758852492e-20
"ALDH5A1",331.542422457272,-1.46231029238793,3.18383865659223e-20
"HROB",228.93811285051,-1.59743567574015,3.9157888065226e-19
"SP8",70.6316635314136,2.74205351657074,5.51443725275927e-18
"TXNDC11",326.276231808036,-1.45274692048918,5.83013955160614e-18
"PTPN4",491.005594376147,-1.25707091834755,6.76707538527645e-17
"CASD1",534.33720043499,-1.17039735244491,4.41875202420077e-15
"TMEM248",2389.49861794938,-0.971352800422537,4.74870905754345e-15
"LRRC8C-DT",77.6566936939853,-2.0765622646977,5.28526997729652e-15
"FBXO4",78.2641233095266,-2.3043923961961,1.29635075705897e-14
"HACD2",1636.89588107821,-1.01061635323756,1.60182612531352e-13
"TM9SF4",2692.32621369863,0.930249788850055,1.89202524665879e-13
"CENPP",257.412633826932,1.26539658292554,2.59674851633767e-13
"DUSP22",355.822212862681,1.25850711789308,2.67835728326812e-13
"CDCA3",68.4700089695128,-2.24866449094708,9.09344164953043e-13
"GNL3L",1543.2270639267,-0.842334272071645,4.95852369233363e-12
"CCNL1",2039.17151338778,-1.20303962398311,2.18963270156633e-11
"LEPROTL1",789.031375332986,1.07246454153398,5.12343943566308e-11
"SUN1",2086.67741716381,0.857324713077841,8.1572690078854e-11
"BMAL1",500.994201985655,0.972304502920123,1.18226726717461e-10
"IRGQ",1254.37470969261,-0.838218589121991,1.28530100665528e-10
"LINC02985",28.2323688018932,4.24544462873179,1.5013145671488e-10
"C5orf15",657.501772520946,-1.38535488673544,1.97398609530575e-10
"GPRC5C",41.79694707012,2.48641749686787,5.04446889668228e-10
"C11orf54",324.859107728165,0.986741851504196,1.14367407480294e-09
"RPS29",338.117199858017,-1.0586650189748,9.0251078255242e-09
"UBE2B",1177.62730535365,1.05863364611865,2.13228804131817e-08
"PPP2R5A",632.517474172474,0.821839655675031,6.76829124142503e-08
"PYCR1",375.612373117489,0.917490457739246,7.22496714720677e-08
"NRSN2-AS1",188.322226185099,1.03246402050054,8.0930127598757e-08
"CTNS",719.478279318678,0.768209529127197,1.09965493740766e-07
"ZC3H6",663.643632375661,-0.714982629540955,1.16142731308513e-07
"MAK16",207.083461277769,-1.01727542592105,2.54444813946099e-07
"EOGT",393.346330032239,0.810368986697756,2.93615253878308e-07
"DAZAP1",1151.74009456007,-0.638753519236848,4.64162620514599e-07
"CPNE2",739.009705876544,0.75618702469015,5.02706456412617e-07
"HEATR5A-DT",11.9536351000548,-4.59031873505812,8.29816813215137e-07
"AP5Z1",1789.46219764052,0.723304581003889,1.1122664996553e-06
"HNRNPD",1391.02977455936,-0.684943878711719,1.71820571359521e-06
"TSC1",1904.94164320798,0.592418252264786,2.01299720864695e-06
"UBA5",1000.45818499394,0.701809625293325,2.20018070949988e-06
"EFCAB14",2673.1194403898,0.593783216014376,2.39711554272475e-06
"COX16",21.4798937397825,-2.31948528728856,2.45907079904308e-06
"GABPA",888.419968583572,0.741159987248793,2.73668275534367e-06
"C12orf57",38.7265806753256,-1.91611494092029,2.7499534204359e-06
"LDLRAP1",294.520984211426,-0.83461090771084,3.44116817215809e-06
"TARS2",268.784678108053,-0.821865983905329,6.42318432522534e-06
"VPS29",255.54210890817,-1.16705551855704,6.68571487109239e-06
"AKT1S1",1062.87930085945,0.698726745858033,8.84453915119602e-06
"NBPF12",500.999278414274,-0.683271838408716,9.426208046283e-06
"LINC00635",13.0623510684046,4.96172870265387,1.6122120577325e-05
"CENPK",420.988924537346,0.79881687688511,3.62981960211955e-05
"TMEM38B",442.276842586656,0.805513553464869,3.82570185742822e-05
"MADD",1341.72196844421,0.55709218794056,4.18441432653157e-05
"INHBE",58.5182450802323,1.25756640394508,4.40522489430936e-05
"NUP155",1280.28175825109,-0.529854358638725,4.41395435762013e-05
"TUBA1B",612.216942399866,-0.771124338136817,7.45017253076608e-05
"IFTAP",145.25634038473,0.846583828365322,8.19198801353624e-05
"PAXBP1",1373.54479881538,0.541620066329134,8.32616211201595e-05
"GLT8D1",585.116928358329,0.754301381513795,9.20464744413072e-05
"CDKL3",56.6570955227964,1.23015684332717,0.000104111271476303
"MYH7B",225.143964940496,0.784904485249977,0.000154875916740115
"MID1IP1",672.039466841376,-0.678484644500459,0.00024109878217348
"TOLLIP",1366.06682673711,0.545850563888165,0.000266121413281835
"TRIM33",1915.23967427946,-0.51720436944477,0.000306843995382246
"TULP2",17.0158647629216,-1.96954336886177,0.000319220539114594
"SECISBP2",1356.94387237407,0.462571846640002,0.00039021909476516
"BRWD1",2989.35890143997,-0.459900173020894,0.000600199028858255
"DGCR8",451.929114808674,-0.539447293380487,0.000705566379343719
"ENAM",9.09539971272229,-2.65183184860938,0.000734872617227342
"LAMP1",3628.58619173482,0.564024022078035,0.000868581336766728
"FANCA",268.523451779452,-0.581395159707088,0.00129784130138238
"KCNJ11",24.8274703031809,1.51826873117889,0.00143060907516811
"TCTN1",438.660091735065,-0.637500882385754,0.0015759872885837
"TPGS1",132.676269269807,0.774546172583287,0.00168118376005562
"MAP3K7",1537.97755418301,0.443908259533856,0.00168736604113025
"STRIP1",1151.99370528088,0.42690188802115,0.00179003933317233
"SPACA6",477.246588791847,0.582962304025306,0.00209275050830285
"LSM10",217.287068129999,-0.73047260778432,0.00237450355927384
"NKTR",2481.08714387376,-0.419773874364084,0.00250635044533585
"OPLAH",181.105808139145,-0.604005384121141,0.00270287911048616
"ACTR3C",21.5319550320398,1.49294855374326,0.00293590833976315
"PPP1R3D",168.928370101237,-0.645745816528927,0.00304595053438647
"PTMS",2186.6905624035,-0.446890659965851,0.0037510589670573
"NELFE",697.559379772845,0.539267896646849,0.00407794009719535
"METTL13",536.698303986638,0.497108369066058,0.00410228175155566
"PKN1",2055.89987755603,-0.437480111867204,0.0042865785799492
"FAM131A",811.404722545053,0.436921035002689,0.00476159208238815
"TBCD",1656.43188734913,-0.446373499272365,0.00624761946534826
