"TF","TF_log2FC","TF_padj","TF_binding_category","n_total_targets","n_targets_DEG","n_indirect_targets","pct_indirect"
"ZNF592",-0.625903187528123,5.04354080679178e-07,"TEAD1_unique",1927,919,518,56.37
"ZFHX3",-0.651130683241894,2.31938504130124e-06,"TEAD1_unique",1888,792,441,55.68
"MEF2C",-1.23544331662129,1.6388371315221e-20,"TEAD1_unique",1885,825,391,47.39
"ZNF30",-0.840330574295714,0.00238202341573284,"TES_unique",1555,676,377,55.77
"E2F5",-1.1080422776345,1.59562000048037e-10,"TES_unique",1298,639,372,58.22
"ZNF92",-0.750631413811072,8.48079778285454e-06,"Shared_TEAD1_dominant",1466,665,339,50.98
"LHX2",1.5376748734618,4.74423141617085e-06,"TEAD1_unique",1436,641,320,49.92
"TFEB",-0.446102370831406,0.00996460118146411,"TEAD1_unique",1423,699,305,43.63
"HDGF",0.580742234349943,0.00231786155603947,"TEAD1_unique",929,429,276,64.34
"DACH1",-1.36143841402169,2.5475010710802e-20,"TEAD1_unique",1006,456,271,59.43
"KLF7",-1.50886298532762,9.00459162612508e-32,"TEAD1_unique",936,462,269,58.23
"ZNF22",-2.04910642057808,3.00858577020453e-12,"TES_unique",1210,481,242,50.31
"ZNF664",0.549502729769551,0.00133807274851899,"TEAD1_unique",1005,464,242,52.16
"ZNF274",0.97048628339624,1.93813264317505e-10,"TES_unique",1133,474,222,46.84
"ZNF260",0.483588305953417,0.00526731372628302,"TES_unique",879,391,220,56.27
"ZNF561",0.402500097503388,0.0112041619763553,"TES_unique",870,390,207,53.08
"ZNF680",-0.575590143111612,6.38012260407428e-05,"TES_unique",889,401,205,51.12
"ZBTB18",-0.510887451282378,0.00116316774370555,"TES_unique",858,385,195,50.65
"GLI3",-0.329969673380676,0.0487979319215616,"TES_unique",756,359,194,54.04
"CUX1",0.404846534409709,0.00282038804950021,"TEAD1_unique",911,394,188,47.72
"ARNT2",-0.813022915155578,4.86515341764537e-08,"TEAD1_unique",677,299,179,59.87
"MEF2D",0.446943373689224,0.000745008632467291,"TEAD1_unique",659,311,147,47.27
"ZBTB5",0.41794738245084,0.0120455543520191,"TEAD1_unique",514,243,140,57.61
"ZNF563",0.854028653189468,0.00021654359799695,"TES_unique",652,277,139,50.18
"MYBL1",-0.564146492549838,0.00260474288997435,"TEAD1_unique",481,189,106,56.08
"NR1H4",-3.36960558105971,1.25737718720873e-12,"TEAD1_unique",433,198,101,51.01
"SOX3",4.26193428228506,1.56108108188622e-61,"TES_unique",559,276,96,34.78
"RLF",-0.439416127521466,0.00223285498873135,"TES_unique",352,150,80,53.33
"ZNF85",-0.776578171897261,0.000312862661489661,"TES_unique",328,131,69,52.67
"ZNF426",-0.916664121677094,2.17690835620938e-10,"TES_unique",225,68,40,58.82
"ZNF667",0.424394338866824,0.00709764878830647,"TES_unique",147,64,39,60.94
"DLX2",-0.761523300852717,6.20683350883744e-05,"TEAD1_unique",291,134,34,25.37
"ZNF585B",0.460571790827273,0.00540859551794899,"TES_unique",139,70,32,45.71
"ZNF595",0.445305592798162,0.00994239677150149,"TES_unique",132,60,30,50
"PAX8",2.3785410021799,3.16535880757022e-33,"TEAD1_unique",90,42,27,64.29
"ZNF555",1.93920372747752,2.13903119016282e-43,"TES_unique",169,52,26,50
"ZNF433",1.26302904126043,5.0476033902478e-19,"TES_unique",69,31,20,64.52
"ZNF532",0.372183509115908,0.00412246217990368,"TES_unique",65,27,18,66.67
"ZNF704",-0.974263550918175,6.45796064899844e-05,"TEAD1_unique",71,31,18,58.06
"PRDM5",-1.41973347533342,9.32082317049463e-09,"TES_unique",125,58,16,27.59
"ZFP82",-1.46492602405984,5.0140298552941e-16,"TES_unique",43,22,15,68.18
"ZNF292",-1.13785511684408,7.62189985788973e-20,"TES_unique",24,15,13,86.67
"ZNF404",0.572615889276861,0.0129460369273838,"Shared_equivalent",21,12,10,83.33
"FOXQ1",2.19760172489333,1.20365597675185e-13,"TEAD1_unique",39,16,9,56.25
"ZNF774",0.572060254229643,0.00028696866222033,"TEAD1_unique",28,12,8,66.67
"ATOH8",-4.85107270898167,1.11712845159032e-39,"TEAD1_unique",52,21,7,33.33
