"gene_symbol","baseMean","log2FoldChange","padj"
"KRT8",682.438845673437,3.95835997662107,4.4874678463932e-95
"CDCA8",274.473693625479,-3.80592771357345,6.86352634889263e-78
"FADS2",674.133840476413,-2.51908961795135,4.07734822039689e-74
"NCAPG",579.624842390173,-2.66443828676844,1.88037537138008e-65
"NUCKS1",4865.93498752186,-1.92099483757148,5.40946472618037e-58
"E2F2",177.010256373085,-3.0637167313984,2.04733569329769e-52
"WDR62",406.462445922712,-2.21194879872612,2.62456450445121e-43
"CDCA5",283.250229242294,-2.73089830352664,3.06734734466705e-43
"KIAA0319",301.94550391213,2.28673955493342,6.53076527943908e-41
"CFI",154.45660515381,-2.92164362133812,1.23530392461799e-37
"AURKA",458.818217137951,-2.89250604107382,6.46311207365979e-37
"GGCX",713.995182296517,-1.73144364401165,1.87857210258649e-36
"EGR1",2796.35912856525,1.75304718760078,6.60273438634658e-33
"CDC42EP4",1381.73954035764,-1.50225099443049,1.21065328916196e-32
"SKA3",130.039434747812,-2.87022032276183,3.41004730646738e-32
"NUDCD3",1267.93983335344,-1.50834249532048,1.71079669568958e-31
"ZBTB37",2152.62690053531,1.37887453354881,1.98784078854367e-29
"NCAPD2",1201.67196653632,-1.5117299607105,2.01181016525567e-28
"CYP1B1",75.1228590454113,-3.25290937184554,3.38736964347657e-27
"TYMS",162.603374113114,-2.18124332242283,4.12712674251985e-26
"CLDN4",197.198298048513,2.03834360417155,1.17935954120905e-25
"TPK1",89.4023738166018,3.02470780461841,5.02587401840319e-25
"ACTB",47015.297835152,-1.13291750837987,4.43051403451598e-23
"BBIP1",275.251849202863,-1.71373289499872,1.98683505895928e-22
"KIF14",546.183406578447,-1.54676235355272,4.75671192534173e-22
"GLI1",64.2348939176765,4.24700743930115,9.14433015362719e-22
"PTX3",80.397488329238,-3.368551232106,2.5864171413152e-21
"MLIP",72.0501093691508,3.08782740017188,6.7807413756508e-21
"CCPG1",284.951426484993,-1.47991151786773,1.661527461001e-20
"CIB2",179.01523431824,1.8867283520421,2.10595075550654e-19
"GABPB2",435.598525579243,-1.52991382153203,6.94364928744336e-19
"STRIP2",497.437875363661,1.29884657124758,1.42216098136994e-18
"GPR160",253.276649887287,1.67431095553721,2.14744711664093e-18
"THBS4",408.082137680183,1.52818108609594,4.90802523675152e-17
"SIRT3",153.524893194931,-1.60480845277879,3.68700131553966e-16
"NTNG1",48.3381070798179,-2.97010179810551,3.84867143863771e-16
"SAMD1",733.023976936602,1.23516742650043,6.04414056937719e-16
"TIPARP",1400.55243991637,1.05374461982528,8.87999569907072e-16
"DISC1",100.799759798888,1.93729930232208,2.40812893268566e-15
"FEN1",263.185628039868,-1.54699411542903,2.87393962466446e-15
"EOLA1",117.731947736801,-1.94335099622337,3.37965874171296e-15
"CASD1",534.33720043499,-1.17039735244491,4.41875202420077e-15
"MAN1B1",1359.53475388785,-1.06137303047088,1.05761954857506e-13
"CENPU",166.295978422913,-1.97185313187641,1.10972686339825e-13
"HACD2",1636.89588107821,-1.01061635323756,1.60182612531352e-13
"KBTBD6",295.264114737464,-1.16513053761728,1.68910424468843e-13
"FBXO36",176.081538484563,1.51059939542958,2.20224147060259e-13
"CXCL2",76.3675210493774,-2.29449958299936,2.49733865295292e-13
"CENPP",257.412633826932,1.26539658292554,2.59674851633767e-13
"HAUS8",114.58589378082,-1.77242179134549,2.59847993682152e-13
"CLK2",312.981066215377,-1.24582964036202,3.12433728489219e-13
"PCLAF",57.78984057352,-2.30271483762851,6.83662304449734e-13
"ABTB3",47.780897471703,2.64265144408279,7.0586341034197e-13
"CDCA3",68.4700089695128,-2.24866449094708,9.09344164953043e-13
"MYCL",65.9320765288978,2.25468356499803,1.42021205721479e-12
"CYB561A3",242.833496987433,-1.18126628214893,2.9123329706994e-12
"GSDMD",717.190353019373,-1.07706539295703,3.74713010467095e-12
"AIMP1",816.276223480258,1.14911987343629,4.23846657268477e-12
"H2AX",932.512859671881,-1.0918822003352,1.13255142558553e-11
"GAREM1",125.971726882034,-1.49661853777856,1.69197976772152e-11
"CHMP7",730.919150711004,1.00059807461787,2.19206304677233e-11
"EOLA1-DT",32.5736505107933,-3.36315575870341,2.69089123539449e-11
"DUT",304.525530527456,-1.52967467758552,2.92021517129249e-11
"MCMBP",845.919218068558,-1.06904082560744,3.65951792147233e-11
"SH3D21",525.47143779592,-0.947622359686681,4.67244103354661e-11
"ANKRD24",102.640097674677,1.59805149444066,1.12801444442815e-10
"IRGQ",1254.37470969261,-0.838218589121991,1.28530100665528e-10
"KCTD16",49.897734574746,2.2908712307422,1.29121101580582e-10
"APPL2",832.159761479335,0.884339005174999,1.48470272649461e-10
"PPIG",933.771419440189,-1.05106872162153,2.49765742362269e-10
"CFAP418",72.6936767750462,-1.6933641619447,3.52199637059273e-10
"GPRC5C",41.79694707012,2.48641749686787,5.04446889668228e-10
"PEMT",121.510812443186,1.381339160424,5.15605756264987e-10
"SPATS2",827.492618599671,0.840824714881465,9.42151036576543e-10
"VAMP8",31.0099258192233,2.85609253808315,1.08877450254433e-09
"PLOD3",1761.6140351554,-0.950204027782244,1.38651809947149e-09
"HES4",636.314582497238,1.22628693488564,2.21080038014311e-09
"NBPF1",550.687362909011,-0.839547645256973,2.3297665213291e-09
"CAPN10",674.958587116713,0.910215931358092,2.47735969825474e-09
"PSEN1",1721.81363396102,0.724944737166604,4.25885421823626e-09
"HAUS4",35.5313178260599,-2.17380265144251,4.39818179090012e-09
"SLC11A2",629.287203326177,-0.85352998579693,4.46357478564528e-09
"TEF",1018.19140914598,0.879807849077333,9.2673456458665e-09
"ACOX1",1438.33199422943,-0.800321315072866,1.55740585729003e-08
"ZPR1",1334.91859552196,0.882704660708672,1.72343915871693e-08
"FEM1A",237.976777632527,1.10261754200081,1.77025833227778e-08
"MRPL44",475.622389115381,1.16732080045849,2.20305576917199e-08
"TECR",892.580213786277,-0.776174440634937,2.43066576338007e-08
