"from","to","edge_type","regulation"
"TES/TEAD1","ARNT2","direct","repression"
"ARNT2","IQGAP3","indirect","repression"
"ARNT2","KRT8","indirect","activation"
"ARNT2","H4C2","indirect","repression"
"ARNT2","DTWD2","indirect","repression"
"ARNT2","PARP8","indirect","repression"
"ARNT2","KIF3A","indirect","repression"
"ARNT2","H4C1","indirect","repression"
"ARNT2","GYS1","indirect","repression"
"ARNT2","ZCCHC2","indirect","activation"
"ARNT2","SIKE1","indirect","repression"
"TES/TEAD1","ATOH8","direct","repression"
"ATOH8","XRCC2","indirect","repression"
"ATOH8","HYAL2","indirect","activation"
"ATOH8","STRN4","indirect","activation"
"ATOH8","RALB","indirect","activation"
"ATOH8","GNA15-DT","indirect","repression"
"ATOH8","SLC22A18","indirect","repression"
"ATOH8","CBFA2T3","indirect","activation"
"TES/TEAD1","CUX1","direct","activation"
"CUX1","KRT8","indirect","activation"
"CUX1","KNL1","indirect","repression"
"CUX1","KIF20A","indirect","repression"
"CUX1","GSTA4","indirect","activation"
"CUX1","DYNC2H1","indirect","repression"
"CUX1","KIAA0319","indirect","activation"
"CUX1","BLTP1","indirect","repression"
"CUX1","MYADM","indirect","repression"
"CUX1","AURKA","indirect","repression"
"CUX1","CA1","indirect","activation"
"TES/TEAD1","DACH1","direct","repression"
"DACH1","TCN2","indirect","activation"
"DACH1","VGF","indirect","activation"
"DACH1","H4C4","indirect","repression"
"DACH1","KRT8","indirect","activation"
"DACH1","HJURP","indirect","repression"
"DACH1","DHCR7","indirect","activation"
"DACH1","MYO7A","indirect","activation"
"DACH1","SLC36A1","indirect","activation"
"DACH1","TNS1","indirect","activation"
"DACH1","GPI","indirect","repression"
"TES/TEAD1","DLX2","direct","repression"
"DLX2","SGO2","indirect","repression"
"DLX2","IGFL2-AS1","indirect","activation"
"DLX2","GPR160","indirect","activation"
"DLX2","TNRC18","indirect","repression"
"DLX2","CASD1","indirect","repression"
"DLX2","HMOX1","indirect","repression"
"DLX2","DUT","indirect","repression"
"DLX2","JMY","indirect","repression"
"DLX2","HOXC6","indirect","repression"
"DLX2","HOXA3","indirect","repression"
"TES/TEAD1","E2F5","direct","repression"
"E2F5","IQGAP3","indirect","repression"
"E2F5","TOP2A","indirect","repression"
"E2F5","BIRC5","indirect","repression"
"E2F5","CDCA8","indirect","repression"
"E2F5","H2AC16","indirect","repression"
"E2F5","TPX2","indirect","repression"
"E2F5","SYNGR1","indirect","activation"
"E2F5","FOXM1","indirect","repression"
"E2F5","AURKB","indirect","repression"
"E2F5","H2AC13","indirect","repression"
"TES/TEAD1","FOXQ1","direct","activation"
"FOXQ1","SYVN1","indirect","activation"
"FOXQ1","HYAL2","indirect","activation"
"FOXQ1","DNAAF3","indirect","activation"
"FOXQ1","PMVK","indirect","activation"
"FOXQ1","BCCIP","indirect","activation"
"FOXQ1","FAM53C","indirect","activation"
"FOXQ1","HEXIM1","indirect","activation"
"FOXQ1","EED","indirect","repression"
"FOXQ1","TADA3","indirect","activation"
"TES/TEAD1","GLI3","direct","repression"
"GLI3","H2BC9","indirect","repression"
"GLI3","AURKB","indirect","repression"
"GLI3","FUT11","indirect","repression"
"GLI3","TMEM87A","indirect","activation"
"GLI3","MED18","indirect","repression"
"GLI3","FASTK","indirect","repression"
"GLI3","GGCX","indirect","repression"
"GLI3","PSAT1","indirect","repression"
"GLI3","NUDCD3","indirect","repression"
"GLI3","ARHGEF39","indirect","repression"
"TES/TEAD1","HDGF","direct","activation"
"HDGF","PHF19","indirect","repression"
"HDGF","NCAPG","indirect","repression"
"HDGF","VEGFA","indirect","repression"
"HDGF","LTBP3","indirect","repression"
"HDGF","GSTA4","indirect","activation"
"HDGF","H4C1","indirect","repression"
"HDGF","LRP8","indirect","activation"
"HDGF","TMEM116","indirect","activation"
"HDGF","KIAA0319","indirect","activation"
"HDGF","CDC25C","indirect","repression"
"TES/TEAD1","KLF7","direct","repression"
"KLF7","IQGAP3","indirect","repression"
"KLF7","KRT8","indirect","activation"
"KLF7","CASZ1","indirect","activation"
"KLF7","BIRC5","indirect","repression"
"KLF7","ZNF503","indirect","repression"
"KLF7","KIFBP","indirect","repression"
"KLF7","SLC36A1","indirect","activation"
"KLF7","TMEM87A","indirect","activation"
"KLF7","ANO8","indirect","repression"
"KLF7","CNOT4","indirect","activation"
"TES/TEAD1","LHX2","direct","activation"
"LHX2","KRT8","indirect","activation"
"LHX2","CDCA8","indirect","repression"
"LHX2","FADS2","indirect","repression"
"LHX2","NCAPG","indirect","repression"
"LHX2","NUCKS1","indirect","repression"
"LHX2","E2F2","indirect","repression"
"LHX2","WDR62","indirect","repression"
"LHX2","CDCA5","indirect","repression"
"LHX2","KIAA0319","indirect","activation"
"LHX2","CFI","indirect","repression"
"TES/TEAD1","MEF2C","direct","repression"
"MEF2C","CLEC7A","indirect","activation"
"MEF2C","H4C4","indirect","repression"
"MEF2C","PRPF8","indirect","repression"
"MEF2C","CDCA8","indirect","repression"
"MEF2C","PGM1","indirect","repression"
"MEF2C","ADAMTS4","indirect","activation"
"MEF2C","HMGA1","indirect","activation"
"MEF2C","DTWD2","indirect","repression"
"MEF2C","PCDHGC3","indirect","repression"
"MEF2C","H2BC8","indirect","repression"
"TES/TEAD1","MEF2D","direct","activation"
"MEF2D","PIK3R3","indirect","activation"
"MEF2D","KNL1","indirect","repression"
"MEF2D","GYS1","indirect","repression"
"MEF2D","IMPACT","indirect","repression"
"MEF2D","CKB","indirect","repression"
"MEF2D","SPAG5","indirect","repression"
"MEF2D","MKS1","indirect","repression"
"MEF2D","ACP2","indirect","repression"
"MEF2D","ASPH","indirect","repression"
"MEF2D","HSPB1","indirect","repression"
"TES/TEAD1","MYBL1","direct","repression"
"MYBL1","KRT8","indirect","activation"
"MYBL1","FADS2","indirect","repression"
"MYBL1","KIFC1","indirect","repression"
"MYBL1","NCAPG","indirect","repression"
"MYBL1","ARHGAP5","indirect","repression"
"MYBL1","MYADM","indirect","repression"
"MYBL1","H4C16","indirect","repression"
"MYBL1","NEU3","indirect","activation"
"MYBL1","CLDN4","indirect","activation"
"MYBL1","EID2","indirect","repression"
"TES/TEAD1","NR1H4","direct","repression"
"NR1H4","FTCD","indirect","activation"
"NR1H4","TNS1","indirect","activation"
"NR1H4","LTBP3","indirect","repression"
"NR1H4","ECH1","indirect","activation"
"NR1H4","CRIP2","indirect","repression"
"NR1H4","TUBE1","indirect","repression"
"NR1H4","SLC35A4","indirect","repression"
"NR1H4","HSPB1","indirect","repression"
"NR1H4","ZFP64","indirect","activation"
"NR1H4","SLC39A6","indirect","activation"
"TES/TEAD1","PAX8","direct","activation"
"PAX8","UPF3A","indirect","activation"
"PAX8","CGREF1","indirect","activation"
"PAX8","GABPB2","indirect","repression"
"PAX8","PLEKHB1","indirect","repression"
"PAX8","TMEM248","indirect","repression"
"PAX8","MLLT11","indirect","activation"
"PAX8","TFDP1","indirect","repression"
"PAX8","GCC2","indirect","repression"
"PAX8","RHBDF1","indirect","repression"
"PAX8","ARMCX4","indirect","repression"
"TES/TEAD1","PRDM5","direct","repression"
"PRDM5","UBE2C","indirect","repression"
"PRDM5","KIAA0319","indirect","activation"
"PRDM5","WDR7","indirect","repression"
"PRDM5","ERICH1","indirect","activation"
"PRDM5","ELF1","indirect","activation"
"PRDM5","SUN1","indirect","activation"
"PRDM5","GP6","indirect","activation"
"PRDM5","ANTXR2","indirect","repression"
"PRDM5","POR","indirect","activation"
"PRDM5","RPL7AP26","indirect","activation"
"TES/TEAD1","RLF","direct","repression"
"RLF","ANO8","indirect","repression"
"RLF","ACP2","indirect","repression"
"RLF","RSAD2","indirect","activation"
"RLF","THUMPD2","indirect","repression"
"RLF","GLI1","indirect","activation"
"RLF","PUS10","indirect","activation"
"RLF","MBOAT2","indirect","activation"
"RLF","TUBGCP3","indirect","repression"
"RLF","TLNRD1","indirect","repression"
"RLF","SAMD1","indirect","activation"
"TES/TEAD1","SOX3","direct","activation"
"SOX3","H4C4","indirect","repression"
"SOX3","KIFBP","indirect","repression"
"SOX3","H2BC8","indirect","repression"
"SOX3","MAGED1","indirect","repression"
"SOX3","MEG3","indirect","activation"
"SOX3","TCEANC","indirect","activation"
"SOX3","SNRPN","indirect","repression"
"SOX3","SLC15A3","indirect","repression"
"SOX3","WDR7","indirect","repression"
"SOX3","HES6","indirect","activation"
"TES/TEAD1","TFEB","direct","repression"
"TFEB","PDE7B-AS1","indirect","activation"
"TFEB","PGM1","indirect","repression"
"TFEB","KIFC1","indirect","repression"
"TFEB","ZNF503","indirect","repression"
"TFEB","HMGA1","indirect","activation"
"TFEB","SLC36A1","indirect","activation"
"TFEB","TNS1","indirect","activation"
"TFEB","BTBD19","indirect","repression"
"TFEB","LNPK","indirect","repression"
"TFEB","ZCCHC2","indirect","activation"
"TES/TEAD1","ZBTB18","direct","repression"
"ZBTB18","CACNA1G","indirect","activation"
"ZBTB18","PARP8","indirect","repression"
"ZBTB18","NUCKS1","indirect","repression"
"ZBTB18","GPI","indirect","repression"
"ZBTB18","ANO8","indirect","repression"
"ZBTB18","PRMT9","indirect","repression"
"ZBTB18","C1QTNF1","indirect","repression"
"ZBTB18","CDCA5","indirect","repression"
"ZBTB18","CHAC1","indirect","repression"
"ZBTB18","DLL3","indirect","activation"
"TES/TEAD1","ZBTB5","direct","activation"
"ZBTB5","H4C5","indirect","repression"
"ZBTB5","H4C3","indirect","repression"
"ZBTB5","H4C4","indirect","repression"
"ZBTB5","H4C2","indirect","repression"
"ZBTB5","PIK3R3","indirect","activation"
"ZBTB5","KNL1","indirect","repression"
"ZBTB5","NUCKS1","indirect","repression"
"ZBTB5","ANO8","indirect","repression"
"ZBTB5","TMEM116","indirect","activation"
