"gene_name","n_peaks","categories","primary_category","closest_peak_distance","max_tes_signal","max_tead1_signal","has_promoter_peak","has_enhancer_peak","baseMean","log2FoldChange","padj","is_DEG","regulation","primary_category_simple"
"AFF3",2,"TEAD1_unique;TES_unique","TEAD1_unique",-8819,0.993392368007188,3.24058247109254,FALSE,TRUE,130.628181729161,-1.14741213160801,1.6178248125026e-07,TRUE,"Down","TEAD1_Unique"
"AHDC1",1,"TEAD1_unique","TEAD1_unique",12779,2.00521602873075,4.33415343566129,FALSE,TRUE,1031.33536441543,-1.18301176046592,1.41359244010342e-16,TRUE,"Down","TEAD1_Unique"
"AHR",1,"TES_unique","TES_unique",11828,4.07396097274656,0.172077539396145,FALSE,TRUE,22.1458083462917,1.15618730316425,0.020817378849998,TRUE,"Up","TES_Unique"
"AR",2,"Shared_TES_dominant;TES_unique","Shared_TES_dominant",0,4.67157854955383,2.70301477752105,TRUE,TRUE,2124.87320715423,-1.56242180942766,6.94069281414515e-38,TRUE,"Down","Shared"
"ARNT2",1,"TEAD1_unique","TEAD1_unique",-561,0.259542712069889,3.77051846059502,TRUE,FALSE,798.571845560625,-0.813022915155578,4.86515341764537e-08,TRUE,"Down","TEAD1_Unique"
"ARX",2,"Shared_TES_dominant;TES_unique","Shared_TES_dominant",-12965,2.92869257228059,1.76290137803734,FALSE,TRUE,28.9970886223484,1.45400588620406,0.000592230313390828,TRUE,"Up","Shared"
"ATF3",3,"Shared_high;TEAD1_unique;TES_unique","TEAD1_unique",0,6.21620211005211,19.2804575714411,TRUE,TRUE,678.727398867365,-1.81287792876013,2.11649518843257e-22,TRUE,"Down","TEAD1_Unique"
"ATOH8",1,"TEAD1_unique","TEAD1_unique",4430,2.0989369039442,5.25553758541743,FALSE,TRUE,87.8075412679052,-4.85107270898167,1.11712845159032e-39,TRUE,"Down","TEAD1_Unique"
"BACH2",3,"Shared_high;TEAD1_unique;TES_unique","Shared_high",-145,15.6758357466456,39.4259735536032,TRUE,TRUE,79.2413204769811,-1.9437976180316,7.7225233749881e-14,TRUE,"Down","Shared"
"BBX",1,"Shared_TES_dominant","Shared_TES_dominant",-3980,2.98943386606355,1.27524081402019,FALSE,TRUE,4473.17175563903,-0.470392769893258,0.000183726299800791,TRUE,"Down","Shared"
"BHLHE40",1,"TES_unique","TES_unique",-13155,3.82933840348353,0.235522542426835,FALSE,TRUE,2848.2380650402,-0.448467329253918,0.000991528597374006,TRUE,"Down","TES_Unique"
"BMAL2",2,"Shared_TEAD1_dominant;Shared_TES_dominant","Shared_TES_dominant",-1261,6.00381878609174,8.20719089341718,TRUE,TRUE,342.55012077621,-1.80920305014529,4.02709521626551e-30,TRUE,"Down","Shared"
"CEBPG",1,"TEAD1_unique","TEAD1_unique",-22887,2.08664568049841,3.83690414004217,FALSE,TRUE,1579.12884346434,-0.694776794722431,1.86908287844095e-05,TRUE,"Down","TEAD1_Unique"
"CREB1",2,"Shared_TES_dominant;TEAD1_unique","Shared_TES_dominant",-5021,1.73178623217425,4.2255756609306,FALSE,TRUE,1544.24092506686,-0.370826265198885,0.0073419271238392,TRUE,"Down","Shared"
"CREB5",3,"Shared_TES_dominant;TEAD1_unique;TES_unique","TEAD1_unique",0,3.91995438625073,5.19307059530543,TRUE,TRUE,684.37289125731,-1.25898863478479,2.07858830099079e-20,TRUE,"Down","TEAD1_Unique"
"CREBL2",2,"Shared_TEAD1_dominant;TEAD1_unique","TEAD1_unique",0,4.53305439823664,18.2004971487212,TRUE,TRUE,378.449830700646,-4.37793061996222,4.27955794084951e-91,TRUE,"Down","TEAD1_Unique"
"CSRNP1",1,"TEAD1_unique","TEAD1_unique",1105,3.41823473744009,4.19513375914417,TRUE,FALSE,469.562335076393,-1.51293096074021,1.0668110486538e-20,TRUE,"Down","TEAD1_Unique"
"CSRNP3",1,"TES_unique","TES_unique",47064,1.98575607244519,0.881949755808581,FALSE,TRUE,52.7085290381902,-3.83522369121125,5.08333745942844e-24,TRUE,"Down","TES_Unique"
"CUX1",2,"TEAD1_unique;TES_unique","TEAD1_unique",2266,3.52403313218765,5.52858367143824,TRUE,TRUE,3198.86149907515,0.404846534409709,0.00282038804950021,TRUE,"Up","TEAD1_Unique"
"DACH1",3,"Shared_TES_dominant;TEAD1_unique;TES_unique","TEAD1_unique",-69,4.2835820180622,4.25498865106336,TRUE,TRUE,560.623729028486,-1.36143841402169,2.5475010710802e-20,TRUE,"Down","TEAD1_Unique"
"DLX2",1,"TEAD1_unique","TEAD1_unique",3730,1.86172103612021,4.76539233216533,FALSE,TRUE,198.384502135121,-0.761523300852717,6.20683350883744e-05,TRUE,"Down","TEAD1_Unique"
