"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"HALLMARK_G2M_CHECKPOINT",8.90314243982263e-23,2.12785104311761e-20,1.23789667319529,-0.617654640644551,-2.65743312251108,198,"TROAP;UBE2C;DMD;TTK;BRCA2;MKI67;AURKB;BIRC5;TOP2A;MYBL2;CDC20;NDC80;E2F2;KIF23;TPX2;AURKA;CDK1;KNL1;HMMR;ESPL1;POLQ;NEK2;HMGB3;PLK1;CCNA2;KIF15;NUSAP1;MARCKS;EXO1;PTTG1;KPNA2;PLK4;LMNB1;CDC45;TRAIP;BUB1;CENPA;KIF22;RASAL2;CKS1B;CDC25A;GINS2;KIF20B;CENPE;CKS2;TMPO;CCNB2;POLA2;RAD54L;BARD1;PBK;INCENP;CHEK1;TACC3;CDC6;KIF2C;SYNCRIP;MCM6;CDKN3;SLC38A1;MT2A;PRC1;CENPF;RBM14;HOXC10;RACGAP1;BCL3;H2AZ2;MYC;SFPQ;H2AX;MAD2L1;CCND1;DBF4;TFDP1;CDC25B;EZH2;FBXO5;SAP30;NOTCH2;H2AZ1;SLC7A5;CHAF1A;SMAD3;PDS5B;RAD23B;SRSF1;TLE3;HIF1A;SLC7A1;CCNF;STAG1;NSD2;YTHDC1;PML;DTYMK;CDC7;NUP50;SLC12A2;UBE2S;PRMT5;SRSF10;HNRNPU","Hallmark"
"HALLMARK_E2F_TARGETS",2.52853733004976e-21,3.02160210940946e-19,1.19534448258848,-0.604191467803192,-2.59950838741092,198,"DLGAP5;RRM2;KIF18B;CDCA8;BRCA2;MKI67;AURKB;BIRC5;SPC25;TOP2A;SPC24;MYBL2;CDC20;TK1;DIAPH3;RAD51AP1;AURKA;CDK1;HMMR;ESPL1;PRPS1;E2F8;HMGB3;PLK1;HELLS;PTTG1;BUB1B;KPNA2;PLK4;SPAG5;GINS1;CDCA3;CBX5;LMNB1;DEPDC1;KIF22;RAN;CKS1B;NBN;CDC25A;PRKDC;CENPE;CKS2;UBE2T;HMGB2;TMPO;CCNB2;MELK;POLA2;BRCA1;BARD1;CHEK1;TACC3;DUT;NCAPD2;KIF2C;SYNCRIP;MCM6;CDKN3;MMS22L;NAP1L1;TUBG1;TUBB;RFC2;POLD2;RACGAP1;RAD50;CENPM;ASF1B;PAN2;TRIP13;MYC;NUDT21;DEK;H2AX;MAD2L1;CDC25B;MXD3;SHMT1;EZH2;H2AZ1;MCM4","Hallmark"
"HALLMARK_MITOTIC_SPINDLE",9.63811512541719e-13,7.6783650499157e-11,0.910119734774459,-0.516351907486978,-2.22369583595364,199,"MID1;DLGAP5;TTK;ARHGAP29;BRCA2;BIRC5;TOP2A;NDC80;KIF23;TPX2;AURKA;CDK1;ESPL1;NEK2;PLK1;PIF1;KIF15;NUSAP1;DOCK2;MARCKS;CENPJ;ECT2;ANLN;PKD2;SPTBN1;LMNB1;SYNPO;BUB1;KIF22;RASAL2;KIF20B;CENPE;ARHGAP5;CCNB2;NET1;SORBS2;CCDC88A;INCENP;CDC42EP1;ARHGAP10;CDC42EP4;KIF2C;TUBGCP3;STK38L;PALLD;PRC1;CENPF;ACTN4;DST;DYNC1H1;RACGAP1;MYH9;SEPTIN9;EPB41L2;SHROOM2;FBXO5;NOTCH2;ITSN1;DLG1;FSCN1;PXN;NCK2;APC;BIN1;LATS1;TLK1;SPTAN1;RASA1;PDLIM5;PLEKHG2;CEP131;CDC42BPA;PCNT;MID1IP1;VCL;PPP4R2;FLNB;KNTC1;BCR;MYH10;ARAP3;RAPGEF6","Hallmark"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6.87659959469726e-10,4.10876825783161e-08,0.801215574617779,-0.483034266042581,-2.06552628629042,188,"CCN2;CCN1;COL11A1;THBS1;DAB2;NNMT;ITGB3;ABI3BP;TNFRSF11B;VCAM1;IGFBP3;VIM;CDH11;PTX3;VCAN;IL6;LRRC15;CALD1;COL5A2;VEGFC;COL12A1;LOXL1;FZD8;FBN1;DKK1;CAP2;LOXL2;FN1;COL1A2;PTHLH;VEGFA;PMP22;NT5E;SERPINE2;PLOD2;BDNF;TPM1;PRRX1;COL5A1;FSTL1;ENO2;SNTB1;SFRP4;LGALS1;IL32;FAP;COL4A2;PFN2;COL4A1;SDC4;ACTA2;SLIT2;LOX;SLIT3;PVR;FBLN1;PMEPA1;ADAM12;CXCL8;COL5A3;MATN2;TGFBI;MMP14;IL15;THY1;SFRP1;CDH2;DST;FERMT2;FAS;BGN;FGF2;SERPINH1;CDH6;TNFAIP3;ITGA2","Hallmark"
"HALLMARK_HYPOXIA",9.0820965152705e-08,3.10088723878521e-06,0.704975715167238,-0.446934821049379,-1.91759969054768,192,"CCN2;CCN1;MT1E;CAV1;CP;GBE1;IGFBP3;IL6;TKTL1;PGK1;TMEM45A;NDRG1;PDK1;ETS1;PGM1;HK1;CITED2;VEGFA;PFKFB3;COL5A1;FOSL2;DDIT4;ENO2;P4HA2;FAM162A;PPFIA4;GAPDH;PFKP;GPI;GYS1;ATF3;CAVIN1;AK4;KDELR3;PAM;SDC4;LOX;EGFR;EFNA1;PLAC8;P4HA1;ENO1;WSB1;KLF7;SLC6A6;GPC4;TGFBI;STC1;HMOX1;MT2A;INHA;ERRFI1;MAP3K1;BGN;PPP1R3C;MYH9;ALDOA;BTG1;TNFAIP3;TPD52;STC2;BNIP3L;ZNF292;HOXB9;SCARB1;NOCT;ANKZF1;PDK3;IDS;SAP30","Hallmark"
"HALLMARK_UV_RESPONSE_DN",1.46805241003462e-07,3.89849473331417e-06,0.690132458796796,-0.486260894529444,-2.00446319873171,142,"CCN1;COL11A1;IGFBP5;MT1E;DAB2;EFEMP1;ITGB3;CAV1;COL5A2;PTGFR;NFIB;IRS1;CAP2;COL1A2;CITED2;PMP22;MET;BDNF;TGFBR2;SYNE1;BCKDHB;MAP1B;LTBP1;NRP1;TFPI;SYNJ2;HAS2;RND3;CDON;DDAH1;PIK3CD;SIPA1L1;SRI;NR1D2;SCHIP1;AMPH;MYC;ACVR2A;AGGF1;NOTCH2;SCAF8;F3;DLG1;RBPMS;SMAD3;ID1;VLDLR;SLC7A1;SNAI2;APBB2;MIOS;YTHDC1;PDLIM5","Hallmark"
"HALLMARK_GLYCOLYSIS",5.9022155388723e-07,1.41062951379048e-05,0.659444398037935,-0.420085367297433,-1.8051167281309,195,"PFKFB1;TGFA;KIF20A;IGFBP3;VCAN;TKTL1;PGK1;AURKA;CDK1;HMMR;PRPS1;DLD;ALDH7A1;PYGL;CITED2;EGLN3;VEGFA;NT5E;PLOD2;DEPDC1;MET;CENPA;COL5A1;SPAG4;DDIT4;PGAM1;SLC35A3;ENO2;P4HA2;FAM162A;PPFIA4;PFKP;GYS1;AK4;KDELR3;PAM;EGFR;P4HA1;ENO1;SLC16A3;GPC4;TGFBI;STC1;GALE;AKR1A1;SLC25A13;GNE;GFPT1;G6PD;ALDOA;STC2;ZNF292;ANKZF1;PDK3;B4GALT1;SAP30;CD44","Hallmark"
"HALLMARK_MTORC1_SIGNALING",2.30579201897495e-05,0.000344427682834384,0.575610261071129,-0.396930040416947,-1.71160045766146,200,"IGFBP5;RRM2;GBE1;PGK1;AURKA;STARD4;PLK1;PDK1;FADS2;PGM1;QDPR;SLC7A11;EGLN3;ELOVL6;PSAT1;BCAT1;PLOD2;BUB1;FADS1;CDC25A;DDIT4;SCD;GAPDH;GPI;EPRS1;NIBAN1;AK4;TBK1;P4HA1;ENO1;SLC6A6;STC1;TUBG1;SHMT2;DHFR;SERPINH1;G6PD;ALDOA;SLC1A5;NAMPT;PHGDH;IFI30;CYP51A1;SLC7A5;MCM4;ASNS;CTSC;VLDLR;MTHFD2;CCNF;EBP;CCT6A","Hallmark"
"HALLMARK_MYC_TARGETS_V1",0.000298604979867946,0.00396481056602439,0.49849310876659,-0.37010281328225,-1.59591887761954,200,"CDC20;PGK1;CCNA2;KPNA2;TYMS;CDC45;RAN;RPL22;EPRS1;TXNL4A;CDK2;PSMA1;DUT;SYNCRIP;MCM6;CAD;NAP1L1;POLD2;XPOT;MYC;DEK;MAD2L1;SNRPG;TFDP1;SNRPD3;H2AZ1;MCM4;MRPS18B;RAD23B;SRSF1;SRSF3;MRPL23;MCM7;SRSF7;CSTF2;HNRNPU;CYC1;HNRNPD;IARS1;HNRNPA1;RRM1;EIF1AX;TRIM28;SRSF2;YWHAE;IFRD1;SLC25A3;PCNA;RACK1;SNRPA;RPL14;HNRNPA3;TRA2B;NOLC1;PSMA7;HNRNPR;CCT2;ORC2;VDAC1;PSMB2;GLO1;HDDC2;RUVBL2;PSMB3;GOT2;SNRPD1;XRCC6;CBX3;SET;COX5A;EEF1B2;VDAC3;RANBP1;EIF4H;BUB3;EIF4A1;HNRNPA2B1;RPS10;PRDX3;ABCE1;PSMA2;EIF2S1","Hallmark"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00139952036417091,0.0119331858327467,0.45505986738723,-0.341181645040212,-1.46248902596778,190,"CCN1;EDN1;KYNU;PTX3;IL6;CCL2;IL18;DRAM1;KLF10;MARCKS;BIRC3;CXCL2;RELA;VEGFA;PFKFB3;MAP3K8;RIPK2;FOSL2;RCAN1;PLK2;SERPINB8;IL6ST;ATF3;IL7R;PDE4B;SDC4;ICOSLG;EFNA1;BIRC2;CEBPB;PMEPA1;PHLDA1;PTGER4;TNFAIP6;PTGS2;FUT4;KLF2;CCNL1;BCL3;SOD2;EHD1;BTG1;TNFAIP3;TRIP10;NAMPT;CSF1;MYC;CCND1;CFLAR;PANX1;LIF;RIGI;CEBPD;B4GALT1;CD44;F3;SMAD3;G0S2;NFKB2;TNC;DENND5A;IRF1;CLCF1;IL1A;NFKBIE;PDLIM5;NFKBIA;KLF9;SOCS3;NR4A2;ZBTB10;RELB","Hallmark"
"HALLMARK_ALLOGRAFT_REJECTION",0.00452090920507347,0.0249150254022858,0.241698386096655,0.399737221307115,1.45732255839406,160,"PRF1;CD40;RPL3L;TRAT1;CXCL13;CD80;NCF4;CD8A;LCK;CD8B;CD4;IL12RB1;IL2RB;NOS2;MAP4K1;LY75;STAT4;CD247;CTSS;CAPG;HLA-G;GBP2;GLMN;ACHE;IL27RA;UBE2D1;IL11;SOCS1;IL2RG;INHBB;SPI1;CCR1;CD74;B2M;IRF4;IL10;IL13;WAS;HLA-DMA;CCL5;IL12A;JAK2;F2R;HLA-A;MMP9","Hallmark"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00841375897055184,0.0372386739622572,0.175004015942342,0.382104510448961,1.41392082366662,185,"DHRS2;KRT19;KRT15;CXCL12;SFN;OLFML3;CCN5;SOX3;KRT13;DEPTOR;KRT8;OVOL2;KCNK15;OPN3;CBFA2T3;ADCY1;IGFBP4;CYP26B1;SYNGR1;P2RY2;DHCR7;OLFM1;TGM2;CELSR1;TIAM1;FOS;RAB17;REEP1;THSD4;GREB1;INHBB;PODXL;SLC39A6;PTGES;MAPT;MYB;WFS1;ZNF185;JAK2;SLC26A2;CLDN7;ELF3;KRT18;GAB2;HES1;TIPARP;SH3BP5;MICB;PMAIP1;AFF1;FKBP5;MUC1;ELF1;TJP3","Hallmark"
