"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","is_significant","ensembl_id","gene_symbol","tes_bound","tead1_bound"
"ENSG00000102144.15",8047.41212312829,-3.0614033119931,0.162576819452504,-18.8305031572319,4.24706344479265e-79,5.98606851007124e-77,TRUE,"ENSG00000102144","PGK1",FALSE,TRUE
"ENSG00000161888.12",267.899876111663,-3.36414488187744,0.180071661528222,-18.6822560158928,6.9038685190949e-78,9.41809662074762e-76,TRUE,"ENSG00000161888","SPC24",FALSE,TRUE
"ENSG00000108924.14",238.276383309465,-3.5833631287258,0.192645061556508,-18.6008564132058,3.16215539693816e-77,4.29648378092782e-75,TRUE,"ENSG00000108924","HLF",FALSE,TRUE
"ENSG00000187678.10",1589.29566700116,2.40423791327406,0.130633437063932,18.4044603534195,1.20983785905186e-75,1.5990572916838e-73,TRUE,"ENSG00000187678","SPRY4",FALSE,TRUE
"ENSG00000070540.13",850.931949248027,2.49091755540546,0.135895920552995,18.3295977191169,4.80445034858678e-75,6.13524697145848e-73,TRUE,"ENSG00000070540","WIPI1",FALSE,TRUE
"ENSG00000221955.11",284.584108708658,3.87413333504754,0.214713265034918,18.0432882636176,8.9082034580038e-73,1.08846710453767e-70,TRUE,"ENSG00000221955","SLC12A8",FALSE,TRUE
"ENSG00000105137.13",585.471727230013,-2.71539421058604,0.15207262945805,-17.8559035920076,2.60037926339971e-71,3.06700287566533e-69,TRUE,"ENSG00000105137","SYDE1",FALSE,TRUE
"ENSG00000112984.12",335.542923002534,-3.75413861695281,0.210402532301539,-17.8426494010659,3.29686822675992e-71,3.86165585953728e-69,TRUE,"ENSG00000112984","KIF20A",FALSE,TRUE
"ENSG00000278463.2",212.235824297109,-6.03171697076336,0.339055585318851,-17.7897584701077,8.48448236399378e-71,9.83620808669423e-69,TRUE,"ENSG00000278463","H2AC4",FALSE,TRUE
"ENSG00000094916.16",2400.47557747362,-2.18705730475473,0.126418377730174,-17.3001532215732,4.69139534170082e-67,4.96440239772254e-65,TRUE,"ENSG00000094916","CBX5",FALSE,TRUE
"ENSG00000042832.12",279.328649144448,3.3743699150195,0.197874511950902,17.0530801655585,3.31589527474356e-65,3.40284986986372e-63,TRUE,"ENSG00000042832","TG",FALSE,TRUE
"ENSG00000178852.16",503.026889121255,-3.47855737617408,0.206070049113231,-16.8804607517839,6.26539164434228e-64,6.24113851539644e-62,TRUE,"ENSG00000178852","EFCAB13",FALSE,TRUE
"ENSG00000062725.10",1623.77597921065,-2.14758575644914,0.127550342732577,-16.8371617860078,1.30339925791689e-63,1.29078326509974e-61,TRUE,"ENSG00000062725","APPBP2",FALSE,TRUE
"ENSG00000116641.18",2517.6251819881,-2.03626535714654,0.121008990165943,-16.8273890588969,1.53733356825877e-63,1.51802751879691e-61,TRUE,"ENSG00000116641","DOCK7",FALSE,TRUE
"ENSG00000171401.15",276.068835177936,4.24495085321552,0.253052649631876,16.774970976952,3.72040778264044e-63,3.63146010231984e-61,TRUE,"ENSG00000171401","KRT13",FALSE,TRUE
"ENSG00000163017.14",288.172974982963,6.41858467463795,0.383380130602311,16.742090062294,6.46767959988142e-63,6.24131081388557e-61,TRUE,"ENSG00000163017","ACTG2",FALSE,TRUE
"ENSG00000130635.17",3680.86781831282,-2.06127172205798,0.124801157394055,-16.5164471636235,2.79378247453476e-61,2.53064541586658e-59,TRUE,"ENSG00000130635","COL5A1",FALSE,TRUE
"ENSG00000146072.6",1156.17542087429,2.28604362959457,0.139387551661321,16.4006297717971,1.892658081726e-60,1.69183709789654e-58,TRUE,"ENSG00000146072","TNFRSF21",FALSE,TRUE
"ENSG00000107551.21",462.206877680772,-2.5157109169883,0.154016380446447,-16.3340477791779,5.65076214343513e-60,4.95982140796394e-58,TRUE,"ENSG00000107551","RASSF4",FALSE,TRUE
"ENSG00000116962.15",5347.80760445626,1.97477470575633,0.121000448764459,16.3203915846663,7.06807639224583e-60,6.14036876961142e-58,TRUE,"ENSG00000116962","NID1",FALSE,TRUE
"ENSG00000171604.12",1087.10394691613,-2.42312921777421,0.148751166878236,-16.289816534735,1.16578417838676e-59,1.00505982161019e-57,TRUE,"ENSG00000171604","CXXC5",FALSE,TRUE
"ENSG00000112078.14",1272.8722125187,-2.09195035006036,0.129257092801509,-16.1844143692201,6.49650425963868e-59,5.48938449481111e-57,TRUE,"ENSG00000112078","KCTD20",FALSE,TRUE
"ENSG00000276410.4",145.493270156618,-5.28076373057452,0.33026343758658,-15.9895499458372,1.51118785949055e-57,1.24592303910619e-55,TRUE,"ENSG00000276410","H2BC3",FALSE,TRUE
"ENSG00000104368.19",2981.17208452246,2.14148048266979,0.134402199844216,15.9333737479888,3.71746741215732e-57,3.05750443235254e-55,TRUE,"ENSG00000104368","PLAT",FALSE,TRUE
"ENSG00000137871.21",325.430477589562,-2.4874767599826,0.156378595808288,-15.9067597910402,5.68822011732255e-57,4.65584243241476e-55,TRUE,"ENSG00000137871","ZNF280D",FALSE,TRUE
"ENSG00000233822.6",336.734985525155,-2.69683357277825,0.169798841799237,-15.8825204235897,8.37445980604388e-57,6.83806852624276e-55,TRUE,"ENSG00000233822","H2BC15",FALSE,TRUE
"ENSG00000132274.17",2522.80481864661,-2.10327044909659,0.132717834530303,-15.847685102309,1.45855474420673e-56,1.1824388437044e-54,TRUE,"ENSG00000132274","TRIM22",FALSE,TRUE
"ENSG00000137807.16",528.041499786969,-2.94438404897839,0.186980832710243,-15.7469832939571,7.20367058869768e-56,5.78473481221945e-54,TRUE,"ENSG00000137807","KIF23",FALSE,TRUE
"ENSG00000196954.14",298.672381893882,-3.40089793536016,0.216381169983692,-15.717162152402,1.15376963076886e-55,9.15683336868146e-54,TRUE,"ENSG00000196954","CASP4",FALSE,TRUE
"ENSG00000167900.12",411.798072966176,-2.98550679918379,0.191694721764134,-15.574277537267,1.08876226767362e-54,8.4243910497352e-53,TRUE,"ENSG00000167900","TK1",FALSE,TRUE
"ENSG00000135127.12",189.782918068046,3.69982262823071,0.237648260528095,15.5684818395433,1.19202998065589e-54,9.20247145066343e-53,TRUE,"ENSG00000135127","BICDL1",FALSE,TRUE
"ENSG00000146243.14",119.606212376108,-4.53743512512923,0.292240417223496,-15.5263777961936,2.30010213102054e-54,1.75572739744957e-52,TRUE,"ENSG00000146243","IRAK1BP1",FALSE,TRUE
"ENSG00000155189.12",2821.50279490381,2.08134772944861,0.134822391802715,15.4377006787881,9.12973865507599e-54,6.84589321491438e-52,TRUE,"ENSG00000155189","AGPAT5",FALSE,TRUE
"ENSG00000167767.14",874.971924624746,-2.1588708727259,0.141494237163963,-15.2576593647712,1.46406495902421e-52,1.06263586598578e-50,TRUE,"ENSG00000167767","KRT80",FALSE,TRUE
"ENSG00000185070.12",275.495530388268,3.08807545055575,0.202578759370587,15.2438264512549,1.80955034877601e-52,1.3078043882388e-50,TRUE,"ENSG00000185070","FLRT2",FALSE,TRUE
"ENSG00000147874.11",2866.08438870837,2.30278659689958,0.151237232235201,15.2263206808647,2.36533447259501e-52,1.69864019799381e-50,TRUE,"ENSG00000147874","HAUS6",FALSE,TRUE
"ENSG00000134871.19",1248.94798373799,-1.84703012684067,0.121777416445575,-15.1672631983135,5.82557058750031e-52,4.13981133297511e-50,TRUE,"ENSG00000134871","COL4A2",FALSE,TRUE
"ENSG00000112249.14",1278.22528958741,-1.8507081341601,0.122058135173653,-15.1625135967142,6.26259514224514e-52,4.44108208333576e-50,TRUE,"ENSG00000112249","ASCC3",FALSE,TRUE
"ENSG00000129038.16",234.753386141022,-3.0496787515824,0.2016502258289,-15.123606924051,1.13170234007677e-51,7.94249278672063e-50,TRUE,"ENSG00000129038","LOXL1",FALSE,TRUE
"ENSG00000142627.13",2283.91361800912,-1.83480597326664,0.121475688253794,-15.1043060520329,1.51694980915722e-51,1.0624278580918e-49,TRUE,"ENSG00000142627","EPHA2",FALSE,TRUE
"ENSG00000175832.13",455.032835511565,2.52011944998217,0.166887523317378,15.100706151589,1.6020842717502e-51,1.11974482598376e-49,TRUE,"ENSG00000175832","ETV4",FALSE,TRUE
"ENSG00000100504.17",504.408882655779,-2.34832441445157,0.155631525465365,-15.0890020992191,1.91313856370936e-51,1.32894664073782e-49,TRUE,"ENSG00000100504","PYGL",FALSE,TRUE
"ENSG00000141458.13",2247.90224506817,1.89164761037418,0.126104602779668,15.0006230437068,7.27333596608189e-51,4.96105775292911e-49,TRUE,"ENSG00000141458","NPC1",FALSE,TRUE
"ENSG00000130707.18",302.561969255723,3.26327408904564,0.218364573325212,14.9441552691133,1.70033620704293e-50,1.15053825260626e-48,TRUE,"ENSG00000130707","ASS1",FALSE,TRUE
"ENSG00000137185.13",171.594418173419,-3.44356114061684,0.233354151856221,-14.7568025390804,2.78159045130123e-49,1.81005870593487e-47,TRUE,"ENSG00000137185","ZSCAN9",FALSE,TRUE
"ENSG00000167601.12",2547.44103046447,-1.90267608654883,0.130861661837458,-14.5395989920419,6.79897660673944e-48,4.26102651988423e-46,TRUE,"ENSG00000167601","AXL",FALSE,TRUE
"ENSG00000183087.15",1089.84264152475,2.3820999885627,0.164712886033825,14.4621349666201,2.10175967426154e-47,1.29804677482392e-45,TRUE,"ENSG00000183087","GAS6",FALSE,TRUE
"ENSG00000139354.11",355.136606587132,-2.52087341128525,0.174852910489764,-14.4171086670749,4.03911941705371e-47,2.47208663708974e-45,TRUE,"ENSG00000139354","GAS2L3",FALSE,TRUE
"ENSG00000131149.19",1776.74598081016,-1.78037591956907,0.123712522009757,-14.3912345383166,5.87379818665375e-47,3.56925182118524e-45,TRUE,"ENSG00000131149","GSE1",FALSE,TRUE
"ENSG00000135541.22",713.986793085276,-1.93993348956422,0.13535819525406,-14.3318510262572,1.38382441027729e-46,8.31960133952194e-45,TRUE,"ENSG00000135541","AHI1",FALSE,TRUE
"ENSG00000182481.10",1296.16289606408,-2.36083832355753,0.165404066244281,-14.2731577110739,3.21676730899174e-46,1.9169675781023e-44,TRUE,"ENSG00000182481","KPNA2",FALSE,TRUE
"ENSG00000235437.10",373.701292707764,-2.39178376532478,0.16791695248295,-14.2438492954882,4.89545304537124e-46,2.89197824426383e-44,TRUE,"ENSG00000235437","LINC01278",FALSE,TRUE
"ENSG00000113368.12",493.786208777781,-2.1820679700505,0.155079580704037,-14.0706336717203,5.75513939379213e-45,3.30220565757316e-43,TRUE,"ENSG00000113368","LMNB1",FALSE,TRUE
"ENSG00000064666.15",1581.14674087762,-1.65973739205787,0.118967680582321,-13.9511620629554,3.09520776733318e-44,1.74069565299294e-42,TRUE,"ENSG00000064666","CNN2",FALSE,TRUE
"ENSG00000263293.3",98.4343164305271,-4.09683221992525,0.294234578337133,-13.9236939556136,4.54778740999299e-44,2.54077701879345e-42,TRUE,"ENSG00000263293","EFCAB13-DT",FALSE,TRUE
"ENSG00000114346.14",973.110096089624,-2.38348780336171,0.172497786131128,-13.8174979332769,1.99897888211194e-43,1.09166100751734e-41,TRUE,"ENSG00000114346","ECT2",FALSE,TRUE
"ENSG00000102003.12",182.686437496001,3.01331951919787,0.218343599302936,13.8008145364367,2.51989167368066e-43,1.36953088594535e-41,TRUE,"ENSG00000102003","SYP",FALSE,TRUE
"ENSG00000085662.14",935.368793233783,-2.5676178015796,0.186094690601274,-13.7973726885146,2.64311241474688e-43,1.43420515182304e-41,TRUE,"ENSG00000085662","AKR1B1",FALSE,TRUE
"ENSG00000158406.6",181.301174421486,-3.18235928344779,0.231303890632324,-13.7583474050007,4.53781419846948e-43,2.41599486980582e-41,TRUE,"ENSG00000158406","H4C8",FALSE,TRUE
"ENSG00000249992.2",261.905638321717,2.73595637697427,0.199096248419724,13.7418781051388,5.69783103364204e-43,3.01940599923171e-41,TRUE,"ENSG00000249992","TMEM158",FALSE,TRUE
"ENSG00000276043.5",386.138973432756,-2.03898532440091,0.148775804895645,-13.705086830692,9.4654010018528e-43,4.98481769350288e-41,TRUE,"ENSG00000276043","UHRF1",FALSE,TRUE
"ENSG00000115750.17",231.712134016999,-2.45688619468969,0.17929643271977,-13.7029284822954,9.75107013888574e-43,5.12731192689893e-41,TRUE,"ENSG00000115750","TAF1B",FALSE,TRUE
"ENSG00000182628.13",770.33166845057,-2.09372382458291,0.154219014480184,-13.5763014154908,5.53517391964648e-42,2.84445972318535e-40,TRUE,"ENSG00000182628","SKA2",FALSE,TRUE
"ENSG00000213853.10",373.636182777694,-2.20170279455352,0.16293021758693,-13.5131642684931,1.30777286369687e-41,6.65006416677475e-40,TRUE,"ENSG00000213853","EMP2",FALSE,TRUE
"ENSG00000184500.16",564.777572546055,-2.53227484551902,0.187820281175906,-13.4824356010168,1.98446078028639e-41,1.00309767536857e-39,TRUE,"ENSG00000184500","PROS1",FALSE,TRUE
"ENSG00000168874.13",87.8075412679052,-4.85107270898167,0.360021936553446,-13.4743809097353,2.21334034361836e-41,1.11712845159032e-39,TRUE,"ENSG00000168874","ATOH8",FALSE,TRUE
"ENSG00000204103.4",277.172674229191,2.37984207788346,0.176974442547205,13.4473771671787,3.18987423068558e-41,1.605239227673e-39,TRUE,"ENSG00000204103","MAFB",FALSE,TRUE
"ENSG00000168209.6",2964.9469236696,-1.99970182712165,0.148859476312174,-13.433486914384,3.84854370708761e-41,1.92246077415223e-39,TRUE,"ENSG00000168209","DDIT4",FALSE,TRUE
"ENSG00000006534.17",522.062577838228,-2.04066129831443,0.152809742740575,-13.3542617225583,1.11861672828167e-40,5.48299755068858e-39,TRUE,"ENSG00000006534","ALDH3B1",FALSE,TRUE
"ENSG00000184083.12",963.993829675878,-1.70262048405621,0.12770264379255,-13.3326956552448,1.49400103271954e-40,7.28095080049032e-39,TRUE,"ENSG00000184083","FAM120C",FALSE,TRUE
"ENSG00000162174.12",165.037136077977,2.99943724949575,0.225428471934903,13.3054943049159,2.15066055072572e-40,1.03916980920414e-38,TRUE,"ENSG00000162174","ASRGL1",FALSE,TRUE
"ENSG00000101347.11",3446.75781261174,-1.52803575634843,0.114944476522752,-13.2936858087824,2.51859524330301e-40,1.21349848545414e-38,TRUE,"ENSG00000101347","SAMHD1",FALSE,TRUE
"ENSG00000135334.9",1056.1518526297,-1.756776168316,0.132342440183604,-13.2744731461711,3.25552706388716e-40,1.55751751135379e-38,TRUE,"ENSG00000135334","AKIRIN2",FALSE,TRUE
"ENSG00000183337.18",1049.45003368332,-1.78864380210564,0.135425692427276,-13.207566230951,7.93486958388992e-40,3.76967342693109e-38,TRUE,"ENSG00000183337","BCOR",FALSE,TRUE
"ENSG00000169679.15",615.995756046021,-2.12093304286115,0.160808934399747,-13.1891492893599,1.01322166971205e-39,4.80685945206411e-38,TRUE,"ENSG00000169679","BUB1",FALSE,TRUE
"ENSG00000156970.13",250.292604928006,-2.36381656843305,0.179948322976809,-13.1360855679532,2.04536987857461e-39,9.58305159109273e-38,TRUE,"ENSG00000156970","BUB1B",FALSE,TRUE
"ENSG00000204054.14",1110.31464812607,-1.60349571109709,0.122270226474774,-13.1143595405698,2.72474322408223e-39,1.26786407994007e-37,TRUE,"ENSG00000204054","LOC124900275",FALSE,TRUE
"ENSG00000143847.16",686.849321821765,-1.95309136986228,0.150020973751329,-13.0187887801587,9.5676490927893e-39,4.3506546771602e-37,TRUE,"ENSG00000143847","PPFIA4",FALSE,TRUE
"ENSG00000205085.13",734.160757929476,2.00000427924408,0.153697948242299,13.0125632912883,1.03800872958715e-38,4.71378081906634e-37,TRUE,"ENSG00000205085","GARIN1A",FALSE,TRUE
"ENSG00000073008.16",2205.76715691223,-1.55593731269292,0.120077536071281,-12.9577718164477,2.12325778014792e-38,9.55269142729332e-37,TRUE,"ENSG00000073008","PVR",FALSE,TRUE
"ENSG00000171246.7",134.917021670994,5.57219239160605,0.430856981259846,12.9328121255287,2.93870151471671e-38,1.31171896257421e-36,TRUE,"ENSG00000171246","NPTX1",FALSE,TRUE
"ENSG00000291136.1",717.060243640292,-2.24267825429013,0.174162883463438,-12.8769012644473,6.07250671365797e-38,2.68232650259472e-36,TRUE,"ENSG00000291136","RABGEF1P1",FALSE,TRUE
"ENSG00000115594.12",253.70914847199,-2.40154244259642,0.186879670252436,-12.8507420810002,8.51890864436165e-38,3.73381017847324e-36,TRUE,"ENSG00000115594","IL1R1",FALSE,TRUE
"ENSG00000144559.11",213.63700349317,-2.29430760363573,0.179185295205366,-12.8041065033054,1.55505389238737e-37,6.72892619319925e-36,TRUE,"ENSG00000144559","TAMM41",FALSE,TRUE
"ENSG00000153201.17",3869.42260079769,-1.4628089924764,0.114436926431568,-12.782665858744,2.04923117206347e-37,8.84476295459363e-36,TRUE,"ENSG00000153201","RANBP2",FALSE,TRUE
"ENSG00000198768.11",847.091250824101,2.14098913162939,0.167899914962532,12.7515796068578,3.05491737931903e-37,1.30856788828132e-35,TRUE,"ENSG00000198768","APCDD1L",FALSE,TRUE
"ENSG00000119906.13",1535.77723429472,-1.48884368463142,0.117110721330596,-12.7131288042237,4.99933828056161e-37,2.12537575361848e-35,TRUE,"ENSG00000119906","SLF2",FALSE,TRUE
"ENSG00000256235.3",427.509937371571,-2.60471774895378,0.205183019753833,-12.69460675683,6.33473292043158e-37,2.68302004789551e-35,TRUE,"ENSG00000256235","SMIM3",FALSE,TRUE
"ENSG00000108666.11",176.23383588544,-2.71389324962727,0.214723647055059,-12.6390050040989,1.28671911102407e-36,5.37604855636725e-35,TRUE,"ENSG00000108666","C17orf75",FALSE,TRUE
"ENSG00000116667.15",826.841838263922,1.69741612879118,0.134546388677168,12.6158430967923,1.7269948495671e-36,7.17146223106297e-35,TRUE,"ENSG00000116667","C1orf21",FALSE,TRUE
"ENSG00000176927.16",147.451274466512,2.97850698682224,0.236101334038909,12.6153755079223,1.73727596283808e-36,7.20534675283076e-35,TRUE,"ENSG00000176927","EFCAB5",FALSE,TRUE
"ENSG00000114023.16",671.803429086723,-1.97095251770145,0.156641448790307,-12.5825733413634,2.6331049760679e-36,1.08282457417766e-34,TRUE,"ENSG00000114023","FAM162A",FALSE,TRUE
"ENSG00000126773.13",1108.21789705763,-1.6672709710292,0.132539712255571,-12.579406901188,2.74079850183496e-36,1.12438941437597e-34,TRUE,"ENSG00000126773","PCNX4",FALSE,TRUE
"ENSG00000173085.15",125.930998699432,-2.94824384258116,0.234519468153774,-12.5714247341206,3.03209964236164e-36,1.23909104196234e-34,TRUE,"ENSG00000173085","COQ2",FALSE,TRUE
"ENSG00000287126.1",205.002780172864,2.89023025190757,0.230243456227521,12.5529311419453,3.83062968588511e-36,1.55830933137899e-34,TRUE,"ENSG00000287126","LOC124907726",FALSE,TRUE
"ENSG00000003137.9",166.238563357217,2.69111081790844,0.214728070378447,12.5326456534793,4.94839437432519e-36,2.00820860342985e-34,TRUE,"ENSG00000003137","CYP26B1",FALSE,TRUE
"ENSG00000138604.10",963.733387854781,1.8714031245709,0.149628734066418,12.5069769269064,6.83772896855092e-36,2.75194286260353e-34,TRUE,"ENSG00000138604","GLCE",FALSE,TRUE
"ENSG00000100234.12",1087.90981677063,1.66893218832721,0.133923504528875,12.4618318061366,1.20568955619388e-35,4.80127348708016e-34,TRUE,"ENSG00000100234","TIMP3",FALSE,TRUE
"ENSG00000019144.20",1553.35898479109,-1.51491050178632,0.122690987880588,-12.3473657515966,5.03326401678774e-35,1.95841823736822e-33,TRUE,"ENSG00000019144","PHLDB1",FALSE,TRUE
"ENSG00000129680.16",292.823517101146,-2.01574126483119,0.163370369352196,-12.3384752867004,5.62102546344698e-35,2.18211420505562e-33,TRUE,"ENSG00000129680","MAP7D3",FALSE,TRUE
"ENSG00000124145.6",964.475141969825,-1.71931164630496,0.139540811217424,-12.3212100553581,6.96414008118169e-35,2.70043276572579e-33,TRUE,"ENSG00000124145","SDC4",FALSE,TRUE
"ENSG00000128283.7",1267.57484788274,-1.5667186191228,0.127520276697933,-12.2860352854629,1.07657903764905e-34,4.10890300571492e-33,TRUE,"ENSG00000128283","CDC42EP1",FALSE,TRUE
"ENSG00000179833.4",950.960200739028,-1.7049415807349,0.139180903035588,-12.2498241033753,1.68360681685146e-34,6.38980517930842e-33,TRUE,"ENSG00000179833","SERTAD2",FALSE,TRUE
"ENSG00000119899.13",582.42392115705,1.77529527911306,0.145467203997982,12.2040929523722,2.95584051003796e-34,1.1143617141506e-32,TRUE,"ENSG00000119899","SLC17A5",FALSE,TRUE
"ENSG00000253733.3",99.650513530461,4.0771400990933,0.33500672564791,12.1703231217463,4.47308268444258e-34,1.66602711211782e-32,TRUE,"ENSG00000253733","LZTS1-AS1",FALSE,TRUE
"ENSG00000282164.4",461.456422921464,2.50177401759874,0.205873043981822,12.1520232528336,5.59632856528008e-34,2.0775528820266e-32,TRUE,"ENSG00000282164","PEG13",FALSE,TRUE
