"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","is_significant","ensembl_id","gene_symbol","tes_bound","tead1_bound"
"ENSG00000115461.5",11030.6435420683,-5.72505377078695,0.118406107117238,-48.3510007226095,0,0,TRUE,"ENSG00000115461","IGFBP5",FALSE,TRUE
"ENSG00000148773.14",3601.78097644897,-3.56563641263512,0.122095886702335,-29.2035752304089,1.7467512841691e-187,2.04598784898814e-184,TRUE,"ENSG00000148773","MKI67",FALSE,TRUE
"ENSG00000171346.16",3217.80180084832,5.24045776785518,0.179667973700426,29.1674562801771,5.01855739150139e-187,5.49904378950062e-184,TRUE,"ENSG00000171346","KRT15",FALSE,TRUE
"ENSG00000131095.14",24079.0105783592,-4.28369053416857,0.149414097781645,-28.669922033922,9.0506292332564e-181,9.31611435743192e-178,TRUE,"ENSG00000131095","GFAP",FALSE,TRUE
"ENSG00000286522.2",734.372161326051,-5.57053096080474,0.19724788181525,-28.2412713867432,1.82186520773333e-175,1.62855572042858e-172,TRUE,"ENSG00000286522","H3C2",FALSE,TRUE
"ENSG00000132470.14",6008.44510181096,-3.63919859917277,0.135448528108533,-26.8677603957183,5.231282718253e-159,3.70200440361704e-156,TRUE,"ENSG00000132470","ITGB4",FALSE,TRUE
"ENSG00000159176.14",1803.92268993126,-3.5783599435882,0.13933507611239,-25.6816879383755,1.87238077021838e-145,1.06001716671297e-142,TRUE,"ENSG00000159176","CSRP1",FALSE,TRUE
"ENSG00000188039.17",491.030030826672,-4.79224725861118,0.187645410614633,-25.5388460762997,7.3038715216927e-144,4.00157915885254e-141,TRUE,"ENSG00000188039","NWD1",FALSE,TRUE
"ENSG00000131203.13",1686.64114724284,5.22057161252584,0.204998886086999,25.4663413649491,4.65392995811895e-143,2.50928083837118e-140,TRUE,"ENSG00000131203","IDO1",FALSE,TRUE
"ENSG00000129474.17",981.450844544782,-3.30499069168193,0.137305830115089,-24.0702866652618,5.11948431059658e-128,2.31864857416459e-125,TRUE,"ENSG00000129474","AJUBA",FALSE,TRUE
"ENSG00000100994.12",14653.2924493919,2.78171454968655,0.116965077329071,23.7824367170762,5.07582738143358e-125,2.1026305425919e-122,TRUE,"ENSG00000100994","PYGB",FALSE,TRUE
"ENSG00000152104.12",1715.1400598654,-2.98887458076315,0.12630041605568,-23.6648039183457,8.31051279349973e-124,3.32107645375999e-121,TRUE,"ENSG00000152104","PTPN14",FALSE,TRUE
"ENSG00000171848.16",857.751046227765,-3.9236403449446,0.166280020478114,-23.5965832435114,4.17834314081211e-123,1.59471864951804e-120,TRUE,"ENSG00000171848","RRM2",FALSE,TRUE
"ENSG00000112139.17",6212.75406597803,3.05845634565296,0.132630346396679,23.0600042052635,1.16741988002436e-117,3.84999208589004e-115,TRUE,"ENSG00000112139","MDGA1",FALSE,TRUE
"ENSG00000169991.11",2336.89836819389,-2.90399545547578,0.130706545644228,-22.2176742653747,2.31765320027982e-109,6.10279410132595e-107,TRUE,"ENSG00000169991","IFFO2",FALSE,TRUE
"ENSG00000165899.12",331.59887033742,-4.35231526073805,0.196763430881898,-22.1195332955462,2.05038483625934e-108,5.23665203895168e-106,TRUE,"ENSG00000165899","OTOGL",FALSE,TRUE
"ENSG00000169715.15",744.008488126755,-5.53154888046216,0.25119666636008,-22.0207893704008,1.8206483615466e-107,4.54733702536875e-105,TRUE,"ENSG00000169715","MT1E",FALSE,TRUE
"ENSG00000175899.15",1070.93805673561,-4.14040985325567,0.18918189372245,-21.885867467476,3.54207622758013e-106,8.65591692794545e-104,TRUE,"ENSG00000175899","A2M",FALSE,TRUE
"ENSG00000171631.16",430.741487611536,5.29947989561956,0.247465385592043,21.4150350075868,9.67711604795447e-102,2.22102890484404e-99,TRUE,"ENSG00000171631","P2RY6",FALSE,TRUE
"ENSG00000059804.17",3128.05787880138,2.58794528615447,0.121747690501326,21.2566273372247,2.86264295938668e-100,6.4396196055925e-98,TRUE,"ENSG00000059804","SLC2A3",FALSE,TRUE
"ENSG00000126878.13",2835.10514207091,-2.87952414730563,0.136313920468892,-21.1242119469578,4.7651033621771e-99,1.04426471617053e-96,TRUE,"ENSG00000126878","AIF1L",FALSE,TRUE
"ENSG00000147256.12",476.088676889289,6.16886172596524,0.294211387786367,20.9674471555281,1.30057910416186e-97,2.81388987325923e-95,TRUE,"ENSG00000147256","ARHGAP36",FALSE,TRUE
"ENSG00000136709.12",844.960707019262,-2.7425822427732,0.130896223628066,-20.9523404629769,1.78632743526016e-97,3.84037786841247e-95,TRUE,"ENSG00000136709","WDR33",FALSE,TRUE
"ENSG00000012817.16",341.596387326504,-3.7366141589811,0.178568116734163,-20.9254273793112,3.14235102460503e-97,6.67121122523648e-95,TRUE,"ENSG00000012817","KDM5D",FALSE,TRUE
"ENSG00000008441.19",5040.88518818899,-2.53560146678647,0.122001757881723,-20.7833191161447,6.12726375024998e-96,1.26909082358836e-93,TRUE,"ENSG00000008441","NFIX",FALSE,TRUE
"ENSG00000134569.10",2108.36902185486,2.88472761765719,0.139100545777995,20.7384349322484,1.55916473629562e-95,3.19046432304154e-93,TRUE,"ENSG00000134569","LRP4",FALSE,TRUE
"ENSG00000277075.3",336.446005022259,-4.12017822339573,0.198906019985581,-20.7141956975179,2.5797806678125e-95,5.18520649255948e-93,TRUE,"ENSG00000277075","H2AC8",FALSE,TRUE
"ENSG00000185585.20",395.399399941325,-4.04920916381454,0.195611558731547,-20.7002550875411,3.44542014891462e-95,6.88435480107834e-93,TRUE,"ENSG00000185585","OLFML2A",FALSE,TRUE
"ENSG00000104047.15",344.651949088909,-3.92699589639045,0.190836913022404,-20.5777584336078,4.34305364012981e-94,8.38209352545054e-92,TRUE,"ENSG00000104047","DTWD1",FALSE,TRUE
"ENSG00000184185.10",613.169276939548,7.21171221995477,0.359573877765644,20.0562740118042,1.77927424915976e-89,3.16431349190883e-87,TRUE,"ENSG00000184185","KCNJ12",FALSE,TRUE
"ENSG00000087266.17",2893.09586313132,-2.46861104597602,0.123571525695667,-19.9771835143943,8.69954159349778e-89,1.53909390024965e-86,TRUE,"ENSG00000087266","SH3BP2",FALSE,TRUE
"ENSG00000156515.25",2926.4615677249,-2.26754557235062,0.115311485212714,-19.6645249011206,4.34215638536908e-86,7.19484722430327e-84,TRUE,"ENSG00000156515","HK1",FALSE,TRUE
"ENSG00000007237.19",874.04294584078,-2.67296529150496,0.136700417006996,-19.5534538228084,3.85516115395323e-85,6.29577471526363e-83,TRUE,"ENSG00000007237","GAS7",FALSE,TRUE
"ENSG00000150760.13",857.42562596418,-2.60720633264655,0.133581389536295,-19.5177362782122,7.76009961564327e-85,1.25521458925796e-82,TRUE,"ENSG00000150760","DOCK1",FALSE,TRUE
"ENSG00000139438.6",484.034598394851,3.40048596958528,0.176281066432622,19.2901372699887,6.50005028981674e-83,1.01281517543346e-80,TRUE,"ENSG00000139438","FAM222A",FALSE,TRUE
"ENSG00000107562.18",309.44407542581,5.23138270624291,0.275222318728078,19.0078432970822,1.46867712749846e-80,2.14111693849217e-78,TRUE,"ENSG00000107562","CXCL12",FALSE,TRUE
