"gene_name","n_total_peaks","n_promoter_peaks","n_enhancer_peaks","categories","log2FoldChange","padj","is_DEG"
"ADAMTS16",2,0,2,"Shared_TEAD1_dominant;TEAD1_unique",-2.31095151010707,4.52669387661104e-31,TRUE
"ADAMTS17",1,0,1,"TEAD1_unique",0.117380075942876,0.910442172865033,FALSE
"ADAMTS18",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",1.3396627958603,0.248757630409151,FALSE
"ADAMTS3",2,1,1,"Shared_high;TEAD1_unique",0.591104936395494,0.335570987229527,FALSE
"ADAMTS6",1,1,0,"TEAD1_unique",-1.57583198419985,1.13778664074747e-15,TRUE
"ADAMTS7",1,1,0,"TEAD1_unique",-0.135189252904728,0.478204242503016,FALSE
"ADAMTS8",1,1,0,"TEAD1_unique",7.31293122906011,2.60852994410534e-08,TRUE
"ADAMTS9-AS1",1,0,1,"Shared_TEAD1_dominant",-1.07621288179288,0.0873032842827237,FALSE
"ADAMTSL1",5,2,3,"Shared_TEAD1_dominant;Shared_TES_dominant;Shared_equivalent;TEAD1_unique;TES_unique",-4.24994949902985,6.19452497938647e-211,TRUE
"ADAMTSL3",1,0,1,"TEAD1_unique",0.473583156990641,0.65089619288637,FALSE
"ADAMTSL4",1,1,0,"TEAD1_unique",0.463856842184838,0.0438964025630613,TRUE
"ADAR",1,1,0,"TEAD1_unique",-0.585556160741456,5.77936690628447e-07,TRUE
"ADARB1",1,1,0,"TEAD1_unique",-0.898610484898247,5.4850606491291e-12,TRUE
"ADARB2",1,0,1,"TEAD1_unique",2.93661371829032,0.138327837142769,FALSE
"ADAT2",3,0,3,"Shared_high;TEAD1_unique;TES_unique",-0.201233703917559,0.486360108895413,FALSE
"ADCY10",2,0,2,"TEAD1_unique;TES_unique",0.139346184257767,0.761877067058376,FALSE
"ADCY5",1,0,1,"TEAD1_unique",-0.0979428745001097,0.778678317780463,FALSE
"ADCY7",1,1,0,"Shared_equivalent",-0.000162885351942247,0.999680046803143,FALSE
"ADCY9",1,1,0,"TES_unique",0.192727621393013,0.296709985121199,FALSE
"ADD1",1,0,1,"Shared_TEAD1_dominant",0.102679634739894,0.515164067592002,FALSE
"ADD2",1,0,1,"TEAD1_unique",-0.84828840014469,2.76697041368249e-10,TRUE
"ADD3",2,1,1,"TEAD1_unique;TES_unique",0.376683187498459,0.0293226302766121,TRUE
"ADGRA2",1,1,0,"TEAD1_unique",-1.23749894920466,1.16471934281174e-07,TRUE
"ADGRA3",2,2,0,"TEAD1_unique;TES_unique",0.480019874811517,0.000625979449347818,TRUE
"ADGRF3",1,0,1,"TEAD1_unique",0.321527302406829,0.601626313205668,FALSE
"ADGRF5",2,1,1,"TEAD1_unique;TES_unique",-0.480169851202503,0.805312861466639,FALSE
"ADGRG1",1,1,0,"TEAD1_unique",-0.0127113106858345,0.956386277059954,FALSE
"ADGRG2",1,0,1,"TEAD1_unique",0.291494666285795,0.42700396680989,FALSE
"ADGRG4",1,0,1,"TEAD1_unique",1.74329002943178,0.105013280472339,FALSE
"ADGRG5",1,0,1,"TEAD1_unique",2.27970973348389,0.0551327366650216,FALSE
"ADGRG6",4,1,3,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-0.697627752321363,0.191353997130712,FALSE
"ADGRL3",2,0,2,"TEAD1_unique;TES_unique",2.09608615100489,1.52132940188728e-08,TRUE
"ADGRL4",1,1,0,"Shared_TES_dominant",-0.802059937892671,0.52893327476496,FALSE
"ADGRV1",4,2,2,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-0.757352833616446,3.58020003854536e-07,TRUE
"ADHFE1",1,0,1,"TEAD1_unique",0.0801423500139206,0.920096824017208,FALSE
"ADIPOR2",1,1,0,"TES_unique",0.160485985471085,0.386815611821052,FALSE
"ADISSP",1,1,0,"TEAD1_unique",-0.482068652530867,0.0382961114004452,TRUE
"ADK",3,0,3,"Shared_TEAD1_dominant;TEAD1_unique;TES_unique",0.796030808649663,3.10761176224707e-05,TRUE
"ADO",2,1,1,"TEAD1_unique;TES_unique",0.058040723665687,0.821288069224482,FALSE
"ADORA1",1,0,1,"TEAD1_unique",0.715212761279746,0.0439363516062861,TRUE
"ADORA2B",2,0,2,"Shared_TES_dominant;Shared_high",0.488191311942412,0.00183630846922592,TRUE
"ADPGK",2,1,1,"Shared_high;TEAD1_unique",0.0224763950361053,0.929776166634084,FALSE
"ADPRHL1",1,0,1,"TEAD1_unique",3.09500189737735,2.82282716166442e-23,TRUE
"ADRA1B",3,0,3,"Shared_high;TEAD1_unique;TES_unique",0.855165271862567,2.08498136647889e-05,TRUE
"ADRA1D",2,0,2,"Shared_high;TES_unique",1.7235673017095,2.71067833002136e-33,TRUE
