"gene_name","n_total_peaks","n_promoter_peaks","n_enhancer_peaks","categories","log2FoldChange","padj","is_DEG"
"ANKK1",1,1,0,"TEAD1_unique",-0.574487350972862,0.280562091612369,FALSE
"ANKRA2",1,0,1,"TEAD1_unique",0.47961826192309,0.0213471369365329,TRUE
"ANKRD1",1,1,0,"TEAD1_unique",-3.09050958730251,1.92123651007013e-15,TRUE
"ANKRD10",2,2,0,"Shared_TES_dominant;TEAD1_unique",0.96053546245939,4.55982390127039e-16,TRUE
"ANKRD13A",1,1,0,"TEAD1_unique",0.232968031369061,0.147019952332759,FALSE
"ANKRD13C",1,0,1,"TES_unique",0.545717564043621,0.000152120825731773,TRUE
"ANKRD13D",1,1,0,"TEAD1_unique",0.287810285096839,0.095688628329785,FALSE
"ANKRD17",1,1,0,"TES_unique",0.119812639233999,0.439565337074426,FALSE
"ANKRD19P",1,0,1,"TES_unique",-0.172368393658871,0.790859508093478,FALSE
"ANKRD2",1,1,0,"TEAD1_unique",2.08580784694965,0.00546071920700813,TRUE
"ANKRD22",1,0,1,"TES_unique",3.42709821533128,0.127220744538075,FALSE
"ANKRD28",1,1,0,"TES_unique",-0.109163458928708,0.520801153499523,FALSE
"ANKRD30B",1,0,1,"TEAD1_unique",-1.34186784744343,0.000240134595673868,TRUE
"ANKRD33B",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",-1.71407647839702,8.17168632080395e-25,TRUE
"ANKRD34B",1,0,1,"Shared_TES_dominant",0.719924828252672,0.707424927050921,FALSE
"ANKRD35",1,0,1,"TEAD1_unique",-0.315028228680092,0.782163698353325,FALSE
"ANKRD36BP2",1,0,1,"TEAD1_unique",2.58222685341561,0.235130378156365,FALSE
"ANKRD44",4,1,3,"Shared_TES_dominant;Shared_equivalent;TEAD1_unique;TES_unique",0.0176659743690076,0.953975205563997,FALSE
"ANKRD44-AS1",1,0,1,"Shared_high",2.34564264660874,0.303284525915755,FALSE
"ANKRD44-IT1",1,0,1,"TEAD1_unique",0.015063815550506,0.988775425819652,FALSE
"ANKRD50",1,1,0,"Shared_TES_dominant",-2.74480266200501,2.88957408467927e-116,TRUE
"ANKRD55",5,0,5,"Shared_TEAD1_dominant;Shared_equivalent;Shared_high;TEAD1_unique;TES_unique",-0.337851231518805,0.762845736632388,FALSE
"ANKRD6",1,0,1,"TEAD1_unique",0.294501695502097,0.116430328376503,FALSE
"ANKS1A",2,0,2,"Shared_high;TEAD1_unique",0.733949605672117,4.98998036736531e-08,TRUE
"ANKS1B",3,0,3,"Shared_TES_dominant;TEAD1_unique;TES_unique",-0.945177155875068,4.06203566578039e-05,TRUE
"ANKS6",2,1,1,"Shared_TEAD1_dominant;TEAD1_unique",0.0615810919424021,0.814213750726638,FALSE
"ANKUB1",2,2,0,"Shared_equivalent;TEAD1_unique",-1.45454974607971,0.000202500804657858,TRUE
"ANLN",2,2,0,"TEAD1_unique;TES_unique",-2.36212792730061,1.17057236693082e-51,TRUE
"ANO1",2,0,2,"TEAD1_unique;TES_unique",2.73611913462168,1.1202302836216e-05,TRUE
"ANO10",1,0,1,"Shared_TES_dominant",0.172054123472276,0.317879991098048,FALSE
"ANO2",1,0,1,"TEAD1_unique",1.62907464348981,0.23898373402544,FALSE
"ANO6",4,0,4,"Shared_TEAD1_dominant;Shared_equivalent;TEAD1_unique;TES_unique",-2.17471469021897,1.03146430185033e-54,TRUE
"ANP32B",1,1,0,"TEAD1_unique",-0.555367743746246,0.00193963469937534,TRUE
"ANP32E",1,1,0,"TEAD1_unique",-0.188806043766458,0.375230090409965,FALSE
