"peak_group","n_genes","n_DEGs","pct_DEG","mean_abs_log2FC"
"Multiple Peaks (3+)",924,615,66.56,1.28525517910117
"Single Peak",4575,2418,52.85,1.01913496592545
"Two Peaks",1878,1100,58.57,1.09071274734915
