"category","location_type","n_peaks"
"Shared_TEAD1_dominant","Distal_Enhancer",547
"Shared_TEAD1_dominant","Promoter",272
"Shared_TEAD1_dominant","Proximal_Enhancer",285
"Shared_TES_dominant","Distal_Enhancer",595
"Shared_TES_dominant","Promoter",309
"Shared_TES_dominant","Proximal_Enhancer",317
"Shared_equivalent","Distal_Enhancer",362
"Shared_equivalent","Promoter",144
"Shared_equivalent","Proximal_Enhancer",198
"Shared_high","Distal_Enhancer",416
"Shared_high","Promoter",333
"Shared_high","Proximal_Enhancer",227
"TEAD1_unique","Distal_Enhancer",1610
"TEAD1_unique","Promoter",2209
"TEAD1_unique","Proximal_Enhancer",1243
"TES_unique","Distal_Enhancer",1352
"TES_unique","Promoter",1002
"TES_unique","Proximal_Enhancer",867
