"binding_pattern","n_genes","n_DEGs","pct_DEG","mean_log2FC","median_log2FC"
"Both",1401,924,65.95,-0.426736340168637,-0.335583859040318
"Enhancer Only",3836,1975,51.49,0.164497618392537,0.0728862565592981
"Promoter Only",2162,1231,56.94,-0.178580868512689,-0.10356263039642
