gene	regulation	log2FoldChange	TES_1	TES_2	TES_3	TEAD1_1	TEAD1_2	TEAD1_3	TES_1_zscore	TES_2_zscore	TES_3_zscore	TEAD1_1_zscore	TEAD1_2_zscore	TEAD1_3_zscore
LHFPL6	DOWN	-0.990423068889094	0.385649082884192	0.594869648118814	0.442560413175573	0.421974138975143	0.356794247229894	0.13401682506005	-0.0244215272505236	1.37098640930526	0.355151684778054	0.217850409584676	-0.216870422677549	-1.70269655373992
CDKN1A	DOWN	-0.672976850823143	0.409253873080015	0.580275105535984	0.461678847947468	0.474025115738312	0.612116197268168	0.306548431644837	-0.577779660022539	0.948777291091108	-0.109827765122744	0.000376568256012815	1.23299486581434	-1.49454130001617
CDKN1B	UP	0.584717730553298	0.0111837456623713	0.0122593447566032	0.0298987371909122	0.00590528160333633	0	0.0422575419147809	-0.359385758364651	-0.291967642159565	0.813662341447442	-0.690237750733155	-1.06037841326484	1.58830722307477
STUB1	UP	0.586113393056822	0.0864955823123455	0.133685201605161	0.146928104801724	0.276957590073347	0.141290530363719	0.151282082508008	-1.09300985261983	-0.352052697881924	-0.144116630161008	1.89756708932526	-0.232636121901087	-0.0757517867614096
NDRG1	DOWN	-2.565119434629	0.130897454207142	0.111501599649588	0.120660638838386	0.114899796108405	0.0556599164009094	0.0760635754466057	1.00333769086695	0.338782243132128	0.652596175427336	0.455213821976907	-1.57450776961128	-0.875422161792037
YAP1	DOWN	-0.406817339195767	0.423078913427889	0.370115262965361	0.404530808946739	0.772747597694397	0.670773401111364	0.580739568074544	-0.696487833062301	-1.02030249271424	-0.809889158071077	1.44135283686675	0.817892416909925	0.267434230070939
DDX17	DOWN	-2.08140050100883	0.0579413497199615	0.0659669182697932	0.106273711373409	0.345037088294824	0.470968645811081	0.246301174064477	-0.934077927412061	-0.886473040813749	-0.647387136441345	0.768874329845964	1.51585661247015	0.183207162351037
CENPA	DOWN	-2.0846206531223	0.0972034377604723	0.159371389547984	0.10413246314538	0.288515020012856	0.296567431131999	0.0990033839146296	-0.813125508805292	-0.156019452310894	-0.739886735207139	1.20900962289806	1.29412241757171	-0.794100344146446
CENPF	DOWN	-1.3072480204946	0.450086512366931	0.228257134358088	0.440537700969726	0.805142285346985	0.904830748240153	0.437063847680887	-0.367333219104183	-1.23205293610077	-0.404555725713364	1.01672028311984	1.40531885466418	-0.418097256865712
UBE2C	DOWN	-3.79249625977249	0.310587086572001	0.276126958032449	0.310433687344193	0.671514902114868	0.331105239391327	0.474492125411828	-0.560633894567715	-0.787594125782604	-0.561644207810497	1.81649770473763	-0.425497872000893	0.518872395424079
FSTL1	DOWN	-1.99637869073096	0.188101148928205	0.357272171874841	0.18748378851451	0.364439871708552	0.179824406703313	0.236642275949319	-0.742075876029474	1.21356003320666	-0.749212631325588	1.29641944338976	-0.837755940053178	-0.180935029188182
FRMD6	DOWN	-1.29859750834508	0.0246280406291286	0.0140106679002444	0.0389769033559908	0.0219339030981064	0	0.0241471668084462	0.310252560666538	-0.510815987947028	1.41988676059899	0.101908024890386	-1.59429671822834	0.273065360019451
WTIP	DOWN	-1.22020832974623	0.0360854079561929	0.13117492472132	0.053778254079322	0.966525501320759	0.375347514152527	0.174704817821582	-0.717766677384002	-0.448546080719454	-0.667674104069867	1.91652620386966	0.24276346056433	-0.325302802260664
CREB1	DOWN	-0.370826265198885	0.575844220506648	0.568599594632785	0.791674826716383	0.817965583483378	0.636521366834641	0.439478678405285	-0.433182584724902	-0.483391979988754	1.06264679361703	1.24485675466721	-0.0126553033292131	-1.37827368024138
CCN2	DOWN	-7.80301925281702	1.39141334316631	1.61005915313959	1.11452198158018	3.93426657895247	3.12038156848152	2.79576042097807	-0.834675836494738	-0.639765680465827	-1.0815085496229	1.43213147623753	0.706599830330983	0.417218760014955
CTNNB1	DOWN	-0.64574014796404	0	0.00467022657394409	0	0.0236211264133453	0	0	-0.499046127318655	-0.00476255880754696	-0.499046127318655	2.00094706808217	-0.499046127318655	-0.499046127318655
AMOT	DOWN	-2.34036490108262	0.946883095835646	1.103340091904	1.04010070873673	1.43498288621505	1.19597474296888	0.980375409821669	-0.947540323668287	-0.0757918178192085	-0.428149584951618	1.77205850323612	0.440350768865575	-0.760927545662582
DAB2	DOWN	-4.75916780426494	0.0141581436867515	0.012259343067805	0.0107556514317791	0	0	0.0398428252339363	0.0905793325546951	-0.0395058475675292	-0.142522454666191	-0.87938278632707	-0.87938278632707	1.85021454233316
JAG1	UP	1.06960210802111	1.26780915145824	1.96639731738965	1.36226714657185	1.96325187365214	1.17028588334719	0.787439517815908	-0.326147550022236	1.17512957018661	-0.123155810682093	1.16836996138372	-0.535726609965099	-1.3584695609009
DUSP1	UP	0.925820145327309	0.245328655056655	0.424406393269698	0.424453433100134	0.574498994350433	0.738564480145772	0.361000242332617	-1.25105471622518	-0.214075039032453	-0.213802647005014	0.655061340345728	1.60511005212986	-0.581238990212947
DUT	DOWN	-1.52967467758552	0.355857451967895	0.525983784695466	0.404372974497577	0.57871737152338	0.496657776435216	0.361000433166822	-1.05211029661542	0.776060598020253	-0.530764395573549	1.34273365246688	0.460924464197356	-0.996844022495515
ECT2	DOWN	-2.38348780336171	1.63618264369418	1.76943098862966	1.5213122285263	3.74141644914945	2.91529616502921	2.52941605836153	-0.819031808043037	-0.666607670070425	-0.950433245104031	1.58916656907531	0.644159167822468	0.202746986319713
EGFR	DOWN	-1.63433405422435	0.54496988027667	0.817288913528124	0.722720289782931	0.962560339172681	0.909112319548925	0.362207650740941	-0.762741630040118	0.425253343981769	0.0126966145896041	1.05900164087503	0.825834028878494	-1.56004399828478
CENPV	DOWN	-0.906234035366729	0.017656041448315	0.0323413190245628	0.0111503524767856	0	0.0199804973602295	0.0550555403232574	-0.264134822149179	0.505295960218849	-0.604998474825596	-1.18921790039293	-0.142345641005125	1.69540087815398
EMP2	DOWN	-2.20170279455352	0.07516904686143	0.148279567460219	0.0782695418708026	0.175892757376035	0.0742132353782654	0.136431533694267	-0.889794485950492	0.755449666799037	-0.820022430670067	1.37684367241785	-0.911303609957927	0.488827187361597
ERBB4	UP	3.96346698799034	0.041760586425662	0.0443087746202946	0.0523968095891178	0.0236211264133453	0.0585142934322357	0.0301839585105578	-0.00281611559233963	0.191103040617715	0.806608959629241	-1.3832435059648	1.27215436458986	-0.883806743279681
ETS1	DOWN	-2.52250066304808	0.0438783614958326	0.0556924380461375	0.0317735699862242	0.0136665088534355	0.0256892108917236	0.149953905880451	-0.193356367875873	0.0454907516371906	-0.438080919309523	-0.804154338251599	-0.561089403097201	1.95119027689701
ETV5	UP	0.312573400271908	0.0322900818921626	0.00350266993045807	0.0278265478337804	0.0497730877995491	0	0.0410501835743586	0.326156705592254	-1.10738594056264	0.103883635898888	1.19676760262451	-1.28181032881246	0.762388325259453
F3	DOWN	-0.951172511934378	0.385363424904644	0.507303051054478	0.413618868089591	0.465673235654831	0.396755260626475	0.288679436912139	-0.322951003937672	1.30420077308434	0.0540871750414735	0.748696133260361	-0.170939337807558	-1.61309373964094
FAT1	DOWN	-1.85340745148586	0.484113608156641	0.651963135679563	0.468985684549436	0.810203702708085	0.820626898209254	0.333230976164341	-0.557671059110599	0.287592547569639	-0.633852883739586	1.08446695277992	1.1369565126403	-1.31749207013967
FGF2	DOWN	-1.20606297814764	0.252824120397369	0.319326630036036	0.20869905814218	0.357690694133441	0.236911400556564	0.164200824995836	-0.0531127529152761	0.880161101719997	-0.672349036788951	1.41854947494376	-0.276426511512502	-1.29682227544702
FOXF2	DOWN	-0.721500608929209	0.0364066699768106	0.0846477874120077	0.0377927932639917	0.0447113719582558	0.0585142596562703	0.0688194254040718	-0.97970513289481	1.54200809969692	-0.907248157991949	-0.545592533669205	0.175927331678392	0.714610393180652
