"gene","has_TES_binding","has_TESmut_binding","has_TEAD1_binding","has_promoter_DMR","is_hypermethylated","is_hypomethylated","has_TESmut_DMR","log2FC_expression","padj_expression","is_DEG","expression_direction","regulatory_class","epigenetic_subclass"
"AFDN",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2.14031690053807,7.74797166535743e-81,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"EFHD1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-2.11581081524711,1.8167334774452e-08,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"CCDC7",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-2.09185621231437,5.08352845596003e-15,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"MIR3681HG",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-2.09048726175158,3.59748209724039e-05,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"TPM1",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,-2.06636952634976,2.40646339077541e-56,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"RCAN1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.96852915957802,5.02583647771732e-33,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"FIBCD1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.88216467884565,1.51131592866622e-20,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"LOC101928782",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.84706751210917,2.44506323710387e-05,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"NACC2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.80896874025367,1.03489284860489e-46,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"SYNE1",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-1.80239523803036,6.05999344368213e-52,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"VOPP1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.79853008622821,3.70801108104495e-51,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"USP13",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.79655334935894,1.26981113676197e-26,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"ZNF878",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1.77648269217886,3.09032333966967e-09,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"LTBP1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.70950015262619,4.15383079891483e-29,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"SLC1A2",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1.6985713229173,1.48103959978832e-10,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"BNC2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.68347971849892,2.60543954745897e-39,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"PLA2G4C",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.65152216239386,1.48344373181555e-19,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"EML2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.6354616739626,2.91067408663112e-11,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"ANK2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,-1.63285693325056,6.75375692823234e-26,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"LOC105375924",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.60115540260497,0.0428547543173474,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"SORBS1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.59959498813294,6.93438770274479e-34,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"DCLK1",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.54654639102677,1.28750767885217e-30,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"RPSA2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.53889135206168,2.24018202986601e-06,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"TTC7A",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.49247879641155,5.06044903089013e-25,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"AKAP9",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-1.44734209796719,4.49714659993122e-29,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"SULF1",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.43957006470883,9.38741619312263e-35,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"TOX-DT",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.43852577827283,0.00437931279444158,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"SPECC1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.4140343810421,1.34670851566518e-31,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"PTGER4",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.39735592485248,5.60540745885274e-11,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"ESRRG",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,-1.39707608244521,3.33701043895209e-10,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"GDAP1",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1.36635685121315,2.92613902805736e-24,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"PVT1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.35981932678985,1.90332492360362e-19,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"FRMD6",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,-1.29859750834508,9.34249227229307e-18,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"DST",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.28647351697666,6.53229112711348e-25,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"FOXP1",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-1.27265872282597,3.32769299514742e-19,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"SLC1A3",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.24022500828654,6.77807852239449e-16,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"SH3BP4",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.23245911750187,3.30731966864744e-23,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"KANK1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.19096095045246,2.01911840593086e-22,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"TPD52",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,-1.16323520072547,9.11677425112353e-12,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"ZNF107",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,-1.15297265086188,2.01017046911321e-15,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"EPB41L2",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.14644612089306,5.00053434399414e-17,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"FRMD5",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.13781860813767,7.70845579882519e-22,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"SCAF11",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,-1.12708957336053,5.97752071762599e-19,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"LINC01303",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-1.11915081849139,0.000686709656523295,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"SGCE",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,-1.10240965939499,5.23384558460998e-14,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"ELOC",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1.09227263666862,4.03287312161533e-08,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"CHSY1",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.07698828278241,7.31169912446714e-17,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"JAG1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.06960210802111,1.74282529655692e-15,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"CASC3",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1.03885216824745,2.35379868232045e-16,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"LGALS8",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-1.03494094794596,8.57918031624382e-10,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"NEK8",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.01724018502705,1.7077424805484e-06,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
