"gene","has_TES_binding","has_TESmut_binding","has_TEAD1_binding","has_promoter_DMR","is_hypermethylated","is_hypomethylated","has_TESmut_DMR","log2FC_expression","padj_expression","is_DEG","expression_direction","regulatory_class","epigenetic_subclass"
"CRACD",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6.78155916745644,2.53646432396452e-273,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"PI15",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-5.02825208694987,2.88158215354081e-156,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"LINC01198",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4.24661279650052,2.21028691799109e-14,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"ZNF503-AS1",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,-3.37158139986779,6.2156460531226e-10,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"CALD1",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-3.27393621064106,4.13596506392006e-149,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"NAV3",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-2.7599513026638,1.13729629253464e-35,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"DENND3",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.64813335118802,1.55253030618188e-47,TRUE,"Up","Direct epigenetic","Hypermethylated + Upregulated"
"NDRG1",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,-2.565119434629,1.41356880129664e-107,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"GPR39",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-2.34450175994152,1.15014382566727e-37,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"LNX1",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-2.22233073459876,5.67219112630179e-15,TRUE,"Down","Direct epigenetic","Hypomethylated + Downregulated"
"PMP22",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-2.21013167021127,5.7458361435253e-51,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
"ZEB2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,-2.18872301651853,7.80636187538887e-73,TRUE,"Down","Direct epigenetic","Hypermethylated + Downregulated"
