gene_symbol,baseMean,log2FoldChange,padj,tes_bound,tead1_bound
UNC5C,1723.78913363643,-3.14050847859916,1.84459044230968e-127,TRUE,TRUE
FAT3,1423.29002982052,-3.06104470626551,1.9205571794417202e-110,TRUE,TRUE
SEMA6A,583.457578159727,3.56722533787899,3.9197639243228004e-106,TRUE,TRUE
ASPM,1268.82931193796,-3.06051803604177,7.35248215444903e-99,TRUE,FALSE
NAV1,4451.63374596065,-2.07321259611206,7.06720800038299e-52,TRUE,TRUE
NRP1,4331.42712187337,-1.70287836120004,1.2636777817166999e-49,TRUE,TRUE
SLIT2,3436.12446915425,-1.66905540272956,4.555017073091129e-44,TRUE,TRUE
MAP1B,41752.2569319031,-1.73627182293758,2.5011079357607093e-43,TRUE,TRUE
IGSF10,116.095867955331,-3.00013318886315,1.1706265817670999e-32,TRUE,TRUE
DAB1,76.3318527249858,4.14555428688468,2.5437632356033898e-26,TRUE,TRUE
SEMA3A,2375.40014517835,-1.5297825569357,1.64916767127088e-25,TRUE,TRUE
DRD2,374.515025052936,-1.64828754845511,2.07798912038548e-22,TRUE,TRUE
NEO1,676.916235529512,1.35862691353092,6.71150892229273e-22,TRUE,FALSE
MEF2C,793.317224724263,-1.23544331662129,1.6388371315220997e-20,TRUE,TRUE
ABI2,1778.39961956603,-1.14157821230135,3.92704027319778e-20,TRUE,TRUE
MATN2,702.234018409985,-1.44580219362787,5.58745594630931e-18,TRUE,TRUE
CTNNA2,249.571720241352,-1.52794508049653,8.30124086907982e-18,TRUE,TRUE
TWIST1,231.288679212261,-1.62554800883614,6.41839119135194e-17,TRUE,FALSE
SHTN1,929.90089903052,-1.243461290006,9.11376543773133e-17,TRUE,TRUE
PITX2,119.766506620006,-1.88699079931176,1.87089291896978e-16,TRUE,TRUE
SRGAP2C,1129.02054104528,-1.03348070478641,2.3931505284160704e-15,TRUE,TRUE
FGF13,236.206935476906,-1.27426992777788,2.43677962406447e-13,TRUE,TRUE
APBB2,2137.0234478321,-0.814805435613867,8.64349534800477e-12,TRUE,TRUE
CDKL5,1263.17334134612,0.880791521947374,1.6449417861001002e-10,TRUE,TRUE
DNER,199.886263885734,-1.27277836629231,5.77143574429671e-10,TRUE,TRUE
GPM6A,4334.82169310958,-0.999739384701165,1.6157152063103802e-9,TRUE,TRUE
ULK4,368.66923688531,0.915366359962226,6.7812350047437e-9,TRUE,TRUE
ADGRL3,41.0307798370981,2.09608615100489,1.52132940188728e-8,TRUE,TRUE
UNC5D,32.5921907375931,-1.9241004800418,4.53715274166257e-7,TRUE,FALSE
TOP2B,2027.36495958364,-0.652364300602884,6.35988912653448e-7,TRUE,FALSE
VRK1,283.304352458708,-0.920124411877182,7.24162349859103e-7,TRUE,FALSE
CTNNB1,7368.19628567687,-0.64574014796404,8.34472534689473e-7,TRUE,FALSE
PTK2B,200.294092223977,0.881887264436062,4.50071657321148e-6,TRUE,TRUE
STAT3,7180.7403670733,-0.54470491622428,6.52466823659624e-6,TRUE,TRUE
NRP2,26413.0443938232,0.530346631422755,1.38921146205545e-5,TRUE,TRUE
ABI1,775.127896143625,0.716166809817099,4.07003702239829e-5,TRUE,TRUE
ZNF609,4285.51233193085,0.508149056301179,1.5476149961919e-4,TRUE,TRUE
ERBB4,9.61251893365898,3.96346698799034,2.0478501483885e-4,TRUE,TRUE
ELP3,437.719671075519,-0.576391253255407,2.1787668106246e-4,TRUE,TRUE
AUTS2,2106.0771344959,-0.555575734544711,2.5861808306158e-4,TRUE,TRUE
ARX,28.9970886223484,1.45400588620406,5.9223031339082e-4,TRUE,TRUE
RAPGEF2,1311.81107527474,-0.457149819577172,6.4278749692062e-4,TRUE,TRUE
LRP12,1589.43044478446,0.493021509449349,6.8531739939072e-4,TRUE,TRUE
LRIG2,1246.97532910513,-0.453015923633344,0.00125135029492299,TRUE,FALSE
NR4A2,107.918389651699,-0.726685523324275,0.00303738170299472,TRUE,FALSE
ASTN2,174.711421802004,0.607083777516623,0.00514308582812391,TRUE,FALSE
