"gene_name","n_peaks","categories","primary_category","closest_peak_distance","max_tes_signal","max_tead1_signal","has_promoter_peak","has_enhancer_peak","baseMean","log2FoldChange","padj","is_DEG","regulation"
"THBS1",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",-463,-Inf,-Inf,TRUE,FALSE,12319.4478488787,-5.16471413946792,0,TRUE,"Down"
"AMOTL2",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",0,-Inf,-Inf,TRUE,FALSE,1987.73336740855,-5.97202541163863,6.32982951204309e-301,TRUE,"Down"
"MAP3K20-AS1",2,"Shared_equivalent;TES_unique","Shared_equivalent",-10995,-Inf,-Inf,FALSE,TRUE,1836.8550741723,6.40970596378398,2.04794866859113e-256,TRUE,"Up"
"LZTS1",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",-2813,-Inf,-Inf,TRUE,TRUE,5424.09664707818,4.51747041021942,1.34324490118523e-202,TRUE,"Up"
"GLDN",1,"Shared_equivalent","Shared_equivalent",-6641,-Inf,-Inf,FALSE,TRUE,2827.97531055777,-4.12653644841925,2.32003216162517e-197,TRUE,"Down"
"MID1",3,"Shared_equivalent;TEAD1_unique;TES_unique","Shared_equivalent",-1438,-Inf,-Inf,TRUE,TRUE,1114.52480103151,-4.14934057568253,2.46833474791903e-192,TRUE,"Down"
"PARVA",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",-2070,-Inf,-Inf,TRUE,TRUE,737.578321605466,-5.13370211651562,8.32659477609049e-191,TRUE,"Down"
"CCN1",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",0,-Inf,-Inf,TRUE,FALSE,1225.4248327505,-7.58217516754692,2.48648936860275e-184,TRUE,"Down"
"MBNL2",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",0,-Inf,-Inf,TRUE,FALSE,884.393731871934,-4.87160817326055,1.59855851212008e-174,TRUE,"Down"
"ITGB8",2,"Shared_equivalent;TEAD1_unique","Shared_equivalent",0,-Inf,-Inf,TRUE,TRUE,6479.41630709051,-3.13290375568598,1.00113019720093e-161,TRUE,"Down"
"PI15",3,"Shared_equivalent;TEAD1_unique;TES_unique","Shared_equivalent",0,-Inf,-Inf,TRUE,TRUE,1724.1704136895,-5.02825208694987,2.88158215354081e-156,TRUE,"Down"
"LIMCH1",3,"Shared_equivalent;TEAD1_unique;TES_unique","Shared_equivalent",0,-Inf,-Inf,TRUE,TRUE,3423.41899863011,-3.1060039256628,3.32694622750626e-149,TRUE,"Down"
