"gene_name","peak_id","category","location","distance","tes_signal","tead1_signal","baseMean","log2FoldChange","padj"
"A2M","TEAD1_4223","TEAD1_unique","Promoter",0,1.71473942252354,1.47379051401145,1070.93805673561,-4.14040985325567,8.65591692794545e-104
"AADACL2","TES_10906","TES_unique","Proximal_Enhancer",-8799,4.27182220326694,1.07179752430314,2.1725767219083,-1.91227111150324,0.256881051907476
"AADAT","TEAD1_14777","TEAD1_unique","Promoter",0,0.552214085272149,2.27016816223143,90.5695334813866,-0.101424481198196,0.769594996705989
"AAGAB","TEAD1_6594","TEAD1_unique","Proximal_Enhancer",-4291,0.130737355147375,1.26984358203504,1405.46859507264,0.647679699553248,0.000389720461052063
"AAK1","TEAD1_9913","TEAD1_unique","Distal_Enhancer",25831,1.68818595075535,1.30351620068833,3587.91024466226,0.528443868863834,0.000119659825277944
"AARS1","TES_5985","TES_unique","Promoter",-1046,5.79043397019366,0.935288582974402,7571.14636288251,0.0137472310655318,0.948504611821252
"AATF","TEAD1_7772","TEAD1_unique","Proximal_Enhancer",-9224,0.677303374053005,2.58673614024158,1356.2317676382,0.480111839639637,0.00140997586303825
"ABCA1","TES_19403","Shared_TEAD1_dominant","Promoter",806,3.92396468667902,10.4749731601813,4568.07261452276,-0.100429194267525,0.571492858343692
"ABCA1","TEAD1_20659","TEAD1_unique","Distal_Enhancer",-19833,0.245553161685795,1.63246640839984,4568.07261452276,-0.100429194267525,0.571492858343692
"ABCA12","TEAD1_10920","TEAD1_unique","Distal_Enhancer",-15027,0.539545640834542,1.02798030025275,97.4646284445101,-1.93155005193051,1.44633654580279e-13
"ABCA12","TES_8845","TES_unique","Promoter",250,3.41092711767364,0.184630229416921,97.4646284445101,-1.93155005193051,1.44633654580279e-13
"ABCA13","TES_16562","Shared_TEAD1_dominant","Distal_Enhancer",-19298,4.25361012790098,7.14627372691909,4841.78897620702,-2.73672482212207,1.97193319324725e-73
"ABCA13","TES_16557","Shared_TES_dominant","Distal_Enhancer",11334,7.33396583243114,4.20209543138016,4841.78897620702,-2.73672482212207,1.97193319324725e-73
"ABCA13","TES_16563","Shared_equivalent","Promoter",697,6.02221153715067,4.55353390181627,4841.78897620702,-2.73672482212207,1.97193319324725e-73
"ABCA13","TEAD1_18134","TEAD1_unique","Promoter",2486,1.31610974905181,1.82258412132492,4841.78897620702,-2.73672482212207,1.97193319324725e-73
"ABCA13","TES_16556","TES_unique","Proximal_Enhancer",-3021,3.76306410229694,0.931826554892356,4841.78897620702,-2.73672482212207,1.97193319324725e-73
"ABCA4","TEAD1_831","TEAD1_unique","Promoter",-446,1.53803689823337,1.45880054350447,846.818854594521,7.26019503406969,3.61106467099676e-119
"ABCA4","TES_577","TES_unique","Distal_Enhancer",15614,2.15479659290574,10.0721570567081,846.818854594521,7.26019503406969,3.61106467099676e-119
"ABCA8","TEAD1_8177","TEAD1_unique","Proximal_Enhancer",-5701,0.796043544716749,1.72181166224234,9.75463264610472,-2.90206606244615,0.000179434835858024
"ABCB1","TES_16857","Shared_equivalent","Distal_Enhancer",-20016,2.08925329050388,1.45953091676684,17.0888681407706,1.97891025866904,0.000514515497010075
"ABCB10","TEAD1_1789","TEAD1_unique","Proximal_Enhancer",-3072,1.44540692434133,2.02550186336863,267.227947719172,-1.16905315122759,2.53811385269374e-09
"ABCB11","TEAD1_10578","TEAD1_unique","Distal_Enhancer",20180,0.661202092135406,2.20794661354955,27.2624373843547,-3.28044390335751,2.48271651812202e-09
"ABCB11","TES_8435","TES_unique","Distal_Enhancer",-25297,1.23700310863474,1.67814616028981,27.2624373843547,-3.28044390335751,2.48271651812202e-09
"ABCB4","TES_16856","Shared_TEAD1_dominant","Promoter",121,1.50899540265401,1.82306514600913,34.1819946170738,-0.0425403754012824,0.943299505610848
"ABCB5","TEAD1_17904","TEAD1_unique","Distal_Enhancer",-18518,1.65765658919057,1.40555056784089,6.78228204049322,1.32130657101722,0.166417319638111
"ABCB5","TES_16279","TES_unique","Proximal_Enhancer",9202,1.21289749581505,0.523015243449697,6.78228204049322,1.32130657101722,0.166417319638111
"ABCB7","TEAD1_21405","TEAD1_unique","Distal_Enhancer",-24828,0.302238240481068,4.83545806001352,371.313741149601,-2.97663046026059,4.72280627731453e-64
