"primary_category","n_genes","n_DEGs","pct_DEG","n_up","n_down","mean_log2FC","median_log2FC","mean_baseMean"
"Shared_equivalent",1530,869,56.8,368,501,-0.0851645564659257,-0.0506934305928238,946.007631718828
"TEAD1_unique",3932,2171,55.21,932,1239,-0.0426385162496132,-0.0383110188328031,1023.30948038032
"TES_unique",1937,1090,56.27,485,605,-0.0283841862986983,0.00661644867865251,867.680460191772
"Unbound",26560,8238,31.02,4527,3711,0.18773290891257,0.107959072302717,293.869298721136
