".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"log2FoldChange","Unbound","TEAD1_unique",7.31314469322633e-24,2.2e-23,"< 2e-16","****","Wilcoxon"
"log2FoldChange","Unbound","TES_unique",1.26008124776442e-09,1.3e-09,"1.3e-09","****","Wilcoxon"
"log2FoldChange","Unbound","Shared_equivalent",2.40844446991773e-13,4.8e-13,"2.4e-13","****","Wilcoxon"
