"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"GCM_ACTG1",0.0559732664995823,0.373076326903054,0.124026527381656,-0.311261563994721,-1.26242992029873,122,"EPRS1;DHX9;PSMA1;DUT;NAP1L1;BRD8;HMGB1;HSP90AA1;SNRPD3;H2AZ1;RPS8;EBP;TATDN2;HNRNPU;RPS19;USP7;KHDRBS1;BCLAF1;NONO;HNRNPA1;RPL3;UBA52;TRIM28;SRSF2;PSME1;SLC25A3;RPL10A;RACK1;SNRPA;TRA2B;HMGN2;CLIC1;RPS23;NDUFA12;SSR2;SUZ12;HNRNPM;RPL7;PSMB3;SET;EEF1B2;RPL29;RPL17;RPS3A;EIF4H;HNRNPK;EIF4A1;NACA;HNRNPA2B1;RPL4;EIF3F;RPL9;PRMT1;CSNK2B;RPL32;EEF2;U2AF1;ATP5PB","12_C4_Computational"
"GCM_AIP",0.894388931591084,1,0.012233181440037,0.244621549850559,0.721962070212673,39,"RENBP;SIGMAR1;WAS;HNRNPL;VAV1","12_C4_Computational"
"GCM_ANP32B",0.176042541281836,0.607644632438235,0.0557092269421475,-0.3720842231288,-1.20651769544304,35,"DUT;MCM6;NAP1L1;H2AZ1;EBP;KHDRBS1;HNRNPD;HNRNPA1;ANP32B;TRIM28;SLC25A3;SNRPA;HMGN2;CLIC1","12_C4_Computational"
"GCM_APEX1",0.0406338886631451,0.313232539333204,0.143909619745855,-0.326993791896413,-1.30836643885017,112,"EPRS1;DHX9;PSMA1;DUT;MCM6;NAP1L1;CAPZA1;SNRPD3;H2AZ1;RPS8;LMNB2;SRSF3;HNRNPU;RPS19;KHDRBS1;HNRNPD;BCLAF1;NONO;HNRNPA1;MCM3;TRIM28;SRSF2;PFN1;PSME1;SLC25A3;RPL10A;RACK1;SNRPA;RPL14;TRA2B;CLIC1;RPS23;NDUFA12;HNRNPM;RPL7;RAD21;PSMB2;TAF9;SET;EEF1B2;RPL29;RPL17","12_C4_Computational"
"GCM_AQP4",0.250674662668666,0.699164130541492,0.0477811569268953,-0.331143710125746,-1.12443133182865,45,"OGFRL1;PSAT1;SAMD4A;RAPH1;CDC42EP4;SRI;DNER;HIPK2;EPB41L2;TMEM47;RDX;DTNA;ARNT2;NDRG2","12_C4_Computational"
"GCM_ATM",0.167388167388167,0.599634517766497,0.0422667372169805,0.468717527793297,1.26125980637945,24,"KRT35;RENBP;HSD17B3;AANAT;WAS;MPP2;MICB","12_C4_Computational"
"GCM_BAG5",0.956706281833616,1,0.0201884140929854,-0.206133251673302,-0.674882335684348,37,"TAB2;UBQLN2;C1orf43;ZNF644;MPC1;UBE2K;PRRC2C;NAPG;FAM168B;TMEM50B;G3BP2;SAP130;HECTD1;NAGLU;BAG5;SETD3;YTHDF3;MAEA;MED23;FN3KRP;RAB14;STARD7;USP33;KLHDC2;VPS52;SACM1L;JKAMP;FBXO9;DYNC1I2;ACTR10;ELP1;SPTLC1;KIAA1191;RMDN3;GPR153;XIAP;APMAP","12_C4_Computational"
"GCM_BCL2L1",0.291631682059894,0.736280487804878,0.0423120234220655,-0.339072475122739,-1.09947403260805,35,"TAF9B;RAN;NUCKS1;NF2;RTN4;PRRC2B;PRKRA;BCL2L1;PHF2","12_C4_Computational"
"GCM_BECN1",0.989849892780558,1,0.00961755283659705,0.189424692356447,0.611571129669198,64,"RENBP;GCGR;SLC2A4;SMG7;PNMT;MPP2;GRM4","12_C4_Computational"
"GCM_BMPR2",0.244755244755245,0.691802173729885,0.0540750048245249,-0.287368114256785,-1.10160613480164,85,"SESN3;RALGAPB;APPBP2;DDX17;RAN;PHAX;PNMA8A;NAB1;CHST10;DYNC1H1;ABI2;PPIG;RTN4;TMEM248;RERE;PJA2;PHF10;FBXO21;PHF2;HERC2;TRIM37;TSPYL4;VPS26B;CRKL;UBE2K","12_C4_Computational"
"GCM_BNIP1",0.0340601396608237,0.285035984462399,0.0922972084621158,0.437778068162125,1.41716445921392,65,"KRT35;KRT31;PTPN5;FEV;ATP12A;GHRHR;CD8B;MYCL;MYH7;SLC2A4;AANAT;PTPRU","12_C4_Computational"
