"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"GNF2_RRM2",1.93906623149117e-15,3.17375538075229e-13,1.00731795687447,-0.839611034928447,-2.79204320023462,40,"DLGAP5;RRM2;KIF18B;CDCA8;UBE2C;MKI67;AURKB;BIRC5;TOP2A;ZWINT;CDC20;NDC80;ASPM;AURKA;CDK1;FOXM1;HMMR;ESPL1;PLK1;CCNA2;NUSAP1;BUB1B;LMNB1;TYMS;BUB1;CENPE;CCNB2;MELK","14_C2_Curated"
"GNF2_MCM4",2.09160143733282e-14,2.72605387332377e-12,0.97599468306432,-0.781139696699257,-2.74526789674563,53,"RRM2;KIF18B;CDCA8;UBE2C;TTK;AURKB;TOP2A;ZWINT;CDC20;NDC80;ASPM;RAD51AP1;AURKA;FOXM1;HMMR;ESPL1;CCNA2;HELLS;BUB1B;PCLAF;GINS1;LMNB1;TYMS;BUB1;GINS2;CKS2;CCNB2;MELK;FEN1;KIF14;MCM6;RACGAP1;CENPM;ASF1B;FANCI;MAD2L1","14_C2_Curated"
"GNF2_BUB1B",1.04855966265368e-13,1.22996048429276e-11,0.954541630725724,-0.780365337687897,-2.69331283015972,49,"HJURP;RRM2;CDCA8;UBE2C;KIF20A;TTK;AURKB;TOP2A;ZWINT;CDC20;NDC80;ASPM;AURKA;HMMR;ESPL1;PLK1;CCNA2;HELLS;BUB1B;SPAG5;GINS1;LMNB1;TYMS;BUB1;CCNB2;MELK;KIF14;NCAPD2","14_C2_Curated"
"GNF2_CKS2",1.21027351532106e-13,1.39637786898847e-11,0.943632225232838,-0.783410133686238,-2.71487298289171,50,"DLGAP5;KIF20A;TTK;BIRC5;TOP2A;SHCBP1;ZWINT;CDC20;NDC80;ASPM;CDK1;FOXM1;HMMR;CCNA2;DTL;NUSAP1;PTTG1;PLK4;PCLAF;GINS1;CDCA3;TYMS;GINS2;CENPE;CKS2;HMGB2;CCNB2;FEN1;CKAP2;PRC1;CENPF;RACGAP1","14_C2_Curated"
"GNF2_ESPL1",2.47325068317611e-13,2.67795973972208e-11,0.932595211336209,-0.833558294703756,-2.70289028727583,35,"RRM2;CDCA8;UBE2C;KIF20A;MKI67;AURKB;BIRC5;TOP2A;CDC20;ASPM;TPX2;FOXM1;HMMR;ESPL1;PLK1;CCNA2;BUB1B;SPAG5;BUB1;CENPA;CKS1B;CENPE;CCNB2;MELK;NCAPD2;KIF2C;MCM6","14_C2_Curated"
"GNF2_FEN1",7.95937927808492e-13,7.67371388481666e-11,0.921426003494898,-0.742358714628918,-2.64431961386106,56,"DLGAP5;KIF18B;TTK;TOP2A;SHCBP1;ZWINT;NDC80;RAD51AP1;CDK1;FOXM1;HMMR;E2F8;CCNA2;DTL;NUSAP1;PLK4;PCLAF;GINS1;TYMS;GINS2;CKS2;HMGB2;CCNB2;FEN1;DUT;PRC1;CENPF;RACGAP1;DHFR","14_C2_Curated"
"GNF2_MKI67",1.04415928625481e-12,9.93080142792079e-11,0.910119734774459,-0.875430465257581,-2.65769799222046,27,"RRM2;KIF18B;UBE2C;KIF20A;MKI67;BIRC5;TOP2A;ZWINT;CDC20;ASPM;TPX2;AURKA;CDK1;FOXM1;HMMR;ESPL1;NCAPG;CCNA2;NUSAP1;CENPA;CENPE;MELK","14_C2_Curated"
"GNF2_SMC2L1",2.21648003708632e-12,1.97463120265994e-10,0.898671232061694,-0.844593109849701,-2.67151536708778,32,"KIF18B;CDCA8;TTK;BIRC5;TOP2A;MYBL2;ZWINT;CDC20;NDC80;ASPM;CDK1;FOXM1;HMMR;ESPL1;CCNA2;NUSAP1;BUB1;CKS1B;CENPE;CKS2;CCNB2","14_C2_Curated"
"GNF2_RFC4",7.63326432801013e-12,6.29915666475755e-10,0.875325132024659,-0.707289406298527,-2.54772763425853,60,"UBE2C;TTK;BIRC5;TOP2A;ZWINT;NDC80;ASPM;RAD51AP1;CDK1;FOXM1;CCNA2;MCM10;PLK4;PCLAF;GINS1;TYMS;RAN;CKS1B;GINS2;CKS2;CCNB2;RAD54L;FEN1;NCAPD2;MCM6;CENPF","14_C2_Curated"
"GNF2_TTK",7.86302175379658e-12,6.36091346014026e-10,0.875325132024659,-0.795177048823581,-2.63225414761254,39,"HJURP;KIF18B;TTK;TOP2A;ZWINT;CDC20;NDC80;ASPM;TPX2;CDK1;FOXM1;HMMR;CCNA2;NUSAP1;BUB1B;PLK4;TYMS;GINS2;CENPU;CKS2;CCNB2;MELK;FEN1;KIF2C;PRC1;CENPF;RACGAP1;FANCI;DBF4","14_C2_Curated"
"GNF2_BUB1",1.89963283715759e-10,1.24827287553265e-08,0.826657301178302,-0.843166280846418,-2.53732461835757,26,"RRM2;CDCA8;KIF20A;AURKB;CDC20;NDC80;ASPM;FOXM1;HMMR;ESPL1;PLK1;BUB1B;SPAG5;BUB1;CKS1B;CENPE;CCNB2;MELK;CDT1;KIF2C","14_C2_Curated"
