"Category","n_peaks","n_significant","pct_significant","mean_log2FC","median_log2FC","n_up","n_down"
"Shared",3220,2060,63.9751552795031,-0.409137368517812,-0.307759379683778,1257,1963
"TEAD1_Unique",5000,3037,60.74,-0.259738562919423,-0.203615630755544,2112,2888
"TES_Unique",9496,6094,64.1743892165122,-0.404218053496897,-0.329969673380676,3758,5738
