"Regulatory_Type","n_peaks","n_significant","pct_significant","mean_log2FC","median_log2FC","n_up","n_down"
"Enhancer/Distal",15091,9454,62.646610562587,-0.338193828892037,-0.260885005083553,6170,8921
"Promoter",2625,1737,66.1714285714286,-0.514623506827148,-0.397263380105243,957,1668
