"Category","Total_Peaks","Peaks_in_DMR","DMR_Overlap_Pct"
"Shared",4386,13,0.296397628818969
"TES_Unique",13217,75,0.567451010062798
"TEAD1_Unique",6681,36,0.538841490794791
