"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GO:0006334",2.24436925565697e-19,6.55580259577402e-16,1.13308993200902,-0.725190964235891,-2.84290175614349,98,"H3C3;H3C7;H3C2;H4C1;H2BC7;H1-0;H1-5;H2BC3;H4C5;H3C11;H2BC1;H3C8;H1-3;H2BC10;H4C3;H4C4;H3C1;H2BC13;H2BC8;H4C2;H4C16;H2BC9;H4C8;H1-2;H3C10;H2BC15;H1-4;H4C6;HMGB2;H4C14;NAP1L5;NAP1L2;H2BC17;H4C9;H3C13;SHPRH;H1-10;H3C6;NAP1L1;H4C15"
"GO:0034728",1.64335166400498e-19,6.55580259577402e-16,1.14219120216838,-0.689993370762925,-2.77445198304008,117,"H3C3;H3C7;H3C2;H4C1;H2BC7;H1-0;H1-5;H2BC3;H4C5;H3C11;H2BC1;H3C8;H1-3;H2BC10;H4C3;H4C4;H3C1;H2BC13;H2BC8;H4C2;H4C16;H2BC9;H4C8;H1-2;H3C10;H2BC15;H1-4;NFE2;H4C6;HMGB2;H4C14;NAP1L5;NAP1L2;H2BC17;H4C9;H3C13;SHPRH;H1-10;H3C6;NAP1L1;H4C15"
"GO:0065004",5.42703348527684e-19,1.05682432069958e-15,1.12391496374483,-0.579757514018267,-2.49751326448291,205,"H3C3;H3C7;H3C2;H4C1;H2BC7;H1-0;H1-5;H2BC3;H4C5;H3C11;H2BC1;H3C8;H1-3;H2BC10;H4C3;H4C4;H3C1;HJURP;DLGAP5;H2BC13;H2BC8;H4C2;H4C16;H2BC9;MED18;H4C8;H1-2;H3C10;H2BC15;H1-4;TAF1B;H4C6;CDC45;CENPA;CENPE;CENPW;HMGB2;H4C14;NAP1L5;NAP1L2;NFKBIZ;MED21;H2BC17;H4C9;H3C13;SHPRH;CDT1;H1-10;CENPI;SUGT1;H3C6;NAP1L1;H4C15;CENPF;MACROH2A2;H3-4;TCF4;ASF1B;HMGB1;RAD51;CENPH;H2AX"
"GO:0071824",8.8193137980651e-19,1.28806078020741e-15,1.11466447751729,-0.562949229454556,-2.4499529504321,224,"H3C3;H3C7;H3C2;H4C1;H2BC7;H1-0;H1-5;H2BC3;H4C5;H3C11;H2BC1;H3C8;H1-3;H2BC10;H4C3;H4C4;H3C1;HJURP;DLGAP5;H2BC13;H2BC8;H4C2;H4C16;H2BC9;MED18;H4C8;H1-2;H3C10;H2BC15;H1-4;NFE2;TAF1B;H4C6;CDC45;CENPA;CENPE;CENPW;HMGB2;H4C14;NAP1L5;NAP1L2;NFKBIZ;MED21;H2BC17;H4C9;H3C13;SHPRH;CDT1;H1-10;CENPI;SUGT1;H3C6;NAP1L1;H4C15;CENPF;MACROH2A2;H3-4;TCF4;ASF1B;HMGB1;RAD51;CENPH;MYC;H2AX"
"GO:0000070",4.84967120969139e-15,5.66635584140342e-12,0.996986217533181,-0.563203807243858,-2.40939359802556,190,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;KIF23;TPX2;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;MZT1;KNSTRN;INCENP;KIF14;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;PRC1;CENPF;TUBG1"
"GO:0000819",2.09647366049045e-13,2.0412665207642e-10,0.943632225232838,-0.504207150141284,-2.19855280765623,230,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;TOP2A;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;KIF23;TPX2;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;MZT1;KNSTRN;INCENP;KIF14;TACC3;CDC6;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;ANAPC1;RIOK2;PRC1;CENPF;TUBG1;NEK6;RACGAP1;BCL7A;HSPA1A;ACTB;TRIP13"
"GO:0140014",5.36360382408015e-13,4.47631050575374e-10,0.921426003494898,-0.477711658281797,-2.11855210567749,273,"TGFA;DLGAP5;KIF18B;CDCA8;EDN1;UBE2C;CDC25C;TTK;MKI67;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;NFIB;KIF23;TPX2;AURKA;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;ANLN;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;CDCA2;HASPIN;KIF22;RAN;UHRF1;KIF20B;CENPE;BORA;MZT1;REEP4;PKMYT1;KNSTRN;INCENP;KIF14;CHEK1;NCAPD2;OBSL1;CDT1;SPDL1;KIF2C;TOM1L1;CENPI"
"GO:0051310",5.82539416686501e-12,3.78132808031393e-09,0.887074988399873,-0.629458424985158,-2.47690695936218,100,"CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;SPC24;CCNB1;ZWINT;NDC80;SKA3;CDK1;KNL1;CDCA5;NUF2;NEK2;SGO1;ECT2;SPAG5;KIF18A;DSN1;FAM83D;SKA2;KIF22;CENPE;KNSTRN;INCENP;KIF14;CDT1;SPDL1;KIF2C;CENPF;DYNC1H1;RACGAP1"
"GO:0098813",5.54037756282023e-12,3.78132808031393e-09,0.887074988399873,-0.445883625668682,-2.00375798823186,307,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;TOP2A;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;ASPM;KIF23;TPX2;AURKA;SKA3;CDK1;KNL1;ESPL1;CDCA5;FANCD2;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;SGO1;PTTG1;ECT2;RIPOR2;BUB1B;SPAG5;KIF18A;DSN1;FAM83D;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;CCNB2;MZT1;RNF212B;KNSTRN;INCENP;KIF14;TACC3;CDC6;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;ANAPC1;BRIP1;RIOK2;PRC1;CENPF;TUBG1;DYNC1H1;NEK6;RACGAP1;MLH3;BCL7A;HSPA1A;ACTB;TRIP13;SHOC1;MAD2L1"
"GO:0007051",1.44423533239424e-11,8.43722281184717e-09,0.875325132024659,-0.503609077054253,-2.15889816645001,198,"DLGAP5;CDCA8;TTK;AURKB;BIRC5;KIFC1;SPC25;CCNB1;MYBL2;CDC20;NDC80;ASPM;KIF23;TPX2;AURKA;SKA3;ESPL1;NUF2;NEK2;PLK1;KIF15;AUNIP;CENPJ;GNAI1;RIPOR2;SPAG5;WDR62;HAUS4;SKA2;RAN;UHRF1;CENPE;PLK2;BORA;CCNB2;MZT1;HAUS8;KNSTRN;GPSM2;INCENP;TACC3;TUBGCP3;SUGT1;SPATA17;PRC1;TUBG1;TUBB;PKD1;DYNC1H1;NEK6;RACGAP1;CEP126;MYH9"
