"TF","n_targets_total","n_targets_in_DEGs","p_value_all","odds_ratio_all","n_targets_up","p_value_up","n_targets_down","p_value_down","TF_log2FC","TF_padj","padj_all","padj_up","padj_down","is_significant","direction_bias","primary_category","is_direct_target","is_TES_TEAD1_target"
"ZNF592",1927,918,1.66181808428655e-46,2.03119208700775,469,6.95472472477055e-19,449,8.48839770594659e-18,-0.625903187528123,5.04354080679178e-07,2.19359987125825e-44,4.59011831834856e-17,1.86744749530825e-16,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"LHX9",1604,758,4.82691265684398e-46,2.19408866906702,351,9.79678651802344e-11,407,2.36445962570127e-27,2.99208392531907,1.87947573243707e-11,2.36345617884323e-44,9.94750631060842e-10,1.56054335296284e-25,TRUE,"Both","Unbound",FALSE,FALSE
"TFEB",1424,698,5.37149131555279e-46,2.27999601347144,339,3.04251573922407e-14,359,3.79755579121512e-22,-0.446102370831406,0.00996460118146411,2.36345617884323e-44,5.73731539396539e-13,1.00255472888079e-20,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"MAFG",1960,828,5.94769141194764e-43,2.04492216761529,381,2.61490064758479e-09,447,3.57785352863727e-27,0.540228904717347,0.000580295193005177,1.96273816594272e-41,1.64365183562472e-08,1.5742555526004e-25,TRUE,"Both","Unbound",FALSE,FALSE
"SKIL",1984,912,4.48759190953514e-42,1.95244167054701,471,2.45083391378283e-18,441,3.3350190232879e-15,-1.14235236705913,2.55269154896648e-16,1.18472426411728e-40,1.07836692206445e-16,3.41886987920039e-14,TRUE,"Both","Unbound",FALSE,FALSE
"MEF2C",1889,825,6.916781795085e-40,1.98365001916574,364,2.51629470465213e-06,461,3.41711021505835e-30,-1.23544331662129,1.6388371315221e-20,1.5216919949187e-38,7.38113113364626e-06,4.51058548387703e-28,TRUE,"Both","TEAD1_unique",TRUE,TRUE
"E2F5",1298,639,7.3809046679872e-39,2.18213459206968,291,2.2536749145625e-08,348,1.14836234927671e-24,-1.1080422776345,1.59562000048037e-10,1.39182773739187e-37,1.10179662489722e-07,3.78959575261313e-23,TRUE,"Both","TES_unique",TRUE,TRUE
"BARX2",1901,910,1.52045642391732e-38,1.8873857826127,499,1.23575300461929e-23,411,5.48460708720661e-09,5.22910130995656,0.000708506072854812,2.50875309946358e-37,1.63119396609746e-21,2.4964418465906e-08,TRUE,"Both","Unbound",FALSE,FALSE
"E2F2",1499,720,6.85080509695464e-35,1.97608625994128,358,2.21527558270108e-12,362,8.29704467363665e-16,-3.0637167313984,2.04733569329769e-52,1.00478474755335e-33,2.92416376916543e-11,9.95645360836398e-15,TRUE,"Both","Unbound",FALSE,FALSE
"CREB3L4",1442,687,1.55235789380412e-32,1.95394271860355,340,2.70416808650196e-11,347,3.36706882042463e-15,-0.722899343130517,0.0343071819597851,2.04911241982144e-31,3.24500170380235e-10,3.41886987920039e-14,TRUE,"Both","Unbound",FALSE,FALSE
"ZNF92",1467,665,9.62915863585893e-32,1.958064881214,340,2.77718665630509e-13,325,1.94080653910194e-12,-0.750631413811072,8.48079778285454e-06,1.15549903630307e-30,4.55925724319641e-12,1.28093231580728e-11,TRUE,"Both","Shared_TEAD1_dominant",TRUE,TRUE
"FOXD2",1281,611,1.81207127252514e-30,1.98847590615285,294,4.58395595930948e-09,317,2.99668412649496e-16,1.2868838518412,2.45624875212784e-05,1.99327839977765e-29,2.52117577762021e-08,4.39513671885928e-15,TRUE,"Both","Unbound",FALSE,FALSE
