gene_symbol,baseMean,log2FoldChange,padj,in_rnaseq_degs,bound_by_tead1
THBS1,12319.4478488787,-5.16471413946792,0,TRUE,TRUE
AMOTL2,1987.73336740855,-5.97202541163863,6.32982951204309e-301,TRUE,TRUE
CCN2,1797.3708667729,-7.80301925281702,2.69279158755025e-233,TRUE,TRUE
CCN1,1225.4248327505,-7.58217516754692,2.48648936860275e-184,TRUE,TRUE
DAB2,523.873888867927,-4.75916780426494,3.62467344947086e-153,TRUE,TRUE
PTPN14,1715.1400598654,-2.98887458076315,3.32107645375999e-121,TRUE,TRUE
LATS2,476.120920873732,-3.714509092708,1.57724196114925e-117,TRUE,TRUE
NDRG1,7268.05076310648,-2.565119434629,1.41356880129664e-107,TRUE,TRUE
WWC2,918.763165824063,-2.86446450765268,3.19013694734699e-93,TRUE,TRUE
SHCBP1,443.415820733669,-3.34700325642433,7.39610383775276e-82,TRUE,FALSE
BICC1,602.379827399686,-2.74017797919359,1.0917060744375e-78,TRUE,TRUE
ETS1,2016.77872978107,-2.52250066304808,1.98185565824567e-78,TRUE,TRUE
AMOT,1620.97037315989,-2.34036490108262,2.13485616135174e-78,TRUE,TRUE
MPDZ,1328.24622748539,-2.3890057122927,3.98957560737344e-74,TRUE,TRUE
MARCKS,4460.33199615759,-2.56399899197586,1.13225850075455e-69,TRUE,TRUE
IGFBP3,608.771563798874,-3.6914073879696,6.23368607481849e-59,TRUE,TRUE
FAT1,5946.61736810617,-1.85340745148586,3.89971264095426e-53,TRUE,TRUE
PMP22,1294.8971316849,-2.21013167021127,5.7458361435253e-51,TRUE,TRUE
CRIM1,6303.36470412534,-1.69787015602871,4.1629532731776e-48,TRUE,TRUE
EGFR,3067.16763265528,-1.63433405422435,1.23988213188413e-46,TRUE,TRUE
TGM2,639.788627721461,2.15038742926106,7.76320285206508e-46,TRUE,TRUE
FSTL1,1699.87763275036,-1.99637869073096,6.66165964748965e-45,TRUE,TRUE
SLIT2,3436.12446915425,-1.66905540272956,4.55501707309113e-44,TRUE,TRUE
GINS1,276.797584506182,-2.29384359145419,4.30518121687749e-41,TRUE,TRUE
TEAD1,12993.15739354,1.57307033767246,6.14564995100841e-37,TRUE,TRUE
CDK1,421.712829322962,-2.8300305371471,6.86279574536491e-34,TRUE,TRUE
HMMR,243.517577152361,-2.79852045968716,7.79166565314266e-28,TRUE,TRUE
NUAK2,670.483520851262,-1.47862589219608,1.01443728639951e-25,TRUE,TRUE
DDAH1,1165.4938664257,-1.4102552100202,7.2152491043011e-24,TRUE,TRUE
SGK1,1148.71940997035,1.68575964294532,1.03058971265057e-23,TRUE,TRUE
UBE2D1,523.845436053776,1.84089101111384,1.20447603161568e-23,TRUE,TRUE
TET1,1386.56348172213,-1.42543917160831,1.20587493817531e-23,TRUE,TRUE
FGF2,1433.7524555526,-1.20606297814764,4.31673327261947e-22,TRUE,TRUE
CENPF,3126.76806624821,-1.3072480204946,9.62124648699203e-21,TRUE,TRUE
CAVIN2,75.3776805652508,-2.36620841150529,5.5220388687167e-19,TRUE,TRUE
FRMD6,831.057521830191,-1.29859750834508,9.34249227229307e-18,TRUE,TRUE
ITGB5,1891.43667626163,1.17714004946899,7.6552161917779e-17,TRUE,TRUE
NF2,3727.65070624246,-1.01685496864315,1.43618880544296e-15,TRUE,TRUE
JAG1,4169.42043973444,1.06960210802111,1.74282529655692e-15,TRUE,TRUE
RUNX2,1792.22726647944,-0.998250940967586,2.27097960856377e-14,TRUE,TRUE
SMAD3,5220.34470181836,-0.914075611738659,2.91147300653081e-14,TRUE,TRUE
SCHIP1,278.467486156619,-1.28014067286966,3.78204126158737e-13,TRUE,TRUE
ARRDC3,5421.34171829883,-1.00270942748704,1.614846782233e-12,TRUE,FALSE
PHGDH,2297.55400936373,-1.0701559123936,1.18554241943143e-11,TRUE,TRUE
RAD18,648.422455591271,0.997584668901638,2.60832574101952e-11,TRUE,TRUE
MYOF,6288.42413649933,-0.75883369840593,1.38296520635877e-10,TRUE,TRUE
USP9X,9049.71602694025,-0.733886346365575,1.67361985787047e-10,TRUE,TRUE
MYC,505.121869174922,-1.10230748717995,9.95431182345309e-10,TRUE,TRUE
LHFPL6,466.813442557988,-0.990423068889094,7.85994601402926e-8,TRUE,TRUE
GLS,2641.42056219397,-0.646040683909155,1.56296821105018e-7,TRUE,TRUE
INHBA,298.132263468147,0.868025996070038,2.46617814233668e-7,TRUE,TRUE
MDFIC,455.219705589807,-0.81422577730727,4.81336843664902e-7,TRUE,FALSE
TGFB2,685.579572049181,-0.848710110170639,6.49753791656157e-7,TRUE,TRUE
CTNNB1,7368.19628567687,-0.64574014796404,8.34472534689473e-7,TRUE,TRUE
CCNA1,43.9687905158296,1.51495991724399,2.33579572717938e-5,TRUE,FALSE
WWTR1,4695.52121865949,-0.484134027033072,1.11473887951516e-4,TRUE,TRUE
ERBB4,9.61251893365898,3.96346698799034,2.04785014838854e-4,TRUE,TRUE
HEXB,4005.64482793028,1.65626191720962,3.38798261427035e-4,TRUE,TRUE
SMAD7,163.305323186724,0.703448771930281,0.00119666821678141,TRUE,TRUE
