gene_symbol,baseMean,log2FoldChange,padj
THBS1,12319.4478488787,-5.16471413946792,0
AMOTL2,1987.73336740855,-5.97202541163863,6.32982951204309e-301
DDR2,3045.79964205334,-4.52405488046812,8.7128848639006e-284
PDE1C,3988.73035117867,-4.11908970201714,5.07136069696543e-269
ADAMTSL1,1694.14119238008,-4.24994949902985,6.19452497938647e-211
ARHGAP29,5075.83310035065,-3.59028908769471,6.61492429424289e-205
H3C3,889.348743871023,-5.79750108530536,1.78143213479321e-204
ABI3BP,2458.25911607693,-3.92593960471013,1.71327769923472e-200
VCAN,13303.7072072348,-3.3430689830481,8.25270594826487e-197
CDH11,4361.05033151811,-3.51266605280108,1.84652099612702e-194
MID1,1114.52480103151,-4.14934057568253,2.46833474791903e-192
PARVA,737.578321605466,-5.13370211651562,8.32659477609049e-191
DHRS3,3223.63058221268,-3.40999963743536,1.85849980385949e-190
XKR4,1181.79633356271,-4.14719861683479,9.10686780262435e-185
CCN1,1225.4248327505,-7.58217516754692,2.48648936860275e-184
MBNL2,884.393731871934,-4.87160817326055,1.59855851212008e-174
ITGB8,6479.41630709051,-3.13290375568598,1.00113019720093e-161
PI15,1724.1704136895,-5.02825208694987,2.88158215354081e-156
DAB2,523.873888867927,-4.75916780426494,3.62467344947086e-153
LIMCH1,3423.41899863011,-3.1060039256628,3.32694622750626e-149
CALD1,4937.77610140333,-3.27393621064106,4.13596506392006e-149
EPHA3,4526.82238488291,-3.15926590086563,1.5599374742183e-148
PRSS35,894.832163329415,-5.51440540427932,2.11747246157523e-135
CUEDC1,1438.07575451222,-3.10594017008297,2.44172450243627e-129
CAV1,2255.8378878697,-4.05488094375317,1.30942435146464e-127
ARID5B,7977.24264140739,-2.83706279395299,1.30942435146464e-127
RARB,1057.82482264415,-3.21209099783835,1.33757706879539e-122
PSD3,4234.51748008596,-3.11111775157525,1.55059069425127e-122
DCBLD2,15386.4109331694,-2.59420650209385,8.09507897533245e-122
COL12A1,3581.97440057399,-3.12431620296627,5.82362331312125e-121
ARSJ,1618.42653213867,-3.05204776402712,6.87454054232262e-121
NFIB,2705.16368521324,-2.96297919606652,7.87074262497469e-121
FAM13C,409.586983662296,-4.05831666996138,2.8070402069078e-120
CAMK2D,3268.6792568659,-2.65329495309456,3.04941467964484e-118
LATS2,476.120920873732,-3.714509092708,1.57724196114925e-117
H1-2,1747.9482251635,-2.87972457145761,2.5377974249641e-116
ANKRD50,1695.92552017785,-2.74480266200501,2.88957408467927e-116
OSBPL10,1667.9457138387,-2.84149543589002,1.36795751743945e-114
TACR1,507.287739297384,-3.52753029280769,4.51729044646604e-113
VCAM1,993.641085493865,-3.70225048286617,4.51312467541353e-112
DMD,500.936675520479,-3.60718304623363,2.68871414911187e-110
SLFN12,460.350355965635,-4.34401311349114,2.81532788300184e-110
COL5A2,1549.06843970891,-3.25000987079925,3.51071821202547e-108
NDRG1,7268.05076310648,-2.565119434629,1.41356880129664e-107
RBMS3,1066.08694336185,-2.84879489234782,5.77509964138202e-107
PRKD1,930.015862199743,-2.96893802822791,6.61689032842727e-105
COL21A1,396.881862398961,-4.2351221948193,7.37024584904564e-102
PAG1,467.068031158589,-3.50580663051506,5.8303918942914e-100
ASPM,1268.82931193796,-3.06051803604177,7.35248215444903e-99
H2BC7,292.29650718835,-5.44746146801954,1.88149732083129e-97
TENM2,3015.21524480116,-2.46057753090908,2.50794831939736e-97
TRIB2,1937.88480230595,-2.65889115532627,2.81004343723428e-95
CDK6,3734.61562266506,-2.50416652567573,5.2950036925613e-94
HNMT,296.891162300483,-5.9575449585292,4.25744299402014e-93
CP,1152.63116200501,-3.82611646445878,1.38794489255363e-92
SORL1,817.42776066853,-2.95239903492511,2.85094774693956e-92
LRIG3,1247.54612988638,-2.59470290398658,9.11184716506836e-92
MAP2,1751.32036521664,-2.83049926392138,2.00849229628647e-91
TNS3,6668.85341202987,-2.48716919439411,4.13158278680989e-91
MIR4435-2HG,1148.93430287303,-2.80062352254469,1.04170607073573e-89
NNMT,435.181329210803,-4.32554072935394,1.92839564559738e-89
BRCA2,420.875366452831,-3.58088148343411,4.03341404924438e-86
HDAC9,2034.87427002883,-2.34007634726241,4.25009202733988e-86
EYA4,2535.57948010173,-2.39620087832337,1.84706834176712e-84
FN1,4886.72186544166,-2.51778637847426,2.59161713560113e-84
MCC,4360.1597452498,-2.33035239367809,2.83826861062824e-84
COL8A1,351.207319396756,-3.6564954861073,1.10621260980863e-82
SLC7A11,2700.83583589595,-2.27253752313958,3.85486582274351e-82
P3H2,339.490397654715,-3.57908070955505,1.6963572145046e-80
CTNND2,1041.56542576015,-2.69565420236224,4.63909694625411e-80
PFKFB3,5979.42781291294,-2.17434159217117,1.9508291356737e-78
ETS1,2016.77872978107,-2.52250066304808,1.98185565824567e-78
AMOT,1620.97037315989,-2.34036490108262,2.13485616135174e-78
IL1RAP,723.442191543334,-2.70516091854508,6.86352634889263e-78
STAC,407.665582493453,-3.05667186402956,2.54859637247458e-76
INSYN2B,468.806496443518,-2.88161809726117,5.15143827823122e-76
BMPR1B,484.993563312176,-2.82682732048014,5.6390241507878e-76
MPDZ,1328.24622748539,-2.3890057122927,3.98957560737344e-74
ABCA13,4841.78897620702,-2.73672482212207,1.97193319324725e-73
RIPOR2,833.015381277433,-2.38031512791649,2.00740646205721e-73
ZEB2,1616.4997094519,-2.18872301651853,7.80636187538887e-73
SERPINB6,857.63498892065,-2.4805505248924,4.87209596524849e-72
PLCE1,1451.77863993211,-2.18873645505233,1.68325783353848e-70
MARCKS,4460.33199615759,-2.56399899197586,1.13225850075455e-69
LINC00472,2339.34695145982,-2.04221825155616,2.42376231151034e-68
RASAL2,2234.34974721677,-2.03243441382599,8.57447164282738e-67
OGFRL1,1526.89947932764,-2.21959841322382,1.59185179359784e-66
PTPRK,1044.64244503603,-2.19224173975252,1.78358748022065e-66
ARB2A,245.455085003863,-3.10482479117505,1.91230633013648e-65
PLCB1,1794.40904687845,-2.07202730111204,3.12488674710852e-65
LNCAROD,189.252989817327,-4.07955505403326,5.39853037188326e-65
LUCAT1,244.796892584209,-3.13378972015276,7.78007177332e-65
FOSL2,8774.07202132208,-2.02028418539159,8.50805320978349e-65
LOC100129203,755.704523844126,-2.72921611994635,3.45000042264261e-62
STARD13,610.716401733162,-2.56581001892774,3.84776872973153e-62
POLQ,342.026771912364,-2.77813889748861,6.26064432323095e-62
RIN2,943.381642951236,-2.35208958768779,5.02842115684272e-61
DIAPH3,278.513492605161,-2.95655988875074,1.10511502835258e-60
DSEL,390.178164209155,-2.53493715232494,1.56588745118003e-60
CCDC80,1151.53263378965,-2.34334935766562,1.73043385340658e-60
STARD13-AS,393.597056356261,-3.32270460788906,2.98868687581785e-60
GLIS3,2829.70684627511,-2.06434871444888,1.25369726565919e-59
NIBAN1,3546.85399548166,-1.82850593291925,2.05486390319272e-59
SHROOM3,572.96488203379,-2.56421531810794,5.5712489521283e-59
IGFBP3,608.771563798874,-3.6914073879696,6.23368607481849e-59
LOXL2,1113.18666470791,-2.51922739608152,2.51617302894585e-58
MIR100HG,2297.08579112803,-2.25943697427507,4.37556438951168e-58
TPM1,1467.95056051152,-2.06636952634976,2.40646339077541e-56
GASK1B,343.730966609935,-2.87004528755397,6.69924276297664e-56
MIR99AHG,9249.68169732151,-2.32908935951756,5.88650285544678e-54
LRMDA,269.464740524465,-3.5042448652787,6.47631216231112e-54
GNAI1,548.894250060152,-2.38136995515317,2.57006552932381e-53
DOK5,140.339139073572,-5.89418903462436,2.37480555979352e-52
SYNE1,4947.87207778049,-1.80239523803036,6.05999344368213e-52
ANLN,1052.25239931341,-2.36212792730061,1.17057236693082e-51
VOPP1,1522.13781605502,-1.79853008622821,3.70801108104495e-51
NBN,1350.94162605505,-2.016485347987,4.49264595968372e-51
PMP22,1294.8971316849,-2.21013167021127,5.7458361435253e-51
PKD2,662.78441491322906,-2.27236065670436,2.29216540436867e-50
