"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","tes_peaks","tead1_peaks"
"ENSG00000137801.11","THBS1",12319.4478488787,-5.16471413946792,0.118067088252013,-43.7438935433376,0,0,"ENSG00000137801",2,5
"ENSG00000114019.15","AMOTL2",1987.73336740855,-5.97202541163863,0.160017239929839,-37.3211374865428,7.45387365996595e-305,6.32982951204309e-301,"ENSG00000114019",3,7
"ENSG00000118523.6","CCN2",1797.3708667729,-7.80301925281702,0.237455171163943,-32.8610205226051,7.92743637408812e-237,2.69279158755025e-233,"ENSG00000118523",1,2
"ENSG00000142871.18","CCN1",1225.4248327505,-7.58217516754692,0.259701372054849,-29.1957455116778,2.19602805752716e-187,2.48648936860275e-184,"ENSG00000142871",1,4
"ENSG00000153071.15","DAB2",523.873888867927,-4.75916780426494,0.178860306607038,-26.6082950127162,5.44213218096485e-156,3.62467344947086e-153,"ENSG00000153071",5,3
"ENSG00000129474.17","AJUBA",981.450844544782,-3.30499069168193,0.137305830115089,-24.0702866652618,5.11948431059658e-128,2.31864857416459e-125,"ENSG00000129474",0,2
"ENSG00000152104.12","PTPN14",1715.1400598654,-2.98887458076315,0.12630041605568,-23.6648039183457,8.31051279349973e-124,3.32107645375999e-121,"ENSG00000152104",4,5
"ENSG00000171848.16","RRM2",857.751046227765,-3.9236403449446,0.166280020478114,-23.5965832435114,4.17834314081211e-123,1.59471864951804e-120,"ENSG00000171848",0,1
"ENSG00000150457.9","LATS2",476.120920873732,-3.714509092708,0.159422595682037,-23.2997654869229,4.45758444036529e-120,1.57724196114925e-117,"ENSG00000150457",1,5
"ENSG00000131747.15","TOP2A",2676.69769442492,-3.36581276900899,0.148380254809549,-22.6836971895561,6.49004576185524e-114,1.86825317320931e-111,"ENSG00000131747",0,0
"ENSG00000104419.17","NDRG1",7268.05076310648,-2.565119434629,0.11510681543244,-22.2846877050001,5.20183997179934e-110,1.41356880129664e-107,"ENSG00000104419",3,3
"ENSG00000151718.16","WWC2",918.763165824063,-2.86446450765268,0.13812149689809,-20.7387305523207,1.54961315447554e-95,3.19013694734699e-93,"ENSG00000151718",3,3
"ENSG00000171241.9","SHCBP1",443.415820733669,-3.34700325642433,0.172295736868324,-19.4259203231607,4.65958025576746e-84,7.39610383775276e-82,"ENSG00000171241",1,0
"ENSG00000089685.15","BIRC5",650.60741390082,-3.49391587625654,0.180916285213877,-19.3123348300352,4.23009986441416e-83,6.65222371270464e-81,"ENSG00000089685",0,0
"ENSG00000122870.12","BICC1",602.379827399686,-2.74017797919359,0.143881030891173,-19.0447480270431,7.26347070251042e-81,1.0917060744375e-78,"ENSG00000122870",6,6
"ENSG00000134954.14","ETS1",2016.77872978107,-2.52250066304808,0.132676950528822,-19.0123503215437,1.34776453442873e-80,1.98185565824567e-78,"ENSG00000134954",8,12
"ENSG00000126016.17","AMOT",1620.97037315989,-2.34036490108262,0.123123816029701,-19.0082225888617,1.4580977079416e-80,2.13485616135174e-78,"ENSG00000126016",1,2
"ENSG00000107186.17","MPDZ",1328.24622748539,-2.3890057122927,0.129275602780943,-18.479942548331,2.9950005295579e-76,3.98957560737344e-74,"ENSG00000107186",4,4
"ENSG00000277443.3","MARCKS",4460.33199615759,-2.56399899197586,0.143143931027242,-17.9120342271996,9.49993148595877e-72,1.13225850075455e-69,"ENSG00000277443",6,3
"ENSG00000100201.23","DDX17",6770.93336738877,-2.08140050100883,0.117341362162572,-17.7379950483712,2.13415040839509e-70,2.42376231151034e-68,"ENSG00000100201",0,0
