"ensembl_id","symbol","expr_direction","n_dmrs","mean_dmr_logFC","predominant_dmr_direction"
"ENSG00000000457","SCYL3","UP",1,6.0331590920122,"Hypermethylated"
"ENSG00000000460","FIRRM","UP",2,1.71051589104411,"Hypermethylated"
"ENSG00000000938","FGR","UP",1,2.636269417249,"Hypermethylated"
"ENSG00000001084","GCLC","UP",1,-2.42699581503415,"Hypomethylated"
"ENSG00000001460","STPG1","DOWN",3,4.97948155171625,"Hypermethylated"
"ENSG00000001630","CYP51A1","DOWN",3,0.14500630306334,"Hypermethylated"
"ENSG00000002016","RAD52","DOWN",3,5.5324669491215,"Hypermethylated"
"ENSG00000002549","LAP3","UP",1,5.62545099466521,"Hypermethylated"
"ENSG00000002822","MAD1L1","DOWN",45,5.18247238875949,"Hypermethylated"
"ENSG00000002919","SNX11","UP",2,3.9873230298947,"Hypermethylated"
"ENSG00000003137","CYP26B1","UP",2,3.42025350471428,"Hypermethylated"
"ENSG00000003436","TFPI","DOWN",1,5.42348725001239,"Hypermethylated"
"ENSG00000004139","SARM1","DOWN",5,5.17717829839884,"Hypermethylated"
"ENSG00000004468","CD38","UP",1,5.8836189262807,"Hypermethylated"
"ENSG00000004534","RBM6","UP",3,4.65294281345706,"Hypermethylated"
"ENSG00000004660","CAMKK1","UP",19,5.34798527562966,"Hypermethylated"
"ENSG00000004864","SLC25A13","DOWN",5,1.22770403881973,"Hypermethylated"
"ENSG00000004866","ST7","DOWN",1,5.66509439018389,"Hypermethylated"
"ENSG00000004975","DVL2","UP",1,3.31257304412651,"Hypermethylated"
"ENSG00000005020","SKAP2","UP",3,5.84742395472475,"Hypermethylated"
"ENSG00000005059","MCUB","DOWN",2,5.52809519729902,"Hypermethylated"
"ENSG00000005073","HOXA11","DOWN",1,6.10619468806126,"Hypermethylated"
"ENSG00000005102","MEOX1","UP",2,4.77411729871851,"Hypermethylated"
"ENSG00000005108","THSD7A","DOWN",2,-2.46600811144102,"Hypomethylated"
"ENSG00000005156","LIG3","UP",1,2.14692917966518,"Hypermethylated"
"ENSG00000005249","PRKAR2B","UP",1,3.26181003719047,"Hypermethylated"
"ENSG00000005486","RHBDD2","UP",1,3.52092654184151,"Hypermethylated"
"ENSG00000005801","ZNF195","UP",1,5.62547017957618,"Hypermethylated"
"ENSG00000005884","ITGA3","DOWN",3,5.72645912669084,"Hypermethylated"
"ENSG00000005961","ITGA2B","UP",3,3.94973735884682,"Hypermethylated"
"ENSG00000006016","CRLF1","UP",4,5.24641567883708,"Hypermethylated"
"ENSG00000006025","OSBPL7","UP",2,4.24073348082887,"Hypermethylated"
"ENSG00000006062","MAP3K14","DOWN",7,5.28252431585474,"Hypermethylated"
"ENSG00000006210","CX3CL1","DOWN",2,4.58147274090797,"Hypermethylated"
