gene_symbol,baseMean,log2FoldChange,padj,tes_bound,tead1_bound
COL11A1,2984.65620827564,-5.97911231595359,0,TRUE,TRUE
THBS1,12319.4478488787,-5.16471413946792,0,TRUE,TRUE
AMOTL2,1987.73336740855,-5.97202541163863,6.32982951204309e-293,TRUE,TRUE
DDR2,3045.79964205334,-4.52405488046812,8.7128848639006e-284,TRUE,TRUE
PDE1C,3988.73035117867,-4.11908970201714,5.07136069696543e-269,TRUE,TRUE
CCN2,1797.3708667729,-7.80301925281702,2.69279158755025e-233,TRUE,TRUE
ITGB3,1536.58926328561,-4.24773261828121,2.94707693785138e-230,TRUE,TRUE
ADAMTSL1,1694.14119238008,-4.24994949902985,6.19452497938647e-211,TRUE,TRUE
ARHGAP29,5075.83310035065,-3.59028908769471,6.614924294242889e-205,TRUE,TRUE
H3C3,889.348743871023,-5.79750108530536,1.7814321347932097e-204,TRUE,FALSE
ABI3BP,2458.25911607693,-3.92593960471013,1.71327769923472e-200,TRUE,TRUE
GLDN,2827.97531055777,-4.12653644841925,2.3200321616251698e-197,TRUE,TRUE
VCAN,13303.7072072348,-3.3430689830481,8.25270594826487e-197,TRUE,TRUE
CDH11,4361.05033151811,-3.51266605280108,1.8465209961270197e-194,TRUE,TRUE
MID1,1114.52480103151,-4.14934057568253,2.46833474791903e-192,TRUE,TRUE
PARVA,737.578321605466,-5.13370211651562,8.32659477609049e-191,TRUE,TRUE
DHRS3,3223.63058221268,-3.40999963743536,1.8584998038594897e-190,TRUE,TRUE
XKR4,1181.79633356271,-4.14719861683479,9.106867802624349e-185,TRUE,TRUE
CCN1,1225.4248327505,-7.58217516754692,2.4864893686027494e-184,TRUE,TRUE
TGFA,1496.60879274217,-4.23680464976558,1.58367137208068e-175,TRUE,TRUE
MBNL2,884.393731871934,-4.87160817326055,1.59855851212008e-174,TRUE,TRUE
GPD2,2084.63794933134,-3.49139828918591,2.36239889395986e-167,TRUE,TRUE
ITGB8,6479.41630709051,-3.13290375568598,1.0011301972009299e-161,TRUE,TRUE
PI15,1724.1704136895,-5.02825208694987,2.88158215354081e-156,TRUE,TRUE
DAB2,523.873888867927,-4.75916780426494,3.6246734494708596e-153,TRUE,TRUE
LIMCH1,3423.41899863011,-3.1060039256628,3.3269462275062598e-149,TRUE,TRUE
CALD1,4937.77610140333,-3.27393621064106,4.135965063920059e-149,TRUE,TRUE
EPHA3,4526.82238488291,-3.15926590086563,1.5599374742182997e-148,TRUE,FALSE
KIF18B,634.144656343572,-3.90802466545713,1.6480504439001598e-145,TRUE,TRUE
GBE1,1477.26682241053,-3.74262091969869,2.9286619901979196e-145,TRUE,FALSE
EPSTI1,991.89938774535,-3.75459301799046,3.1986384737810895e-144,TRUE,TRUE
PRSS35,894.832163329415,-5.51440540427932,2.11747246157523e-135,TRUE,TRUE
SEMA3C,2567.43804580281,-3.33817481768924,1.24805669539075e-129,TRUE,TRUE
CUEDC1,1438.07575451222,-3.10594017008297,2.44172450243627e-129,TRUE,TRUE
CAV1,2255.8378878697,-4.05488094375317,1.30942435146464e-127,TRUE,TRUE
ARID5B,7977.24264140739,-2.83706279395299,1.30942435146464e-127,TRUE,TRUE
UNC5C,1723.78913363643,-3.14050847859916,1.84459044230968e-127,TRUE,TRUE
ADAM19,4167.06237446488,-2.86396387233607,8.26956066572313e-123,TRUE,TRUE
RARB,1057.82482264415,-3.21209099783835,1.33757706879539e-122,TRUE,TRUE
PSD3,4234.51748008596,-3.11111775157525,1.55059069425127e-122,TRUE,TRUE
DCBLD2,15386.4109331694,-2.59420650209385,8.09507897533245e-122,TRUE,FALSE
COL12A1,3581.97440057399,-3.12431620296627,5.823623313121249e-121,TRUE,TRUE
ARSJ,1618.42653213867,-3.05204776402712,6.874540542322619e-121,TRUE,TRUE
NFIB,2705.16368521324,-2.96297919606652,7.870742624974688e-121,TRUE,TRUE
FAM13C,409.586983662296,-4.05831666996138,2.8070402069078e-120,TRUE,TRUE
CAMK2D,3268.6792568659,-2.65329495309456,3.0494146796448396e-118,TRUE,TRUE
