"gene_symbol","ensembl_id","baseMean","log2FoldChange","padj","binding_status","expression_status","Category","Direction"
"CRACD","ENSG00000109265",2486.1470341759,6.78155916745644,2.53646432396452e-273,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"SPARCL1","ENSG00000152583",493.072226610584,5.29555818816214,4.1602810000903e-113,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"SEMA6A","ENSG00000092421",583.457578159727,3.56722533787899,3.9197639243228e-106,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZNF432","ENSG00000256087",1331.3916281653,2.60779489843246,8.85088995801611e-94,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"LCP1","ENSG00000136167",408.765245346166,3.90446607628467,8.11229834637924e-90,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"AFDN","ENSG00000130396",6248.55426892884,2.14031690053807,7.74797166535743e-81,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"MAP2K5","ENSG00000137764",1520.8068137411,2.02669464438659,6.57262551724144e-50,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"MINAR1","ENSG00000169330",572.218265118616,1.9670311226779,8.51274641064849e-40,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"ZDHHC9","ENSG00000188706",3080.97699144058,1.51738932273801,1.3186172859508e-36,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"RNF152","ENSG00000176641",313.253064700872,2.17893903995659,5.28345478208223e-35,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"CRACDL","ENSG00000196872",105.639956879956,4.43466723885198,1.35773312042753e-32,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"FGF7","ENSG00000140285",114.568285638892,5.49135662744891,1.54397565605053e-32,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
"PALMD","ENSG00000099260",100.344601526085,4.20878864626901,9.57198639471781e-32,"TES_only_bound","upregulated","TES_only_bound_upregulated","Up"
