"primary_category_simple","n_genes","n_DEGs","pct_DEG","n_up","n_down","mean_log2FC","median_log2FC","mean_baseMean"
"Shared",1528,869,56.87,366,503,-0.0908040420281604,-0.0513370884014959,944.512776124381
"TEAD1_Unique",3928,2178,55.45,938,1240,-0.0409313671438406,-0.0365843999062462,1030.99422595033
"TES_Unique",1921,1086,56.53,484,602,-0.0230595239951018,0.0127014435694839,872.25582596384
"Unbound",26582,8235,30.98,4524,3711,0.187234738037979,0.107401009741547,292.993224576126
